;Title
1113;twinops- devops meets model-based engineering and digital twins for the engineering of cps
1114;ubiquitous computing
1115;uml model to fault tree model transformation for dependability analysis
1116;uml2opc- uatransforming uml class diagrams to opc ua information mod- els
1117;understand and use device twins in iot hub
1118;understanding digital twin: a systematic mapping study
1121;unmanned aerial vehicle systems for disaster relief: tornado alley, chap
1122;update semantics of relational views
1124;urban mobility: leveraging machine learning and data masses for the building of simulators
1125;use: a uml-based specifica- â¨ tion environment for validating uml and ocl
1128;using microsoft powerapps
1129;using semantic markup to boost context awareness for assistive systems
1130;using specification and description language to define and implement discrete simulation models
1131;using uml and ocl models to realize high- level digital twins
1133;utilizing spin rules to infer the parameters for combined capabilities of aggregated manufacturing resources
1134;vantiq digital twin architecture
1138;verification and validation of simulation models
1140;virtual representa- tion of physical objects for software defined manufacturing
1141;virtualization of the sysml model for the aes trucklab
1142;vision 2020 (incose-tp-2004-004-02)
1147;watchdog agentâan infotronics-based prognostics approach for product performance degradation assessment and prediction
1148;watering your lawn
1149;web enabled spatio-temporal semantic analysis of traffic noise using citygml
1151;web-based solution to automate capability matchmaking for rapid system design and recon- figuration
1154;what about the usability in low-code platforms? a systematic literature review
1155;what industry needs from architectural languages: a survey
1156;what is sysml? omgsysml
1158;whensoftbotsmeet digital twins: towards supporting the cognitive operator 4.0
1159;white paper: the promise of a digital twin strategy - best practices for designers and manufacturers of products and industrial equipment
1160;whitepaper automationml part 1 - archi- tecture and general requirements
1161;widget showcase
1163;wind power generation and wind power design
1164;x3d-uml: 3d uml state machine diagrams
1166;xmof: executable dsmls based on fuml
1167;yenilenebilir enerji kaynaklar? ?ã§in dijital ?kiz konsepti
1168;z.109 : specification and description language - unified modeling language profile for sdl-2010
