Authors;Title;Publication year;Publisher;Proceedings title;URLs;DOI;Abstract;Keywords;Series
"Blakseth S.S.; Rasheed A.; Kvamsdal T.; San O.";Combining physics-based and data-driven techniques for reliable hybrid analysis and modeling using the corrective source term approach;2022.0;;Applied Soft Computing;;;Upcoming technologies like digital twins, autonomous, and artificial intelligent systems involving safetycritical applications require accurate, interpretable, computationally efficient, and generalizable models. Unfortunately, the two most commonly used modeling approaches, physics-based modeling (PBM) and data-driven modeling (DDM) struggle to satisfy all these requirements. In the current work, we demonstrate how a hybrid approach combining the best of PBM and DDM can result in models that can outperform both of them. We do so by combining partial differential equations based on first principles describing partially known physics with a black box DDM, in this case, a deep neural network model compensating for the unknown physics. The novelty of the work is in the theoretical contribution of presenting a sound mathematical argument for why the approach should work. The argument is backed by an array of experiments involving a two-dimensional heat diffusion problem with unknown source terms. The hybrid approach demonstrates the method's superior performance in accuracy and generalizability. Additionally, it is shown how the DDM part can be interpreted within the hybrid framework to make the overall approach reliable. The approach, as we see, will be a door opener for underutilized DDMs in high stake applications. © 2022 The Author(s);;
"Wilking F.; Behringer M.; Fett M.; Goetz S.; Kirchner E.; Wartzack S.";Concept of a Modular and System Model Driven Digital Twin for Engineering Education;2023.0;Scopus;2023 18th Annual System of Systems Engineering Conference, SoSe 2023;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166734232&doi=10.1109%2fSoSE59841.2023.10178517&partnerID=40&md5=d93cc883617e6d3f4dd5ab047995b383;10.1109/SoSE59841.2023.10178517;Driven by the opportunities for condition monitoring and new business models, Digital Twins have become a popular topic within research and industrial application over the last years. Therefore, universities must integrate the development of Digital Twins into their educational program to enable future engineers to overcome the challenges concomitant with Digital Twins. While a theoretical basis for Digital Twins is crucial e.g., hardware-software integration, Internet of Things (IoT) or simulation models, a practical combination of these heterogeneous components is also necessary to introduce the Digital Twin as a whole concept. With Model-Based Systems Engineering (MBSE) an approach was introduced to grasp complexity by using system models e.g., through SysML diagrams. Digital Twins are an example for advanced systems shaped by high complexity. The usage of system models is therefore likely. With this contribution, a concept is presented to combine system models and Digital Twins to create a prototype for academic education and the conduction of student projects.  Â© 2023 IEEE.;;
"Hu, D; Wang, HC; Yang, CL; Wang, BB; Yang, QR; Wang, YY";Construction and verification of dual-fuel engine combustion model;;;JOURNAL OF THE ENERGY INSTITUTE;;;In order to achieve real-time mapping and online optimization of the combustion process of a dual-fuel engine that is in prolonged operation, this paper is the first to combine the Wiebe function with a deep learning neural network to propose a zero-dimensional (0-D) combustion prediction model for a biodiesel-diesel dual-fuel engine. First, the parameters of the double Wiebe functions are calculated by the Pelican Optimization Algorithm (POA), and the operating parameters and Wiebe parameters are used as input and output parameters of neural networks, respectively, to construct parameter identification models. Then, the combustion process is simplified and reconstructed by combining the Wiebe function with the deep learning neural network, and a 0-D prediction model based on the hybrid model-driven and data-driven method is established, which can further obtain combustion results such as cylinder pressure curve and indicated mean effective pressure (IMEP). The results show that the coefficient of determination (R-2) value of the dual-fuel engine 0-D prediction model based on the double Wiebe function combined with POA-CNN-Bi-LSTM is 0.9827, and the model has good prediction accuracy and generalization. The development of the combustion model provides reliable numerical model support for the online evaluation and optimization of dual-fuel engine performance.;;
"Hu, D; Wang, HC; Yang, CL; Wang, BB; Duan, BY; Wang, YY; Li, HC";Construction of digital twin model of engine in-cylinder combustion based on data-driven;;;ENERGY;;;Optimizing the combustion process by predicting combustion parameters during prolonged engine operation is crucial for engine maintenance. This study presents a zero-dimensional (0-D) prediction model that integrates the advantages of model-driven and data-driven approaches. Initially, the snake optimization algorithm (SO) is employed to address the challenges related to low parameter fitting accuracy and multiple solutions in calculating Wiebe parameters. Subsequently, a convolutional neural network-bidirectional long short-term memory neural network (CNN-Bi-LSTM) is devised to establish a nonlinear correlation between operating parameters and Wiebe parameters. The structural parameters of CNN-Bi-LSTM are then optimized using the SO algorithm (SO-CNN-Bi-LSTM). Ultimately, a 0-D prediction combustion model is formulated by amalgamating the Wiebe function with the neural network, enabling real-time prediction of combustion results and generalization analysis of prediction performance under non-calibrated conditions. The findings demonstrate that the combustion model exhibits heightened accuracy, thereby establishing a robust technical foundation for the development of a digital twin in the engine combustion process.;;
"Stiess, S; Becker, S; Ege, F; Höppner, S; Tichy, M";Coordination and Explanation of Reconfigurations in Self-Adaptive High-Performance Systems;;;ACM/IEEE 25TH INTERNATIONAL CONFERENCE ON MODEL DRIVEN ENGINEERING LANGUAGES AND SYSTEMS, MODELS 2022 COMPANION;;;Self-adaptive systems that modify their architecture to achieve different Service Level Objectives (SLOs) are becomingwell-established parts of a company's portfolio. Current systems however do a poor job of coordinating the underlying rules and explaining the system's behavior to developers. This negatively impacts a system's performance due to behaving in unintended and hard-to-comprehend ways. In this vision paper, we introduce an approach that intends to alleviate these problems, for the use-case of high-performance cloud clusters, through the use of a cyber-cyber digital twin based on the Palladio ecosystem. The conceived digital twin allows for several functions that are unexplored in literature so far: the combination of design time analysis with explainability, use of state-space prediction bounded by likelihood, and explanation of non-applicability. This is achieved through a digital twin performing three main activities: 1) The predicting activity predicts system performance along several potential paths. 2) The planning activity analyzes reconfiguration rules and predicted system behavior to produce reconfiguration plans that try to optimally utilize available resources and achieve all SLOs without unintended interactions between the execution of rules. 3) The explaining activity processes all artifacts produced during system simulation time or runtime to provide comprehensive visualizations to developers. We explain how each activity is performed and what models it processes and produces based on a running example.;;
"Fend A.; Bork D.";CPSAML: A Language and Code Generation Framework for Digital Twin based Monitoring of Mobile Cyber-Physical Systems;2022.0;Scopus;Proceedings - ACM/IEEE 25th International Conference on Model Driven Engineering Languages and Systems, MODELS 2022: Companion Proceedings;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142923460&doi=10.1145%2f3550356.3563134&partnerID=40&md5=2c8ccd06abfc9e941254c0b84c65d38a;10.1145/3550356.3563134;Cyber-physical systems (CPS) are finding increasing use, whether in factories, autonomous vehicles, or smart buildings. Monitoring the execution of CPSs is crucial since CPSs directly influence their physical environment. Like the actual system, the monitoring application must be designed, developed, and tested. Mobile CPSs, in contrast to stationary CPSs, bring the additional requirement that instances can dynamically join, leave, or fail during execution time. This dynamic behavior must also be considered in the monitoring application. This paper presents CPSAML, a language and code generation framework for the model-driven development of mobile CPS systems, including a cockpit application for monitoring and interacting with such a system. The pipeline starts with the formulation of the system and the CPSs it contains at an abstract level by the system architect using a domain-specific modeling language. Next, this model is transformed into SysML 2 for further extension and richer specificity by system engineers on a more technical level. In the last step of the pipeline, the SysML 2 model is used to generate code for the CPS devices, a system-wide digital twin, and the cockpit application mentioned above. This cockpit enables the operator to configure and apply the monitoring and interaction with the system during runtime. We evaluate our CPSAML language and code generation framework on an Indoor Transport System case study with Roomba vacuum cleaner robots. Â© 2022 Owner/Author.;;
"Stan M.; Borangiu T.; Raileanu S.";Data- And model-driven digital twins for design and logistics control of product distribution;2021.0;;Proceedings - 2021 23rd International Conference on Control Systems and Computer Science Technologies, CSCS 2021;;;Digital control of product-on-pallet distribution is organized on two layers in logistics systems: the low-level local process automation and the supervision and coordination dual logistic execution system. The paper's scientific contribution consists in a holonic control system for multiple robot palletizing cells for product-on-pallet distribution. In this holonic control approach, data-driven digital twins (DT) are created to optimize palletizing schedules, controlled with situation awareness and resource health monitoring. A model-driven DT configuration with embedded simulation faster than real-time is combined with the data-driven DT in a meta-level control scheme offering predictive situation awareness. The paper also presents a pure model-driven DT mock-up of a robot palletizing cell - simulation with software in the loop - in which the actual holonic control system including digital twins and decision making is used in the simulation as it will be deployed in reality. This configuration is used to design the robot palletizing cells, to experiment in limit conditions, to fine tune and validate the robot control solution.  © 2021 IEEE.;;
"Trauer J.; Schweigert-Recksiek S.; Okamoto L.O.; Spreitzer K.; Mörtl M.; Zimmermann M.";Data-driven engineering definitions and insights from an industrial case study for a new approach in technical product development;2020.0;;Proceedings of the NordDesign 2020 Conference, NordDesign 2020;;;"The growing digitization affects all areas of engineering. Together with fast-paced trends, it drives complexity and uncertainty in many domains. Yet, its potentials are manifold and, in most cases, outweigh the disadvantages. Beneath terms such as ""big data"", ""digital twin"", the term ""data-driven engineering"" has evolved over the last years. However, neither in literature nor in industry, there is a unified definition or understanding of the term. The presented research is based on a literature review as well as an industrial case study. Several databases were screened systematically for the literature review and forward and backward searches were used additionally. The case study was conducted in a collaboration with a company in the climate system sector. First, a literature-based distinction between the terms model-based, model-driven, data-based, and data-driven as well as definitions of data-driven engineering were investigated. Representatives of the company then evaluated these findings in a workshop and together with the industry partner a consistent definition was developed. The authors define data-driven engineering as a framework for product development in which the goal-oriented collection and use of sufficiently connected product lifecycle data guides and drives decisions and applications in the product development process. Further, promising use cases for the industry partner regarding data-driven engineering were formulated. The use cases were initially evaluated and prioritized regarding their cost-benefit ratio. Symbioses with other strategies of the company such as Digital Twins, model-based engineering, and solution space engineering are outlined. For academia, the presented findings provide a consistent definition that can be used as a promising direction for future research. Especially a procedure model for the systematic conception and implementation of data-driven engineering would be beneficial. For industry, this paper provides insights on potentials of data-driven engineering, a differentiation from related concepts, and very concrete use-cases serving as a starting point for a company-specific implementation. © Proceedings of the NordDesign 2020 Conference, NordDesign 2020. All rights reserved.";;
"Gutierrez-Franco, E; Mejia-Argueta, C; Rabelo, L";Data-Driven Methodology to Support Long-Lasting Logistics and Decision Making for Urban Last-Mile Operations;;;SUSTAINABILITY;;;Last-mile operations in forward and reverse logistics are responsible for a large part of the costs, emissions, and times in supply chains. These operations have increased due to the growth of electronic commerce and direct-to-consumer strategies. We propose a novel data- and model-driven framework to support decision making for urban distribution. The methodology is composed of diverse, hybrid, and complementary techniques integrated by a decision support system. This approach focuses on key elements of megacities such as socio-demographic diversity, portfolio mix, logistics fragmentation, high congestion factors, and dense commercial areas. The methodological framework will allow decision makers to create early warning systems and, with the implementation of optimization, machine learning, and simulation models together, make the best utilization of resources. The advantages of the system include flexibility in decision making, social welfare, increased productivity, and reductions in cost and environmental impacts. A real-world illustrative example is presented under conditions in one of the most congested cities: the megacity of Bogota, Colombia. Data come from a retail organization operating in the city. A network of stakeholders is analyzed to understand the complex urban distribution. The execution of the methodology was capable of solving a complex problem reducing the number of vehicles utilized, increasing the resource capacity utilization, and reducing the cost of operations of the fleet, meeting all constraints. These constraints included the window of operations and accomplishing the total number of deliveries. Furthermore, the methodology could accomplish the learning function using deep reinforcement learning in reasonable computational times. This preliminary analysis shows the potential benefits, especially in understudied metropolitan areas from emerging markets, supporting a more effective delivery process, and encouraging proactive, dynamic decision making during the execution stage.;;
"Lyan G.; Jezequel J.-M.; Gross-Amblard D.; Combemale B.";DataTime: A Framework to smoothly Integrate Past, Present and Future into Models;2021.0;;Proceedings - 24th International Conference on Model-Driven Engineering Languages and Systems, MODELS 2021;;;Models at runtime have been initially investigated for adaptive systems. Models are used as a reflective layer of the current state of the system to support the implementation of a feedback loop. More recently, models at runtime have also been identified as key for supporting the development of full-fledged digital twins. However, this use of models at runtime raises new challenges, such as the ability to seamlessly interact with the past, present and future states of the system. In this paper, we propose a framework called DataTime to implement models at runtime which capture the state of the system according to the dimensions of both time and space, here modeled as a directed graph where both nodes and edges bear local states (ie. values of properties of interest). DataTime provides a unifying interface to query the past, present and future (predicted) states of the system. This unifying interface provides i) an optimized structure of the time series that capture the past states of the system, possibly evolving over time, ii) the ability to get the last available value provided by the system's sensors, and iii) a continuous micro-learning over graph edges of a predictive model to make it possible to query future states, either locally or more globally, thanks to a composition law. The framework has been developed and evaluated in the context of the Intelligent Public Transportation Systems of the city of Rennes (France). This experimentation has demonstrated how DataTime can deprecate the use of heterogeneous tools for managing data from the past, the present and the future, and facilitate the development of digital twins.  © 2021 IEEE.;;
"Zhao, C; Dai, XY; Lv, YS; Niu, JL; Lin, YL";Decentralized Autonomous Operations and Organizations in TransVerse: Federated Intelligence for Smart Mobility;2023.0;;IEEE TRANSACTIONS ON SYSTEMS MAN CYBERNETICS-SYSTEMS;;10.1109/TSMC.2022.3228914;Human and social factors are essential to transportation systems, yet top-down management fails to consider them sufficiently. Consequently, management strategies are not tailored to human needs and are inadequate in providing transportation intelligence. This article investigates a management architecture based on decentralized/distributed autonomous operations/organizations (DAOs) that considers both the technical and societal aspects in our transportation metaverse, TransVerse. This design maps people's transportation needs in physical space to their digital counterparts in cyberspace, utilizing blockchain technology to guarantee the secure exchange of information and ultimately bring about the Internet of Minds (IoM). With the federated intelligence that emerged in IoM, we can devise reliable and prompt traffic decisions by incorporating consensus, community voting, and smart contracts into the organizational, coordination, and execution structure. Details on operational procedures and key technologies are also covered. To demonstrate the efficacy of DAOs-based management, a case study of world model-driven cooperative signal control is provided, indicating its promising application in future transportation management.;;
"Blakseth S.S.; Rasheed A.; Kvamsdal T.; San O.";Deep neural network enabled corrective source term approach to hybrid analysis and modeling;2022.0;;Neural Networks;;;In this work, we introduce, justify and demonstrate the Corrective Source Term Approach (CoSTA)a novel approach to Hybrid Analysis and Modeling (HAM). The objective of HAM is to combine physics-based modeling (PBM) and data-driven modeling (DDM) to create generalizable, trustworthy, accurate, computationally efficient and self-evolving models. CoSTA achieves this objective by augmenting the governing equation of a PBM model with a corrective source term generated using a deep neural network. In a series of numerical experiments on one-dimensional heat diffusion, CoSTA is found to outperform comparable DDM and PBM models in terms of accuracy  often reducing predictive errors by several orders of magnitude  while also generalizing better than pure DDM. Due to its flexible but solid theoretical foundation, CoSTA provides a modular framework for leveraging novel developments within both PBM and DDM. Its theoretical foundation also ensures that CoSTA can be used to model any system governed by (deterministic) partial differential equations. Moreover, CoSTA facilitates interpretation of the DNN-generated source term within the context of PBM, which results in improved explainability of the DNN. These factors make CoSTA a potential door-opener for data-driven techniques to enter high-stakes applications previously reserved for pure PBM. © 2021 The Author(s);;
"Feng H.; Gomes C.; Sandberg M.; Thule C.; Lausdahl K.; Larsen P.G.";Developing a Physical and Digital Twin: An Example Process Model;2021.0;;Companion Proceedings - 24th International Conference on Model-Driven Engineering Languages and Systems, MODELS-C 2021;;;As a result of the fast development of technologies and diversity of requirements, complexity exists not only in a system itself but also in the development process and environment. The complexity in the development process comes from specialization and concurrency, and a Digital Twin (DT) has the potential to mitigate these issues. We hope, during the process of building a DT, the accidental complexity can be minimized by application of model-based systems engineering and the Multi-Paradigm Modeling (MPM). In this paper, we give an example of the process of building a DT combined with a process model. Our long term goal is to model the development of various DTs to identify the commonalities and variations across multiple DTs. © 2021 IEEE.;;
"Wu Y.; Huang Y.; Li X.; Chen Q.; Li Y.; Chang J.";Development and prospect of digital twin model for stray light of spaceborne telescope;2023.0;Scopus;Proceedings of SPIE - The International Society for Optical Engineering;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178361532&doi=10.1117%2f12.2688626&partnerID=40&md5=abd3bfd179b0a5dec57d34fd34b8dbaf;10.1117/12.2688626;With the continuous deepening of research and development in the field of aerospace, the requirements for aerospace payloads are also increasing. The stray light received by the spaceborne telescope in the space environment will be one of the most important factors affecting its performance. The optical mechanical surface of spaceborne telescope will deviate from the original design due to various objective factors during the whole link process, and the actual optical mechanical surface is not ideal. In order to ensure that it can work normally, it is necessary to simulate and analyze the stray light situation of the whole link. This paper mainly introduces the complex environment and complex characteristics experienced from the ground section to the orbit section, analyzes and summarizes the sources of stray light, and finally proposes a framework for establishing a digital twin model of stray light for spaceborne telescopes. Through data-driven and model-driven methods, finally build a complete set of ground, launch, and in-orbit digital twin models. Â© 2023 SPIE.;;
"Chen, XM; Kang, E; Shiraishi, S; Preciado, VM; Jiang, ZH";Digital Behavioral Twins for Safe Connected Cars;;;21ST ACM/IEEE INTERNATIONAL CONFERENCE ON MODEL DRIVEN ENGINEERING LANGUAGES AND SYSTEMS (MODELS 2018);;;Driving is a social activity which involves endless interactions with other agents on the road. Failing to locate these agents and predict their possible future actions may result in serious safety hazards. Traditionally, the responsibility for avoiding these safety hazards is solely on the drivers. With improved sensor quantity and quality, modern ADAS systems are able to accurately perceive the location and speed of other nearby vehicles and warn the driver about potential safety hazards. However, accurately predicting the behavior of a driver remains a challenging problem. In this paper, we propose a framework in which behavioral models of drivers (Digital Behavioral Twins) are shared among connected cars to predict potential future actions of neighboring vehicles, therefore improving the safety of driving. We provide mathematical formulations of models of driver behavior and the environment, and discuss challenging problems during model construction and risk analysis. We also demonstrate that our digital twins framework can accurately predict driver behaviors and effectively prevent collisions using a case study in a virtual driving simulation environment.;;
"Barat, S; Kulkarni, V; Clark, T; Barn, B";Digital Twin as Risk- Free Experimentation Aid for Techno-socio-economic Systems;;;PROCEEDINGS OF THE 25TH INTERNATIONAL ACM/IEEE CONFERENCE ON MODEL DRIVEN ENGINEERING LANGUAGES AND SYSTEMS, MODELS 2022;;;Environmental uncertainties and hyperconnectivity force techno-socio-economic systems to introspect and adapt to succeed and survive. Current practices in decision-making are predominantly intuition-driven with attendant challenges for precision and rigor. We propose to use the concept of digital twins by combining results from Modelling & Simulation, Artificial Intelligence, and Control Theory to create a risk free 'in silico' experimentation aid to help: (i) understand why a system is the way it is, (ii) be prepared for possible outlier conditions, and (iii) identify plausible solutions for mitigating the outlier conditions in an evidence-backed manner. We use reinforcement learning to systematically explore the digital twin solution space. Our proposal is significant because it advances the effective use of digital twins to new problem domains that have new potential for impact. Our approach contributes an original meta model for simulatable digital twin of industry scale techno-socio-economic systems, agent-based implementation of the digital twin, and an architecture that serves as a risk-free experimentation aid to support simulation-based evidence-backed decision-making. We also discuss the rigor of our validation of the proposed approach and associated technology infrastructure through a representative sample of industry-scale real-world use cases.;;
"Liu Y.; Liu Y.; Liu G.; Zhao T.; Xu Z.; Yang N.; Jia P.";Digital Twin Conception of Intelligent Operation and Maintenance of Power Transformer;2023.0;Scopus;Zhongguo Dianji Gongcheng Xuebao/Proceedings of the Chinese Society of Electrical Engineering;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174925539&doi=10.13334%2fj.0258-8013.pcsee.221544&partnerID=40&md5=15ed1985e6aa2d9fb28bbd3d2ebdff24;10.13334/j.0258-8013.pcsee.221544;Digital twin is the key technology to realize the digital transformation of power equipment industry and promote the construction of new power system. As important power transmission and transformation equipment, how to build a transformer digital twin and promote the digital and intelligent development of transformers has become a key issue. This paper firstly summarizes the connotation of digital twin and its current research progress in power system, and then it proposes the framework of transformer digital twin system based on the demand of transformer operation and maintenance service as well as gives the realization conception of digital twin for transformer intelligent operation and maintenance by combining the maturity evolution process of digital twin, including five stages which are virtual body characterization, perception interaction, model-driven multi-field calculation, data-driven state analysis and intelligent sharing. For each stage the key technologies and methods of its implementation are analyzed. Finally, the practical application of digital twin of transformer intelligent operation and maintenance is prospected, and the challenges faced in its implementation are summarized. Â©2023 Chin.Soc.for Elec.Eng.;;
"Li L.; Mao C.; Sun H.; Yuan Y.; Lei B.";Digital Twin Driven Green Performance Evaluation Methodology of Intelligent Manufacturing: Hybrid Model Based on Fuzzy Rough-Sets AHP, Multistage Weight Synthesis, and PROMETHEE II;2020.0;Scopus;Complexity;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089019066&doi=10.1155%2f2020%2f3853925&partnerID=40&md5=051fea69d2766ff5bfd3c07cf05d6124;10.1155/2020/3853925;The design, planning, and implementation of intelligent manufacturing are mainly carried out from the perspectives of meeting the needs of mass customization, improving manufacturing capacity, and innovating business pattern currently. Environmental and social factors should be systematically integrated into the life cycle of intelligent manufacturing. In view of this, a green performance evaluation methodology of intelligent manufacturing driven by digital twin is proposed in this paper. Digital twin framework, which constructs the bidirectional mapping and real-time data interaction between physical entity and digital model, provides the green performance evaluation with a total factor virtual image of the whole life cycle to meet the monitoring and simulation requirements of the evaluation information source and demand. Driven by the digital twin framework, a novel hybrid MCDM model based on fuzzy rough-sets AHP, multistage weight synthesis, and PROMETHEE II is proposed as the methodology for the green performance evaluation of intelligent manufacturing. The model is tested and validated on a study of the green performance evaluation of remote operation and maintenance service project evaluation for an air conditioning enterprise. Testing demonstrates that the proposed hybrid model driven by digital twin can enable a stable and reasonable evaluation result. A sensitivity analysis was carried out by means of 27 scenarios, the results of which showed a high degree of stability.  Â© 2020 Lianhui Li et al.;;
"Zhang H.; Ren D.; Ming H.; Zhang W.; Cao G.; Liu J.; Wang L.; Song J.; Qiu J.; Wang J.; He X.; Zhang H.";Digital Twin Enables Rational Design of Ultrahigh-Power Lithium-Ion Batteries;2023.0;;Advanced Energy Materials;;;With the widespread applications of electric vehicles, power grid stabilization, and high-pulsed power loads, high-power lithium-ion batteries (LIBs) are in urgent demand. However, the existing experimental-based design of high-power batteries is usually costly and inefficient, and provides limited information on the complex physicochemical processes inside the batteries. Digital twin concept is promising for capturing the batteries electrochemical performance, and optimizing the power capability of LIBs. Here, an electrochemical-thermal coupled model is developed as a digital twin model for rational design of ultrahigh-power LiFePO4/graphite LIBs. The model can accurately predict the batteries performance and help to predetermine the optimal parameters to achieve an ultrahigh power capability. After model-guided optimization, the battery shows a high energy density of 92.38 Wh kg?1 at an ultrafast discharging current of 50 C and can withstand 150 C pulse discharging tests. Notably, the digital twin model can reveal experimentally inaccessible time- and space-resolved information and identify the rate-determining steps inside the battery. Hence, model-driven optimization of ultrahigh-power LiFePO4/graphite batteries is successfully realized aiming at the critical factors in the rate-determining steps. The work provides an instructive design of ultrahigh-power LiFePO4/graphite batteries, which might guide the future direction to boost the power capability of LIBs. © 2022 Wiley-VCH GmbH.;;
"Ma X.; Tao F.; Zhang M.; Wang T.; Zuo Y.";Digital twin enhanced human-machine interaction in product lifecycle;2019.0;;Procedia CIRP;;;Human-machine interaction (HMI) is a key technology for implementing smart manufacturing, which primarily focuses on the issues of communication, interaction, and cooperation between humans and machines. HMI has been widely studied in product lifecycle including product design, manufacturing, and service, but the efficiency and safety still cannot meet the new requirements for smart manufacturing along with new emerging technologies (e.g., big data, artificial intelligence, augmented reality, etc.). Digital twin (DT), as a new technology to realize cyber-physical integration, provides a new chance to address the above problems. Using a five-dimension DT model driven by real-time data, HMI will generate a more flexible interactive mode to improve machine efficiency and operation safety. In this paper, HMI in product lifecycle is investigated first, and the shortness and new requirements are analyzed, then a DT enhanced HMI framework is proposed to address the shortness. © 2019 The Authors. Published by Elsevier B.V.;;
"Liu Z.; Blasch E.; Liao M.; Yang C.; Tsukada K.; Meyendorf N.";Digital Twin for Predictive Maintenance;2023.0;Scopus;Proceedings of SPIE - The International Society for Optical Engineering;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163957060&doi=10.1117%2f12.2660270&partnerID=40&md5=e928d6566bbeb0aa63cdabf194551b2d;10.1117/12.2660270;Digital twin engineering is a disruptive technology that creates a living data model of industrial assets. The living model will continually adapt to changes in the environment or operations using real-time sensory data as well as forecast the future of the corresponding infrastructure. A digital twin can be used to proactively identify potential issues with its real physical counterpart, allowing the prediction of the remaining useful life of the physical twin by leveraging a combination of physics-based models and data-driven analytics. The digital twin ecosystem comprises sensor and measurement technologies, industrial Internet of Things, simulation and modeling, and machine learning. This paper will review the digital twin technology and highlight its application in predictive maintenance applications. Â© 2023 SPIE. All rights reserved.;;
"Zhou S.; Guo S.; Du B.; Wang L.; Guo J.; Li Y.; Peng Z.; Yu L.";Digital twin model construction method of water treatment plant;2023.0;;Jisuanji Jicheng Zhizao Xitong/Computer Integrated Manufacturing Systems, CIMS;;;To establish the digital twin model of water treatment plant, a digital twin model construction method was proposed based on five-dimension digital twin model with considering the whole water treatment process. In the proposed construction method, the multi-level digital twin geometric model was carried out to digitally present the whole elements of water treatment plant and their relationships. The digital twin information model was established with these technologies of device identifier resolution, data collection, semantic description and finite state machine, so as to ensure the mapping and digital representation between physical world and digital space. The digital twin decision-making model was built with mechanism and intelligent model-driven hybrid frame work to describe the operation mechanism and law in water treatment plant. The integratnd platform was developed, which verified the effectiveness of the proposed method, and provided an effective reference for the realization of digital twin modeling of water treatment plant. © 2023 CIMS. All rights reserved.;;
"Qin H.; Lin X.; Luo Q.; Zhou H.; Fu J.; Qu D.; Chen L.";Digital Twin Model of Air-Immersed Transformer Based on Electro-Thermal Simulations;2023.0;Scopus;Lecture Notes in Electrical Engineering;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171524191&doi=10.1007%2f978-981-99-3408-9_11&partnerID=40&md5=ba0a0d7f5e3cd65f2d10ab56bb533c75;10.1007/978-981-99-3408-9_11;A model-driven digital twin (DT) model of a certain type air-immersed transformer is proposed. First, a three-dimensional geometric model of the power transformer is built based on ANSYS Maxwell platform, including the iron core, windings, etc. Then, a digital model of the characteristic parameterization of the transformer in the digital space is established. The electromagnetic field and the temperature field based on ANSYS Workbench platform are coupled. Also, The temperature distribution of the air-immersed transformer core-winding module under six typical different working conditions is studied, and the hot spot location and temperature distribution rule under different working conditions are obtained. The simulation results of magnetic flux density, voltage and current under different operating conditions, losses and theoretical values show that the proposed DT model can effectively reflect the physical mechanism of the transformer. In addition, the simulated results show that the iron core temperature does not rise with the increase of the load rate and the winding temperature rises with the increase of the load rate. Â© 2023, Beijing Paike Culture Commu. Co., Ltd.;;
"Liu J.; Ji Q.; Zhang X.; Chen Y.; Zhang Y.; Liu X.; Tang M.";Digital twin model-driven capacity evaluation and scheduling optimization for ship welding production line;2023.0;Scopus;Journal of Intelligent Manufacturing;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172089441&doi=10.1007%2fs10845-023-02212-2&partnerID=40&md5=140a57f445c4e60b26092599d3cdb0f7;10.1007/s10845-023-02212-2;Approximately 45% of ship delivery delays are due to welding quality. To solve the problematic control of production tempo and process sequence optimization in the welding process, it is urgent to combine the characteristics of the digital twin for dynamic simulation and optimization. Therefore, the capacity evaluation and scheduling optimization for the ship welding production line (WPL) based on the digital twin is proposed. Firstly, to describe the construction method of the digital twin model and digital twin data, a strategy is proposed for the construction of a digital twin ship component WPL model. Based on the fusion mapping of model and data, the construction of the digital twin model for WPL (DTM-WPL) is achieved. Secondly, by using equipment failure rate, processing time and buffer capacity as evaluation indicators, an WPL optimization model based on digital twins is constructed to solve the WPL production sequencing problem. Thirdly, to illustrate the welding quality traceability and prediction process, a DTM-WPL synchronous mapping for quality prediction and adjustment method is proposed. Finally, taking small and medium-sized WPL as the research object, the capacity evaluation and scheduling optimization system of ship components is developed to evaluate the production capacity of ship components. The validation results indicate that the optimized process scheme has increased production efficiency by 7.27%. Â© 2023, The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature.;;
"Rassolkin A.; Rjabtsikov V.; Vaimann T.; Kallaste A.; Kuts V.; Partyshev A.";Digital Twin of an Electrical Motor Based on Empirical Performance Model;2020.0;;2020 11th International Conference on Electrical Power Drive Systems, ICEPDS 2020 - Proceedings;;;The concept of Digital Twin is creating and maintaining a digital representation of the real physical entity and supporting its performance utilizing simulation and optimization tools, which are fed with real data. Development and implementation of Digital Twin technology is a hot topic in many industry-oriented research projects. However, more detailed studies are needed on design methods for Digital Twins, which allows full synchronization and connectivity between virtual and real environments. This paper presents a development case study of Digital Twin for an electric motor based on an empirical performance model. The paper discusses the way how the data required for the Digital Twin were obtained and present a detailed structural description of the virtual entity. Unity3D is used for physics simulations and visualization of the Digital Twin, because of simple accessible and meticulously detailed documentation highly useful for rapid prototyping in early stages. © 2020 IEEE.;;
"Bonney M.S.; De Angelis M.; Wagg D.; Borgo M.D.";Digital Twin Operational Platform for Connectivity and Accessibility using Flask Python;2021.0;;Companion Proceedings - 24th International Conference on Model-Driven Engineering Languages and Systems, MODELS-C 2021;;;This paper demonstrates an example of an open-source, modular, and system independent framework that has been developed by a team of researchers working for the UK based DigiTwin project. The example in this paper is based on a framework for a digital twin operational platform (DTOP) that uses Flask Python, and is named DTOP-Cristallo. DTOPCristallo is an operational platform that uses HTML web pages as the interface between the digital twin simulations, both python based and 3rd party software based, and the user. This framework is particularly useful for connectivity with users, since it can deploy the digital twin with multiple accessibility options to accommodate a wide variety of intended uses. © 2021 IEEE.;;
