sep=,
"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Publisher","Sponsors","Conference name","Conference date","Conference location","Conference code","Document Type","Publication Stage","Open Access","Source","EID"
"Liu Y.; Liu Y.; Liu G.; Zhao T.; Xu Z.; Yang N.; Jia P.","Liu, Yunpeng (56514207200); Liu, Yijin (57212090544); Liu, Gang (56299913000); Zhao, Tao (55835238200); Xu, Ziqiang (57206943408); Yang, Ning (56517493700); Jia, Pengfei (55983476400)","56514207200; 57212090544; 56299913000; 55835238200; 57206943408; 56517493700; 55983476400","Digital Twin Conception of Intelligent Operation and Maintenance of Power Transformer; [电力变压器智能运维的数字孪生体构想]","2023","Zhongguo Dianji Gongcheng Xuebao/Proceedings of the Chinese Society of Electrical Engineering","43","22","","8636","8651","15","4","10.13334/j.0258-8013.pcsee.221544","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174925539&doi=10.13334%2fj.0258-8013.pcsee.221544&partnerID=40&md5=15ed1985e6aa2d9fb28bbd3d2ebdff24","Hebei Provincial Key Laboratory of Power Transmission Equipment Security Defense, North China Electric Power University, Hebei Province, Baoding, 071003, China; State Grid Nanjing Power Supply Company, Jiangsu Province, Nanjing, 210019, China; China Electric Power Research Institute, Haidian District, Beijing, 100192, China","Liu Y., Hebei Provincial Key Laboratory of Power Transmission Equipment Security Defense, North China Electric Power University, Hebei Province, Baoding, 071003, China; Liu Y., Hebei Provincial Key Laboratory of Power Transmission Equipment Security Defense, North China Electric Power University, Hebei Province, Baoding, 071003, China; Liu G., Hebei Provincial Key Laboratory of Power Transmission Equipment Security Defense, North China Electric Power University, Hebei Province, Baoding, 071003, China; Zhao T., Hebei Provincial Key Laboratory of Power Transmission Equipment Security Defense, North China Electric Power University, Hebei Province, Baoding, 071003, China; Xu Z., State Grid Nanjing Power Supply Company, Jiangsu Province, Nanjing, 210019, China; Yang N., China Electric Power Research Institute, Haidian District, Beijing, 100192, China; Jia P., China Electric Power Research Institute, Haidian District, Beijing, 100192, China","Digital twin is the key technology to realize the digital transformation of power equipment industry and promote the construction of new power system. As important power transmission and transformation equipment, how to build a transformer digital twin and promote the digital and intelligent development of transformers has become a key issue. This paper firstly summarizes the connotation of digital twin and its current research progress in power system, and then it proposes the framework of transformer digital twin system based on the demand of transformer operation and maintenance service as well as gives the realization conception of digital twin for transformer intelligent operation and maintenance by combining the maturity evolution process of digital twin, including five stages which are virtual body characterization, perception interaction, model-driven multi-field calculation, data-driven state analysis and intelligent sharing. For each stage the key technologies and methods of its implementation are analyzed. Finally, the practical application of digital twin of transformer intelligent operation and maintenance is prospected, and the challenges faced in its implementation are summarized. ©2023 Chin.Soc.for Elec.Eng.","Chinese Society for Electrical Engineering","","","","","","Article","Final","","Scopus","2-s2.0-85174925539"
"","","","10th International Conference on Interoperability for Enterprise Systems and Applications, I-ESA2020","2023","Proceedings of the I-ESA Conferences","10","","","","","305","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149625291&partnerID=40&md5=f91645b71cb50a9618a263540ea86d13","","","The proceedings contain 24 papers. The special focus in this conference is on Interoperability for Enterprise Systems and Applications. The topics include: Digital Twin-Driven Design: A Framework to Enhance System Interoperability in the Era of Industry 4.0; a Digital Twin Model-Driven Architecture for Cyber-Physical and Human Systems; interoperability Concerns for Multidimensional Urban Mobility Within the Frame of MaaS; Empowering Process Quality Through Microservices. A ZDMP Perspective; a Declarative Approach for Change Impact Analysis of Business Processes; a Reference Model for Interoperable Living Labs Towards Establishing Productive Networks; Integrated Model-Based Configuration of Production Systems—Reflection of ISO 19440 and MDA and MDI; A Usage Model to Enrich MDSEA Approach; combining Reference Models for Eliciting Requirements in Industry 4.0 Projects: A Demonstration Case; transition from Work-As-Imagined to Work-As-Done Processes Through Semantics: An Application to Industrial Resilience Analysis; modeling and Sharing Knowledge in Expertise Processes; metadata for Complementing Standards and Formalisation of the Technical Reserve Calculation; a Framework to Formulate Models and Identify Algorithms to Solve Large-Sized Industrial Planning Problems; introduction to a Physics-Based Theory to Manage Risks and Opportunities in Supply Chains; knowledge Representation for Hierarchical and Interconnected Business Contexts; knowledge Extraction for the Product Development Process Based on Ontology-Driven Semantic Interoperability; towards Adaptive, Interactive, Assistive and Collaborative Assembly Workplaces Through Semantic Technologies; a Semantic Interface Model to Support the Integration of Drones in a Cyber-Physical Factory; Applying Distributed Ledger Technology to Facilitate IIoT Data Exchange: An Approach Based on IOTA Tangle; analysis of Data Exchange Among Heterogeneous IoT Systems.","Springer Science and Business Media Deutschland GmbH","","10th International Conference on Interoperability for Enterprise Systems and Applications, I-ESA2020","17 November 2020 through 19 November 2020","Virtual, Online","290669","Conference review","Final","","Scopus","2-s2.0-85149625291"
"Chis A.; Ghiran A.-M.; Buchmann R.A.","Chis, Andrei (58244474900); Ghiran, Ana-Maria (26639255400); Buchmann, Robert Andrei (16030647900)","58244474900; 26639255400; 16030647900","Proof of Concept for a Roundtrip Engineering IS for the New Enterprise in the Industry 4.0 Era","2022","Proceedings - 2022 24th International Symposium on Symbolic and Numeric Algorithms for Scientific Computing, SYNASC 2022","","","","212","215","3","0","10.1109/SYNASC57785.2022.00040","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163077959&doi=10.1109%2fSYNASC57785.2022.00040&partnerID=40&md5=62d29b8d0e1bfaaa134e6120ae456f8c","Babe-Bolyai University, Business Informatics Research Center, Cluj-Napoca, Romania","Chis A., Babe-Bolyai University, Business Informatics Research Center, Cluj-Napoca, Romania; Ghiran A.-M., Babe-Bolyai University, Business Informatics Research Center, Cluj-Napoca, Romania; Buchmann R.A., Babe-Bolyai University, Business Informatics Research Center, Cluj-Napoca, Romania","Traditionally, enterprises had relied on information systems (IS) as a medium to represent reality, but recently, there is a growing trend among IS scholars admitting that contemporary environment is calling for a change in the view about the IS' implications in our lives. They acknowledge that our world is increasingly shaped by what is created and performed in various digital environments. In this view, we ask how conceptual modelling (as a particular manifestation of IS) could be used to shape this new environment while continue being used as a means to represent the domain of discourse. This work at hand presents a proof-of-concept for the new enterprise systems where conceptual modelling plays a key role and the modelling tool acts as a transition layer between physical and digital realities. © 2022 IEEE.","Institute of Electrical and Electronics Engineers Inc.","","24th International Symposium on Symbolic and Numeric Algorithms for Scientific Computing, SYNASC 2022","12 September 2022 through 15 September 2022","Linz","189021","Conference paper","Final","","Scopus","2-s2.0-85163077959"
"Kholkar D.; Roychoudhury S.; Kulkarni V.; Reddy S.","Kholkar, Deepali (11639600600); Roychoudhury, Suman (8389330000); Kulkarni, Vinay (8542305000); Reddy, Sreedhar (56265169100)","11639600600; 8389330000; 8542305000; 56265169100","Learning to adapt - Software engineering for uncertainty","2022","ACM International Conference Proceeding Series","","","21","","","","3","10.1145/3511430.3511449","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125650506&doi=10.1145%2f3511430.3511449&partnerID=40&md5=ed1310debc7eea1fb32a448e2b435b12","Tata Consultancy Services Research, Maharashtra, Pune, India","Kholkar D., Tata Consultancy Services Research, Maharashtra, Pune, India; Roychoudhury S., Tata Consultancy Services Research, Maharashtra, Pune, India; Kulkarni V., Tata Consultancy Services Research, Maharashtra, Pune, India; Reddy S., Tata Consultancy Services Research, Maharashtra, Pune, India","Modern businesses are being subjected to an unprecedented variety of change drivers that cannot be predicted such as new regulations, emerging business models, and changing needs of stakeholders. This creates new demands on enterprises to meet stated goals in a dynamic and uncertain environment that translate to demands on the enterprise's software systems. Software systems however are currently designed to deliver a fixed set of goals and assumed to operate in a static environment, falling short in addressing the need for continuous adaptation under uncertainty. State-of-the-art adaptation architectures like MAPE-K have been applied to meeting non-functional requirements in a dynamic environment using a static repository of knowledge. This paper articulates the need for architecting software systems that learn from their own operation to dynamically extend existing knowledge, and utilize the knowledge to meet stated functional goals in an uncertain environment.  © 2022 ACM.","Association for Computing Machinery","ACM; ACM India SIGSOFT","15th Innovations in Software Engineering Conference, ISEC 2022","24 February 2022 through 26 February 2022","Virtual, Online","177266","Conference paper","Final","","Scopus","2-s2.0-85125650506"
"Nordzi N.M.F.B.; Rahman I.A.B.C.A.; Baharaini I.M.H.K.; Tahir I.M.R.B.M.","Nordzi, Nur Mohd Fadzli B (58121809700); Rahman, Ir.Azwanizam B Che A (58122261000); Baharaini, Ir.M Hamdan Kamarul (58121960000); Tahir, Ir.M Rahmat B Mat (58121960100)","58121809700; 58122261000; 58121960000; 58121960100","Real Time Electrical Transient Analyzer Program (ETAP RT) Improvement for Gas Processing & Utilities (GPU) plant, PETRONAS Gas Berhad","2022","2022 International Conference on Future Trends in Smart Communities, ICFTSC 2022","","","","188","193","5","1","10.1109/ICFTSC57269.2022.10040051","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149108255&doi=10.1109%2fICFTSC57269.2022.10040051&partnerID=40&md5=04370b77e902c30386f87fdf3adccb07","Engineering, GPU PETRONAS, Terengganu, Malaysia","Nordzi N.M.F.B., Engineering, GPU PETRONAS, Terengganu, Malaysia; Rahman I.A.B.C.A., Engineering, GPU PETRONAS, Terengganu, Malaysia; Baharaini I.M.H.K., Engineering, GPU PETRONAS, Terengganu, Malaysia; Tahir I.M.R.B.M., Engineering, GPU PETRONAS, Terengganu, Malaysia","Plant stability in oil and gas or petrochemical facility is crucial aspect that needs to be taken serious considerations. One must understand the plant behavior to operate and maintain the oil and gas facility in safely manners. A model-driven engineering equipped with real time operation solution is required to help plant personnel understand, identify, and analyze problems early on which can help them improve plant operational behavior during critical plant scenario. Predictive simulation models are new digitalization solution that already starting to influence nowadays way of working. It serves as 'digital twin' of the system that equipped with reliable network topology, accurate engineering parameter and linking real-Time data from existing plant electrical systems to stabilize actual plant operational performance. This paper will provide explanation on design implementation of ETAP Real time system at PETRONAS Facility include with the benefits of adding such a system, and sharing the impact that have been gained that from the implementation of these systems. It will serve as a reference handbook that discusses the importance of real-Time model-driven engineering analysis systems on oil and gas facilities. © 2022 IEEE.","Institute of Electrical and Electronics Engineers Inc.","","2022 International Conference on Future Trends in Smart Communities, ICFTSC 2022","1 December 2022 through 2 December 2022","Kuching, Sarawak","186671","Conference paper","Final","","Scopus","2-s2.0-85149108255"
"Blakseth S.S.; Rasheed A.; Kvamsdal T.; San O.","Blakseth, Sindre Stenen (57224666880); Rasheed, Adil (36835813200); Kvamsdal, Trond (6602498949); San, Omer (26424808900)","57224666880; 36835813200; 6602498949; 26424808900","Deep neural network enabled corrective source term approach to hybrid analysis and modeling","2022","Neural Networks","146","","","181","199","18","15","10.1016/j.neunet.2021.11.021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120695969&doi=10.1016%2fj.neunet.2021.11.021&partnerID=40&md5=c84e7583fdeb872d74b39b401e1f4807","Department of Physics, Norwegian University of Science and Technology, Norway; Department of Engineering Cybernetics, Norwegian University of Science and Technology, Norway; Department of Mathematical Sciences, Norwegian University of Science and Technology, Norway; Mathematics and Cybernetics, SINTEF Digital, Norway; School of Mechanical and Aerospace Engineering, Oklahoma State University, United States","Blakseth S.S., Department of Physics, Norwegian University of Science and Technology, Norway; Rasheed A., Department of Engineering Cybernetics, Norwegian University of Science and Technology, Norway, Mathematics and Cybernetics, SINTEF Digital, Norway; Kvamsdal T., Department of Mathematical Sciences, Norwegian University of Science and Technology, Norway, Mathematics and Cybernetics, SINTEF Digital, Norway; San O., School of Mechanical and Aerospace Engineering, Oklahoma State University, United States","In this work, we introduce, justify and demonstrate the Corrective Source Term Approach (CoSTA)—a novel approach to Hybrid Analysis and Modeling (HAM). The objective of HAM is to combine physics-based modeling (PBM) and data-driven modeling (DDM) to create generalizable, trustworthy, accurate, computationally efficient and self-evolving models. CoSTA achieves this objective by augmenting the governing equation of a PBM model with a corrective source term generated using a deep neural network. In a series of numerical experiments on one-dimensional heat diffusion, CoSTA is found to outperform comparable DDM and PBM models in terms of accuracy – often reducing predictive errors by several orders of magnitude – while also generalizing better than pure DDM. Due to its flexible but solid theoretical foundation, CoSTA provides a modular framework for leveraging novel developments within both PBM and DDM. Its theoretical foundation also ensures that CoSTA can be used to model any system governed by (deterministic) partial differential equations. Moreover, CoSTA facilitates interpretation of the DNN-generated source term within the context of PBM, which results in improved explainability of the DNN. These factors make CoSTA a potential door-opener for data-driven techniques to enter high-stakes applications previously reserved for pure PBM. © 2021 The Author(s)","Elsevier Ltd","","","","","","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85120695969"
"Liu J.; Ji Q.; Zhang X.; Chen Y.; Zhang Y.; Liu X.; Tang M.","Liu, Jinfeng (56013485400); Ji, Qiukai (58148084400); Zhang, Xiaohu (58616174200); Chen, Yu (56990733100); Zhang, Yiming (58615453800); Liu, Xiaojun (56113283800); Tang, Mingming (57215845127)","56013485400; 58148084400; 58616174200; 56990733100; 58615453800; 56113283800; 57215845127","Digital twin model-driven capacity evaluation and scheduling optimization for ship welding production line","2023","Journal of Intelligent Manufacturing","","","","","","","0","10.1007/s10845-023-02212-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172089441&doi=10.1007%2fs10845-023-02212-2&partnerID=40&md5=140a57f445c4e60b26092599d3cdb0f7","School of Mechanical Engineering, Jiangsu University of Science and Technology, Zhenjiang, 212003, China; School of Mechanical Engineering, Southeast University, Nanjing, 211198, China","Liu J., School of Mechanical Engineering, Jiangsu University of Science and Technology, Zhenjiang, 212003, China; Ji Q., School of Mechanical Engineering, Jiangsu University of Science and Technology, Zhenjiang, 212003, China; Zhang X., School of Mechanical Engineering, Jiangsu University of Science and Technology, Zhenjiang, 212003, China; Chen Y., School of Mechanical Engineering, Jiangsu University of Science and Technology, Zhenjiang, 212003, China; Zhang Y., School of Mechanical Engineering, Jiangsu University of Science and Technology, Zhenjiang, 212003, China; Liu X., School of Mechanical Engineering, Southeast University, Nanjing, 211198, China; Tang M., School of Mechanical Engineering, Jiangsu University of Science and Technology, Zhenjiang, 212003, China","Approximately 45% of ship delivery delays are due to welding quality. To solve the problematic control of production tempo and process sequence optimization in the welding process, it is urgent to combine the characteristics of the digital twin for dynamic simulation and optimization. Therefore, the capacity evaluation and scheduling optimization for the ship welding production line (WPL) based on the digital twin is proposed. Firstly, to describe the construction method of the digital twin model and digital twin data, a strategy is proposed for the construction of a digital twin ship component WPL model. Based on the fusion mapping of model and data, the construction of the digital twin model for WPL (DTM-WPL) is achieved. Secondly, by using equipment failure rate, processing time and buffer capacity as evaluation indicators, an WPL optimization model based on digital twins is constructed to solve the WPL production sequencing problem. Thirdly, to illustrate the welding quality traceability and prediction process, a DTM-WPL synchronous mapping for quality prediction and adjustment method is proposed. Finally, taking small and medium-sized WPL as the research object, the capacity evaluation and scheduling optimization system of ship components is developed to evaluate the production capacity of ship components. The validation results indicate that the optimized process scheme has increased production efficiency by 7.27%. © 2023, The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature.","Springer","","","","","","Article","Article in press","","Scopus","2-s2.0-85172089441"
"Braunisch N.; Ristin-Kaufmann M.; Lehmann R.; Wollschlaeger M.; Van De Venn H.W.","Braunisch, Nico (57222382006); Ristin-Kaufmann, Marko (57414527600); Lehmann, Robert (57196851697); Wollschlaeger, Martin (6701853265); Van De Venn, Hans Wernher (23971812800)","57222382006; 57414527600; 57196851697; 6701853265; 23971812800","Generation of Digital Twins for Information Exchange Between Partners in the Industrie 4.0 Value Chain","2023","IEEE International Conference on Industrial Informatics (INDIN)","2023-July","","","","","","1","10.1109/INDIN51400.2023.10218306","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171140475&doi=10.1109%2fINDIN51400.2023.10218306&partnerID=40&md5=f8f7621551a5b8afe32860a55808263d","Institute of Applied Computer Science, Tu Dresden, Germany; Zurich University of Applied Sciences (ZHAW), Institute of Mechatronic Systems (IMS), Switzerland","Braunisch N., Institute of Applied Computer Science, Tu Dresden, Germany; Ristin-Kaufmann M., Zurich University of Applied Sciences (ZHAW), Institute of Mechatronic Systems (IMS), Switzerland; Lehmann R., Institute of Applied Computer Science, Tu Dresden, Germany; Wollschlaeger M., Institute of Applied Computer Science, Tu Dresden, Germany; Van De Venn H.W., Zurich University of Applied Sciences (ZHAW), Institute of Mechatronic Systems (IMS), Switzerland","In Industry 4.0, the digital twin is represented as an Asset Administration Shell. The Asset Administration Shell meta-model is used to develop this digital twin. A developer needs ready-made exchange formats and data schemas to be able to work efficiently with libraries in his programming languages. The existing representations of the metamodel in XML, JSON and RDF, in their current form, have been created manually by individual working group members. This process is error-prone and inconsistent in the enforcement of serialization rules, leading to many manual re-implementations of the Asset Administration Shell in each representation. We present an approach to automatically generate the different data schemas for information exchange between partners in the Industry 4.0 value chain, based on the intermediate representation of the formalized meta-model. The approach enables a practical and simple development process of and is scalable across different exchange formats and their future changes. © 2023 IEEE.","Institute of Electrical and Electronics Engineers Inc.","Fraunhofer IOSB-INA; IEEE; IEEE Industrial Electronics Society (IES); Institute Industrial IT - inIT at the OWL University of Applied Sciences and Arts (TH-OWL)","21st IEEE International Conference on Industrial Informatics, INDIN 2023","17 July 2023 through 20 July 2023","Lemgo","192026","Conference paper","Final","","Scopus","2-s2.0-85171140475"
"Perišić A.; Perišić I.; Perišić B.","Perišić, Ana (26040969400); Perišić, Ines (58360880500); Perišić, Branko (8695856600)","26040969400; 58360880500; 8695856600","Simulation-Based Engineering of Heterogeneous Collaborative Systems—A Novel Conceptual Framework","2023","Sustainability (Switzerland)","15","11","8804","","","","0","10.3390/su15118804","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163110489&doi=10.3390%2fsu15118804&partnerID=40&md5=4212f0c3de928d2a678461626f738ebe","Faculty of Technical Science, University of Novi Sad, Novi Sad, 21000, Serbia; Center Novi Sad, University Singidunum Belgrade, Novi Sad, 160622, Serbia","Perišić A., Faculty of Technical Science, University of Novi Sad, Novi Sad, 21000, Serbia; Perišić I., Faculty of Technical Science, University of Novi Sad, Novi Sad, 21000, Serbia; Perišić B., Center Novi Sad, University Singidunum Belgrade, Novi Sad, 160622, Serbia","We discuss the collaboration support of loosely coupled Smart Systems through configurable hyper-frameworks. Based on the system-of-systems (SoS) paradigm, in this article, we propose the model of a novel extendible conceptual framework with domain-specific moderation support for model-based simulations and the engineering of complex heterogeneous systems. The domain knowledge meta-model and corresponding management enterprise architecture enable the creation of template-based specializations. The proposed SoS conceptual framework meta-model represents an initial framework prototype that supports modeling, simulation, analysis, and utilization of dynamic architecting of heterogeneous SoS configurations. A Smart-Habitat concept encapsulating Smart-Area, Smart-City, Smart-Lot, Smart-Building, and Smart-Unit abstractions illustrate the frameworks’ applicability. The proposed SoS conceptual framework represents the initial conceptual support for modeling, simulation, analysis, and dynamic architecting of heterogeneous SoS configurations. We plan to refine the component architecture meta-model, specify a language workbench with Domain-Specific Orchestration Language support, and verify the configuration-based simulation manifest creation. These actions lead to the framework’s next stage, an operational framework (OF) instance, as a transitional artifact to the aimed software framework (SwF) counterpart. © 2023 by the authors.","MDPI","","","","","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85163110489"
"Barat S.; Kulkarni V.; Clark T.; Barn B.","Barat, Souvik (22633698400); Kulkarni, Vinay (8542305000); Clark, Tony (55431223700); Barn, Balbir (6506944724)","22633698400; 8542305000; 55431223700; 6506944724","Digital twin as risk-free experimentation aid for techno-socio-economic systems","2022","Proceedings - 25th ACM/IEEE International Conference on Model Driven Engineering Languages and Systems, MODELS 2022","","","","66","75","9","6","10.1145/3550355.3552409","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141841440&doi=10.1145%2f3550355.3552409&partnerID=40&md5=3fb241a11b34b133cb0dae377d2894e2","Tata Consultancy Service Research, Pune, India; Aston University, Birmingham, United Kingdom; Middlesex University, London, United Kingdom","Barat S., Tata Consultancy Service Research, Pune, India; Kulkarni V., Tata Consultancy Service Research, Pune, India; Clark T., Aston University, Birmingham, United Kingdom; Barn B., Middlesex University, London, United Kingdom","Environmental uncertainties and hyperconnectivity force technosocio-economic systems to introspect and adapt to succeed and survive. Current practices in decision-making are predominantly intuition-driven with attendant challenges for precision and rigor. We propose to use the concept of digital twins by combining results from Modelling & Simulation, Artificial Intelligence, and Control Theory to create a risk free 'in silico' experimentation aid to help: (i) understand why a system is the way it is, (ii) be prepared for possible outlier conditions, and (iii) identify plausible solutions for mitigating the outlier conditions in an evidence-backed manner. We use reinforcement learning to systematically explore the digital twin solution space. Our proposal is significant because it advances the effective use of digital twins to new problem domains that have new potential for impact. Our approach contributes an original meta model for simulatable digital twin of industry scale techno-socioeconomic systems, agent-based implementation of the digital twin, and an architecture that serves as a risk-free experimentation aid to support simulation-based evidence-backed decision-making. We also discuss the rigor of our validation of the proposed approach and associated technology infrastructure through a representative sample of industry-scale real-world use cases. © 2022 ACM.","Association for Computing Machinery, Inc","ACM Special Interest Group on Software Engineering (ACM SIGSOFT); et al.; Huawei; IEEE Computer Society (IEEE CS); IEEE Computer Society, Technical Committee on Software Engineering (TCSE); University of Montreal","25th ACM/IEEE International Conference on Model Driven Engineering Languages and Systems, MODELS 2022","23 October 2022 through 28 October 2022","Montreal","183687","Conference paper","Final","","Scopus","2-s2.0-85141841440"
"Sidahmed Alamin K.S.; Daghero F.; Pollo G.; Pagliari D.J.; Chen Y.; MacIi E.; Poncino M.; Vinco S.","Sidahmed Alamin, Khaled Sidahmed (57984781000); Daghero, Francesco (57214993502); Pollo, Giovanni (58630249500); Pagliari, Daniele Jahier (57188694923); Chen, Yukai (57205469609); MacIi, Enrico (57220064299); Poncino, Massimo (7004365626); Vinco, Sara (18035995700)","57984781000; 57214993502; 58630249500; 57188694923; 57205469609; 57220064299; 7004365626; 18035995700","Model-Driven Dataset Generation for Data-Driven Battery SOH Models","2023","Proceedings of the International Symposium on Low Power Electronics and Design","2023-August","","","","","","0","10.1109/ISLPED58423.2023.10244587","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173078784&doi=10.1109%2fISLPED58423.2023.10244587&partnerID=40&md5=eefca30a83e4f46d2e22baf95430aee6","Politecnico di Torino, Turin, Italy; Imec, Leuven, Belgium","Sidahmed Alamin K.S., Politecnico di Torino, Turin, Italy; Daghero F., Politecnico di Torino, Turin, Italy; Pollo G., Politecnico di Torino, Turin, Italy; Pagliari D.J., Politecnico di Torino, Turin, Italy; Chen Y., Imec, Leuven, Belgium; MacIi E., Politecnico di Torino, Turin, Italy; Poncino M., Politecnico di Torino, Turin, Italy; Vinco S., Politecnico di Torino, Turin, Italy","Estimating the State of Health (SOH) of batteries is crucial for ensuring the reliable operation of battery systems. Since there is no practical way to instantaneously measure it at run time, a model is required for its estimation. Recently, several data-driven SOH models have been proposed, whose accuracy heavily relies on the quality of the datasets used for their training. Since these datasets are obtained from measurements, they are limited in the variety of the charge/discharge profiles. To address this scarcity issue, we propose generating datasets by simulating a traditional battery model (e.g., a circuit-equivalent one). The primary advantage of this approach is the ability to use a simulatable battery model to evaluate a potentially infinite number of workload profiles for training the data-driven model. Furthermore, this general concept can be applied using any simulatable battery model, providing a fine spectrum of accuracy/complexity tradeoffs. Our results indicate that using simulated data achieves reasonable accuracy in SOH estimation, with a 7.2 % error relative to the simulated model, in exchange for a 27X memory reduction and a ≈ 2000X speedup. © 2023 IEEE.","Institute of Electrical and Electronics Engineers Inc.","","2023 IEEE/ACM International Symposium on Low Power Electronics and Design, ISLPED 2023","7 August 2023 through 8 August 2023","Vienna","192744","Conference paper","Final","","Scopus","2-s2.0-85173078784"
"Heithoff M.; Hellwig A.; Michael J.; Rumpe B.","Heithoff, Malte (57438806400); Hellwig, Alexander (57211025503); Michael, Judith (55341586200); Rumpe, Bernhard (55861872700)","57438806400; 57211025503; 55341586200; 55861872700","Digital Twins for Sustainable Software Systems","2023","Proceedings - 2023 IEEE/ACM 7th International Workshop on Green And Sustainable Software, GREENS 2023","","","","19","23","4","4","10.1109/GREENS59328.2023.00010","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168134336&doi=10.1109%2fGREENS59328.2023.00010&partnerID=40&md5=1998fc3accf8cc779c489fc3ef9031d2","Rwth Aachen University, Software Engineering, Aachen, Germany","Heithoff M., Rwth Aachen University, Software Engineering, Aachen, Germany; Hellwig A., Rwth Aachen University, Software Engineering, Aachen, Germany; Michael J., Rwth Aachen University, Software Engineering, Aachen, Germany; Rumpe B., Rwth Aachen University, Software Engineering, Aachen, Germany","Sustainable software systems aim to create resource-efficient software products and reduce the carbon impact of applications. Current approaches for sustainability assessment of software are either only focused on their operation or rely on methods in their engineering. More holistic approaches for sustainable software system spanning are missing. Thus, we are interested in the engineering of sustainable software systems together with the monitoring of their sustainability goals over their whole lifetime. Within this paper, we suggest using digital twins to accompany software systems in all life cycle phases with a specific focus on using model-driven engineering methods for the creation of applications. We can generate accompanying digital twins which share relevant models and data with the actual system and provide services for the assessment of sustainability indicators. In the long run, this provides us with better assessment options for software systems. © 2023 IEEE.","Institute of Electrical and Electronics Engineers Inc.","","7th IEEE/ACM International Workshop on Green And Sustainable Software, GREENS 2023","14 May 2023","Melbourne","191064","Conference paper","Final","","Scopus","2-s2.0-85168134336"
"Ma X.; Tao F.; Zhang M.; Wang T.; Zuo Y.","Ma, Xin (57208317135); Tao, Fei (12141248300); Zhang, Meng (57192100009); Wang, Tian (57208896780); Zuo, Ying (56165746800)","57208317135; 12141248300; 57192100009; 57208896780; 56165746800","Digital twin enhanced human-machine interaction in product lifecycle","2019","Procedia CIRP","83","","","789","793","4","66","10.1016/j.procir.2019.04.330","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070538620&doi=10.1016%2fj.procir.2019.04.330&partnerID=40&md5=17dc83f5518e0e97fa1c488a4f7bf8ec","School of Automation Science and Electrical Engineering, Beihang University, Beijing, 100191, China","Ma X., School of Automation Science and Electrical Engineering, Beihang University, Beijing, 100191, China; Tao F., School of Automation Science and Electrical Engineering, Beihang University, Beijing, 100191, China; Zhang M., School of Automation Science and Electrical Engineering, Beihang University, Beijing, 100191, China; Wang T., School of Automation Science and Electrical Engineering, Beihang University, Beijing, 100191, China; Zuo Y., School of Automation Science and Electrical Engineering, Beihang University, Beijing, 100191, China","Human-machine interaction (HMI) is a key technology for implementing smart manufacturing, which primarily focuses on the issues of communication, interaction, and cooperation between humans and machines. HMI has been widely studied in product lifecycle including product design, manufacturing, and service, but the efficiency and safety still cannot meet the new requirements for smart manufacturing along with new emerging technologies (e.g., big data, artificial intelligence, augmented reality, etc.). Digital twin (DT), as a new technology to realize cyber-physical integration, provides a new chance to address the above problems. Using a five-dimension DT model driven by real-time data, HMI will generate a more flexible interactive mode to improve machine efficiency and operation safety. In this paper, HMI in product lifecycle is investigated first, and the shortness and new requirements are analyzed, then a DT enhanced HMI framework is proposed to address the shortness. © 2019 The Authors. Published by Elsevier B.V.","Elsevier B.V.","","11th CIRP Conference on Industrial Product-Service Systems, CIRP IPS2 2019","29 May 2019 through 31 May 2019","Zhuhai","150003","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85070538620"
