;Title;DT Definition;modeling language;model type;notation;MDE technique;direction;source;target;purpose;domain;system lifecycle phase;twinning target;twin lifecycle phase;purpose /expected benefit of using models;open challenges;TEchnological REadiness Level;notes;Reviewer;Reason;Notes;model processing technique;Spalte3;model usage technique;Modeling Tool;Notes.1;purpose of MDE application;purpose of DT;DT definition;Spalte1;Spalte4;Spalte2;notes3;purpose of MDE technique;Unnamed: 18
17;Ensuring consistency in scalable-detail models for DT-based control;;;;;;;;;;;;;;;;;;Daniel;No MDE technique used;focus is on consistency between different models (structural and behavioral);;;;;;;;;;;;;;
18;The OMiLAB Digital Innovation environment: Agile conceptual models to bridge business value with Digital and Physical Twins for Product-Service Systems development;;;;;;;;;;;;;;;;;;Daniel;;;;;;;;;;;;;;;;
19;Digital twin enhanced human-machine interaction in product lifecycle;;;;;;;;;;;;;;;;;;Daniel;No MDE technique used;;;;;;;;;;;;;;;
20;Modular Fault Ascription and Corrective Maintenance Using a Digital Twin;;;;;;;;;;;;;;;;;;Daniel;No MDE technique used;;;;;;;;;;;;;;;
21;Generating customized low-code development platforms for digital twins;;MontiArc;;textual;;;MontiArc-Model describing Software + Monti-Arc Model describing DSLs;Digital Twin Implementation;;C  Manufacturing;Implement;Individual Systems, such as automated cars (Atorf and Roßmann, 2018), gas turbines (Dawes et al., 2019), or manufacturing machines (Debroy et al., 2017).;As-Designed;easily integrate different implementations (monti arc as definition of common interfaces);account for future variability;"4-5: das Ding läuft ""im Labor""";;Daniel;;;code generation;;Model-Driven Architecture?;;;Generate DT architecture implementation from DT plugins (combine software + language components);realize self-adaptation loop for CPS;"a digital twin is ""a set of models of the system, a set of digital shadows and their aggregation and abstraction collected from a system, and a set of services that allow using the data and models purposefully with respect to the original system""";injection molding machine;;;;;
22;Generating customized low-code development platforms for digital twins;;;;low-code interface;;;Service configuration models (written in DSLs specified together with the service definition in montiarc);Digital Twin Implementation;;;Operate;;As-Operated;configurability: easily configure 1 implementation for different CPSs;"LCDP should also support ""collaborative development""";;;Daniel;;;model interpretation;;;;;configure existing DT architecture;;;;;;;;
23;A data-model fusion dispatch strategy for the building energy flexibility based on the digital twin;;;;;;;;;;;;;;;;;;Daniel;No MDE technique used;;;;;;;;;;;;;;;
24;Meta-model-based shop-floor digital twin architecture, modeling and application;;SysML (meta-model, I assume they mean BDD/structural representation);;;;;raw data;SysML;;C  Manufacturing;Design;Systems of Systems, such as complete factories (Biesinger et al., 2018), oil wells (Kosenkov et al., 2018), or railway systems (Vatn, 2018).;As-Designed;;;"4-5: das Ding läuft ""im Labor""";;Daniel;;;model interpretation;;traceability;;;align data from CPS with SysML model;Provide Self-Adapation/Optimization based on (i) data from PT, (ii) operations offered by the PT;"the Shop-floor Digital Twin (SDT), as the digital counterpart of physical entities including the humans, machines, material, methods and environments in the existing shop-floor, mirrors the physical shop-floor behavior and performance in the virtual space. The digital counterpart is comprised of a series of semantic digital models and simulation models of the physical shop-floor and has the automatic data synchronization between the physical and virtual space. By establishing the automatic data flow between the physical shop-floor and digital counterpart, the semantic digital models and simulation 
models could be converted to digital shadow and further evolved into SDT.";shopfloor;;;Das Papier gehört imho gepunished dafür, dass sie behaupten, dass sie ihre Meta-Modelle in SysML erstellt haben;;
25;Meta-model-based shop-floor digital twin architecture, modeling and application;;;;;;;;;;;Operate;;;;;;;Daniel;;;;;;;;;;;;;;;;
26;3D crowdsourced parametric cadastral mapping: Pathways integrating BIM/IFC, crowdsourced data and LADM;;;;;;;;;;;;;;;;;;Daniel;No MDE technique used;;;;;;;;;;;;;;;
27;Generating Digital Twin Cockpits for Parameter Management in the Engineering of Wind Turbines;;UML Class Diagram;;textual;;;UML Class Diagram;UI Model;;D  Electricity, Gas, Steam and Air Conditioning Supply;Implement;Individual Systems, such as automated cars (Atorf and Roßmann, 2018), gas turbines (Dawes et al., 2019), or manufacturing machines (Debroy et al., 2017).;As-Designed;reduce complexity in system design by bridging the gap between high-level requirements and high-detail implementations;;1-3: die Technologie gibt's, evtl. am Toy Example gezeigt;;Daniel;;;Model to Model Transformation;cf. Figure 3;;;;;???virtual representation of data from the physical system?? Very generic, no explicit purpose stated;a digital twin of a system consists of a set of models of the system, a set of digital shadows, and provides a set of services to use the data and models purposefully with respect to the original system [Da20].;cooling system of a wind turbine;;;;;
28;Generating Digital Twin Cockpits for Parameter Management in the Engineering of Wind Turbines;;UI Model;;;;;UML Class Diagram;Part of DT UI Cockpit;;;;;;;;;;Daniel;;;code generation;cf. Figure 3;;;;;;;;;;;;
29;Generating Digital Twin Cockpits for Parameter Management in the Engineering of Wind Turbines;;;;;;;UI Model;Part of DT UI Cockpit;;;;;;;;;;Daniel;;;;;;;;;;;;;;;;
30;Digital Twin Enables Rational Design of Ultrahigh-Power Lithium-Ion Batteries;;;;;;;;;;;;;;;;;;Daniel;No MDE technique used;;;;;;;;;;;;;;;
31;A framework for Model-Driven Engineering of resilient software-controlled systems;;SysML BDD;;;;;SysML BDD;Knowledge Base of software digital twins (Metamodel proposed in Figure 5 of the paper);;;;;;;;;;Daniel;;;Model to Model Transformation;;;;;reuse information created by reliability engineers (sysml) for concrete software implementation;;;;;;;;
32;A framework for Model-Driven Engineering of resilient software-controlled systems;;Knowledge base model (contribution of the paper;;;;;reliability requirements;executable models of failure modes (as fault trees);;H  Transportation and Storage;Plan;;As-Designed;formal specification of information in the form of models allows the application of MDE techniques (model transformations);;1-3: die Technologie gibt's, evtl. am Toy Example gezeigt;;Daniel;;;;;;;;reuse information created by reliability engineers (sysml) for concrete software implementation;not specified;not specified;limited traffic zone access control;mde bridges gap between plan (reliability requirements engineering) and design of the system (definition of software architecture before actual implementation);;;;
33;A framework for Model-Driven Engineering of resilient software-controlled systems;;fault trees;;;;;;;;;Design;;;;;;;Daniel;;;;;;;;;;;;;;;;
34;Model-Driven Development of a Digital Twin for Injection Molding;;;;;;;;;;;;;;;;;;Daniel;;;;;;;;;realizes self-adaptation loop based on MAPE (cf. Figure 2);A digital twin of a system consists of a set of models of the system, a set of digital shadows, and provides a set of services to use the data and models purposefully with respect to the original system.;;;;;;
35;The Framework for Designing Autonomous Cyber-Physical Multi-agent Systems for Adaptive Resource Management;;montiarc, class diagrams, event language, DoE;;notation;;;DT MontiArc architecture, domain, data processor;"Java code for the DTs
logic for data retrieval, communication with the CPPS, evaluation of DSs, and
reaction to these";;C  Manufacturing;Implement;Individual Systems, such as automated cars (Atorf and Roßmann, 2018), gas turbines (Dawes et al., 2019), or manufacturing machines (Debroy et al., 2017).;As-Designed;textual notation that helps domain experts cope with software;All DSLs that we introduced are tailored to support the specification of DTs, but in other domains, different notations might be standard, and therefore, modeling relevant data elements and behaviors might be challenging. So far, no human interaction with the DT is considered. Since domain experts usually have domain knowledge that can help the DT to react appropriately to events, integrating such knowledge at runtime will be future work;"4-5: das Ding läuft ""im Labor""";;Daniel;;;code generation;;;;;generate software implementation from textual description/configure predefined architecture using textual description;;;injection molding machine;;;;;
36;The Research of Aero-engine Digital Twin Model Based on Model-driven and Data-driven Fusion Method;;;;;;;;;;;;;;;;;;Daniel;No MDE technique used;;;;;;;;;;;;;;;
37;Generative and Model-driven SDK development for the Industrie 4.0 Digital Twin;;AAS, AAS Domain-specific language;;;;;AAS Domain-Specific Model;C#/Java Stubs + Contracts;;;Implement;;As-Designed;;;1-3: die Technologie gibt's, evtl. am Toy Example gezeigt;;Daniel;;;code generation;;;;;Generate SDK from AAS specification. SDK can be used to implement DT;reasoning in the virtual space;A digital twin allows us to reason about a physical and/or ideal assets in the virtual (i.e. cyber) space thus providing a necessary foundation for complex and large cyber-physical systems.;;;;no demonstration or evaluation provided, only description of the prototypical implementation of the proposed concept;;
38;Towards a Reference Architecture for Leveraging Model Repositories for Digital Twins;;UML CD/AD;;textual;;;UML model;services that interact with the PT based on the UML models;;;Operate;Individual Systems, such as automated cars (Atorf and Roßmann, 2018), gas turbines (Dawes et al., 2019), or manufacturing machines (Debroy et al., 2017).;As-Operated;common knowledge base;;1-3: die Technologie gibt's, evtl. am Toy Example gezeigt;;Daniel;;;model interpretation;;;;;model as common knowledge base;;a Digital Twin (DT) can be build to act as virtual representation for control, regulation, and adaption, ideally across the entire life-cycle of CPS;;;;;;
39;Digital Twin Operational Platform for Connectivity and Accessibility using Flask Python;;;;;;;;;;;;;;;;;;Daniel;No MDE technique used;;;;;;;;;;;;;;;
40;Data- and model-driven digital twins for design and logistics control of product distribution;;;;;;;;;;;;;;;;;;Daniel;No MDE technique used;;;Tool: RobotStudio (ABB proprietary);;;;;;;;;;;;
41;A software engineering point of view on digital twin architecture;;;;;;;;;;;;;;;;;;Daniel;No MDE technique used;;;;;;;;;;;;;;;
42;Process Prediction with Digital Twins;;Domain Language, OCL, Tagging Language, Data language, GUI language, Process Language, MontiArc, DS + Process Structure Language;;;;;All beforementioned models;DT implementation;;C  Manufacturing;Implement;Individual Systems, such as automated cars (Atorf and Roßmann, 2018), gas turbines (Dawes et al., 2019), or manufacturing machines (Debroy et al., 2017).;As-Operated;high-level access to software configuraiton for domain experts;;1-3: die Technologie gibt's, evtl. am Toy Example gezeigt;;Daniel;;;code generation;;Model-Driven Architecture: ASM: Domain, OCL, Tagging, Data, GUI, Process Model. AIM: MontiArc, Basic DS structure, Basic Process Structure Model;;;automatically derive DT implementation from DSLs;realize self-adaptation based on MAPE pattern;software systems that can actively represent, control, and/or optimize the behavior of an observed (cyber-physical) system. Such a DT of a system consists of a set of models of the system, a set of Digital Shadows (DSs), and provides a set of services to use the data and models purposefully with respect to the original system;;injection molding machine;;;;
43;AML4DT: A Model-Driven Framework for Developing and Maintaining Digital Twins with AutomationML;;AML;;textual;;;AML;platform-neutral DT metamodel;;;;;;represent information across asset lifecycle, reuse information based on machine-readable format of models;;;;Daniel;;;Model to Model Transformation;;;;;reuse information from existing engineering model (AML) for setting up/evolving DTs;;;;;;;;
44;AML4DT: A Model-Driven Framework for Developing and Maintaining Digital Twins with AutomationML;;platform-neutral DT metamodel (contribution of the paper);;textual;;;platform-neutral DT metamodel;DTDL;;;;;;;;;;Daniel;;;Model to Model Transformation;;;;;generate proprietary DTDL model from platform-neutral DT model;;;;;;;;
45;AML4DT: A Model-Driven Framework for Developing and Maintaining Digital Twins with AutomationML;;DTDL;;textual;;;DTDL;Microsoft Azure DT Service;;N  Administrative and Support Service Activities;Implement;Individual Systems, such as automated cars (Atorf and Roßmann, 2018), gas turbines (Dawes et al., 2019), or manufacturing machines (Debroy et al., 2017).;As-Designed;reduces complexity through abstraction, enables automation through model-driven engineering;"Further Model-Driven Software Engineering (MDSE) research for DTs. From the MDSE perspective, the realization of such an approach requires (1) the adaption of existing generators such as MontiGem to be able to handle the additional models in different Domain-Specific Languages (DSLs), (2) the integration of further generation steps, (3) to extend the runtime environment of the DT to be able to handle process models at runtime, and (4) to extend the runtime environment of the DT or provide APIs to include process mining services.

Derive DTs from engineering models

Automatically exploiting DT insights. Where digital twins
are in place, they can provide tremendous insights about the
operation of the particular observed system instance. Often,
these insights can be applied to other instances of the same
system type, similar systems, and future versions of these systems. Yet, we are lacking means to automatically exploit these
insights sustainably. Automatically improving the engineering
models of the observed system based on insights produced
by its digital twins could be valuable angle to improve this.

Models at runtime in DTs. From
a computer science perspective, the long-term operation of
digital twins poses further challenges such as how to handle
DS and DS-type evolvement,";1-3: die Technologie gibt's, evtl. am Toy Example gezeigt;;Daniel;;;model interpretation;;;;this part is not an actual contribution of the paper, but already provided by the Azure DT platform;setup twins in DT service based on DTDL model;interface to running system;dynamic virtual model of a system, processor, or service, with data (e.g., sensor data) from physical systems or processes integrated into it.;Air Quality Opitmization System;;;;;
46;Twin Process Model Driven Machining Quality Optimization for Complex Parts;;not specified;;;;;model containing structural and behavioral (process) information;;;C  Manufacturing;Operate;Individual Systems, such as automated cars (Atorf and Roßmann, 2018), gas turbines (Dawes et al., 2019), or manufacturing machines (Debroy et al., 2017).;As-Designed;represent structural/behavioral information in a machine-readable format;;1-3: die Technologie gibt's, evtl. am Toy Example gezeigt;;Daniel;;;model interpretation;;;;;;efficiently realizes simulation, monitoring and control of multi scale and physical quantity;an intelligent method to link machining process and process design, which is benefit to the scientific control of machining quality.;;integral impeller cutting;;;;
47;Multisource Model-Driven Digital Twin System of Robotic Assembly;;;;;;;;;;;;;;;;;;Daniel;No MDE technique used;;;;;;;;;;;;;;;
48;Semantic Interoperability of Digital Twins: Ontology-based Capability Checking in AAS Modeling Framework;;OWL Ontology + OML Vocabulary;;;;;OML Vocabulary;UML Profile;;C  Manufacturing;Design;Systems of Systems, such as complete factories (Biesinger et al., 2018), oil wells (Kosenkov et al., 2018), or railway systems (Vatn, 2018).;As-Designed;formal definition that allows reasoning on/interpretation of models, interoperability;;1-3: die Technologie gibt's, evtl. am Toy Example gezeigt;;Daniel;;;Model to Model Transformation;;;EMF;additionally, OML is defined according to the OWL Ontology (conformsTo), and AAS models are annotated using the UML Profile;convert OML Vocabulary into UML Profile that can be applied to AAS models;AAS model, enriched with semantic annotations based on OWL ontology;;robotic cell (niryo ned for gripping + turtlebot for transportation);;;;;
49;Semantic Interoperability of Digital Twins: Ontology-based Capability Checking in AAS Modeling Framework;;UML Profile;;;;;AAS Model (annotated with UML stereotypes);OWL individuals;;;;;;;;;;Daniel;;;Model to Model Transformation;;;EMF;;;;;;;;;;
50;Semantic Interoperability of Digital Twins: Ontology-based Capability Checking in AAS Modeling Framework;;AAS;;;;;OWL Ontology + OWL Individuals;capability matchmaker;;;;;;;;;;Daniel;;;model interpretation;;;EMF;;apply SPARQL Queries on Ontology Models, and assess the results within the capability matchmaker (cf. Section 4.B);;;;;;;;
51;Semantic Interoperability of Digital Twins: Ontology-based Capability Checking in AAS Modeling Framework;;OWL Individuals (instantiated OWL ontology);;;;;AAS Model;user interface created by the authors (cf. Section 4.C);;;;;;;;;;Daniel;;;model interpretation;;;EMF;;integrate AAS models into the overall proces (also involving the two model transformations described above), which is handled by the developed user interface;;;;;;;;
52;A Lightweight Model-driven MES Simulation Framework Based On Probabilistic Finite Automata;;;;;;;;;;;;;;;;;;Daniel;No MDE technique used;theroetisch reden sie davon, dass die simulationen konfiguriert werden, bzw. die simulationsdaten interpretiert werden könnenaber von einer konkreten Implementierung beschreiben sie nichts;;;;;;;;;;;;;;
53;Digital Twin of an Electrical Motor Based on Empirical Performance Model;;Unity 3D simulation model describing detailed physics of twinned asset;;;;;Unity Model;Simulation Controller;;H  Transportation and Storage;Operate;Individual Systems, such as automated cars (Atorf and Roßmann, 2018), gas turbines (Dawes et al., 2019), or manufacturing machines (Debroy et al., 2017).;As-Designed;simulation;;1-3: die Technologie gibt's, evtl. am Toy Example gezeigt;;Daniel;;;;;;;;use feedback from simulation in simulation controller;3D simulation model that is updated with live data from the twinned asset;The concept of Digital Twin (DT) is creating and maintaining a digital representation of the real physical entity and supporting its performance through simulation and optimization tools, which are fed with real and updated data.;;Electrical Motor (phase = operate, because simulation is fed with live data by the simulation controller);;;;
54;Closed-Loop Systems Engineering (CLOSE): Integrating Experimentable Digital Twins with the Model-Driven Engineering Process;;;;;;;;;;;;;;;;;;Daniel;No MDE technique used;paper proposes a process how humans develop systems based on experimental DTs;;;;;;;;;;;;;;
55;Research on Modeling Method of System Reliability Digital Twin;;;;;;;;;;;;;;;;;;Daniel;No MDE technique used;architecture figure would imply model interpretation by an optimization service, but there is no further information on this in the paper;;;;;;;;;;;;;;
56;Improved Electric Vehicle Digital Twin Performance Incorporating Detailed Lithium-ion Battery Model;;;;;;;;;;;;;;;;;;Daniel;No MDE technique used;this paper is a 5-pager, consisting of 80 % figures;;;;;;;;;;;;;;
57;Workshop Management and Control System Based on Digital Twin;;;;;;;;;;;;;;;;;;Daniel;No MDE technique used;;;;;;;;;;;;;;;
58;Using UML and OCL Models to Realize High-Level Digital Twins;;UML (class diagrams);;textual;;;UML class diagram;uml cd adapter that interprets CD and adapts a data lake accordingly (data lake stores data from the PT);;H  Transportation and Storage;Operate;Individual Systems, such as automated cars (Atorf and Roßmann, 2018), gas turbines (Dawes et al., 2019), or manufacturing machines (Debroy et al., 2017).;As-Designed;;;1-3: die Technologie gibt's, evtl. am Toy Example gezeigt;;Daniel;;;model interpretation;;;USE;;configure data lake that stores PT data based on UML CD;"DT = UML class diagram; configures data lake that stores data from PT, which should be used by different services";comprehensive digital representation of an actual system, service or product (the Physical Twin, PT), synchronized at a specified frequency and fidelity;lego mindstorms car;;;;;
59;Interface Development for Digital Twin of an Electric Motor Based on Empirical Performance Model;;;;;;;;;;;;;;;;;;Daniel;;this is the jornal extension of Digital Twin of an Electrical Motor Based on Empirical Performance Model, extracted data is for me the same than in the conference paper. Also: shall we count IEEE Access as non-peer-reviewed/predatory?;;;;;;;;;;;;;;
60;A Model-Driven Approach for Situational Intelligence & Operational Awareness;;;;;;;;;;;;;;;;;;Daniel;No MDE technique used;it is described that power models should be interpreted by data management/scada solutions, but no specifics of how this is done are given, so it seems that there is no actual implementation, but the existing implementation rather relies on hard-coded services that are tied to the specific model used;;;;;;;;;;;;;;
61;Knowledge driven rapid development of white box digital twins for industrial plant systems;;SADL ontology;;textual;;;SADL ontology;M&CML control systems model;;;;;;;;;;Daniel;;;Model to Model Transformation;;;;;Translating knowledge to a control system model enables a validation mechanism for the captured domain knowledge against the control systems domain and vocabulary. Any gap or inconsistency in the translated control system model implies gaps in the knowledge source that needs to get updated accordingly;Ts enable a virtual sand-box environment simulating the behaviour of a plant to perform analyses and predictions.;the stated purpose could also be seen as a definition;;;;;;
62;Knowledge driven rapid development of white box digital twins for industrial plant systems;;M&CML control systems model;;;;;M&CML;fininte state machine;;D  Electricity, Gas, Steam and Air Conditioning Supply;Operate;Individual Systems, such as automated cars (Atorf and Roßmann, 2018), gas turbines (Dawes et al., 2019), or manufacturing machines (Debroy et al., 2017).;As-Designed;;;1-3: die Technologie gibt's, evtl. am Toy Example gezeigt;;Daniel;;;Model to Model Transformation;;;;;make control systems model executable;;;power plant;;;;;
63;Knowledge driven rapid development of white box digital twins for industrial plant systems;;finite state machines, represented in SCXML;;graphical;;;;;;;;;;;;;;Daniel;;;;;;;;;;;;;;;;
64;Interface Management with Closed-Loop Systems Engineering (CLOSE);;;;;;;;;;;;;;;;;;Daniel;No MDE technique used;;;;;;;;;;;;;;;
0;Model-Driven Digital Twin Construction: Synthesizing the Integration of Cyber-Physical Systems with Their Information Systems;;MontiArc ADL;structure;textual;code generation;;MontiArc;Java, Python or C++;DT Information System Software Architecture;;;;As-Designed;;;;;Jerome;;;;;;;;;;;;;;;;
1;Model-Driven Digital Twin Construction: Synthesizing the Integration of Cyber-Physical Systems with Their Information Systems;;Classdiagram;structure;textual;code generation;;Classdiagram;data structure, database schema, data views;Backend Infrastructure generation;;;;As-Designed;;;;;Jerome;;;;;;;;;;;;;;;;
2;Model-Driven Digital Twin Construction: Synthesizing the Integration of Cyber-Physical Systems with Their Information Systems;;Gui DSL;structure;textual;code generation;;GUI Model;Webpage;frontend generation;;;;As-Designed;;;;;Jerome;;;;;;;;;;;;;;;;
3;Model-Driven Digital Twin Construction: Synthesizing the Integration of Cyber-Physical Systems with Their Information Systems;;MontiArc + Tagging;structure;textual;code generation;;MontiArc ADL + Tagging applied on ports of adl model;new MontiArc ADL with components receiving tagged ports;frontend generation;;;;As-Designed;;;;;Jerome;;;;;;;;;;;;;;;;
4;Measuring the Fidelity of Digital Twin Systems;;;;;;;;;;;;;;;;;;Jerome;Challenge/Position Paper;;;;;;;;;;;;;;;
5;Digital Twin as Risk-Free Experimentation Aid for Techno-Socio-Economic Systems;;;;;;;;;;;;;;;;;;Jerome;No MDE technique used;;;;;;;;;;;;;;;
6;Using Trace Alignments for Measuring the Similarity between a Physical and Its Digital Twin;;;;;;;;;;;;;;;;;;Jerome;No Model used;;;;;;;;;;;;;;;
7;Towards a Digital Twin for Cyber-Physical Production Systems: A Multi-Paradigm Modeling Approach in the Postal Industry;1) behave like the real system during its entire life cycle, 2) allow to predict possible failures and 3) take autonomous decisions accordingly. Moreover, it appears to be fundamental to have a seamless connection and synchronization between the DT and the system;BPMN;behavior;;Model to Model Transformation;uni;BPMN;Activity Diagram;Multi-paradigm modeling;"O  Public Administration and Defense; Compulsory Social Security";Operate;Processes, e.g., business processes (Rambow-Hoeschele et al., 2018), medical processes (Karakra et al., 2018), or recycling processes (Popa et al., 2018).;As-Operated;;;;;Jerome;;;;;;;;;;;;;;;;
8;Towards a Digital Twin for Cyber-Physical Production Systems: A Multi-Paradigm Modeling Approach in the Postal Industry;1) behave like the real system during its entire life cycle, 2) allow to predict possible failures and 3) take autonomous decisions accordingly. Moreover, it appears to be fundamental to have a seamless connection and synchronization between the DT and the system;Activity Diagram;behavior;;Model to Model Transformation;uni;Activity Diagram;Class Diagram;Multi-paradigm modeling;"O  Public Administration and Defense; Compulsory Social Security";Operate;Processes, e.g., business processes (Rambow-Hoeschele et al., 2018), medical processes (Karakra et al., 2018), or recycling processes (Popa et al., 2018).;As-Operated;;;;;Jerome;;;;;;;;;;;;;;;;
9;Modular Fault Ascription and Corrective Maintenance Using a Digital Twin;;;;;;;;;;;;;;;;;;Jerome;No MDE technique used;;;;;;;;;;;;;;;
10;Generating customized low-code development platforms for digital twins;software systems that are representing (twinning [8]) a CPS to act as its surrogate for analyses [9], control [10], or predicting its behavior [11]. On one hand, they gather data from and about the twinned CPS that may include data not accessible by the twinned system itself, such as historic data about its usage or strategic data about its planned use received from another system (ERP, MES);DSL Component;;textual;code generation;;DSL component + GUI models for editor and viewer + DT components;Low-code editor for DT configuration;generation of low-code development platform;;Operate;;As-Operated;Custom Low-code development for domain experts;;;;Jerome;;;;;;;;;;;;;;;;
11;Generating customized low-code development platforms for digital twins;software systems that are representing (twinning [8]) a CPS to act as its surrogate for analyses [9], control [10], or predicting its behavior [11]. On one hand, they gather data from and about the twinned CPS that may include data not accessible by the twinned system itself, such as historic data about its usage or strategic data about its planned use received from another system (ERP, MES);MontiArc;;textual;code generation;;MontiArc model;Java code;generation of dt architecture;;Operate;;As-Operated;Custom Low-code development for domain experts;;;;Jerome;;;;;;;;;;;;;;;;
12;Generating customized low-code development platforms for digital twins;software systems that are representing (twinning [8]) a CPS to act as its surrogate for analyses [9], control [10], or predicting its behavior [11]. On one hand, they gather data from and about the twinned CPS that may include data not accessible by the twinned system itself, such as historic data about its usage or strategic data about its planned use received from another system (ERP, MES);GUI Model;;textual;code generation;;GUI Model;Webpage;visualization;;Operate;;As-Operated;Custom Low-code development for domain experts;;;;Jerome;;;;;;;;;;;;;;;;
13;Generating customized low-code development platforms for digital twins;software systems that are representing (twinning [8]) a CPS to act as its surrogate for analyses [9], control [10], or predicting its behavior [11]. On one hand, they gather data from and about the twinned CPS that may include data not accessible by the twinned system itself, such as historic data about its usage or strategic data about its planned use received from another system (ERP, MES);Classdiagram;;textual;code generation;;CD;Java code;data modelling;;Operate;;As-Operated;Custom Low-code development for domain experts;;;;Jerome;;;;;;;;;;;;;;;;
14;Generating customized low-code development platforms for digital twins;software systems that are representing (twinning [8]) a CPS to act as its surrogate for analyses [9], control [10], or predicting its behavior [11]. On one hand, they gather data from and about the twinned CPS that may include data not accessible by the twinned system itself, such as historic data about its usage or strategic data about its planned use received from another system (ERP, MES);Case-based reasoning;;textual;model interpretation;;CBR;;adaptive behavior of DT;;Operate;;As-Operated;Custom Low-code development for domain experts;;;;Jerome;;;;;;;;;;;;;;;;
15;Generating customized low-code development platforms for digital twins;software systems that are representing (twinning [8]) a CPS to act as its surrogate for analyses [9], control [10], or predicting its behavior [11]. On one hand, they gather data from and about the twinned CPS that may include data not accessible by the twinned system itself, such as historic data about its usage or strategic data about its planned use received from another system (ERP, MES);ECA language;;textual;model interpretation;;ECA;;recognizing error states in CPS behavior;;Operate;;As-Operated;Custom Low-code development for domain experts;;;;Jerome;;;;;;;;;;;;;;;;
16;Generating customized low-code development platforms for digital twins;software systems that are representing (twinning [8]) a CPS to act as its surrogate for analyses [9], control [10], or predicting its behavior [11]. On one hand, they gather data from and about the twinned CPS that may include data not accessible by the twinned system itself, such as historic data about its usage or strategic data about its planned use received from another system (ERP, MES);Communication specification;;textual;code generation;;Communication specification;Java Code;generating a communication protocol;;Operate;;As-Operated;Custom Low-code development for domain experts;;;;Jerome;;;;;;;;;;;;;;;;
17;A data-model fusion dispatch strategy for the building energy flexibility based on the digital twin;;;;;;;;;;;;;;;;;;Jerome;No MDE technique used;;;;;;;;;;;;;;;
18;Meta-model-based shop-floor digital twin architecture, modeling and application;;;;;;;;;;;;;;;;;;Jerome;;;;;;;;;;;;;;;;
19;3D crowdsourced parametric cadastral mapping: Pathways integrating BIM/IFC, crowdsourced data and LADM;;;;;;;;;;;;;;;;;;Jerome;No MDE technique used;;;;;;;;;;;;;;;
20;Generating Digital Twin Cockpits for Parameter Management in the Engineering of Wind Turbines;digital twin of a system consists of a set of models of the system, a set of digital shadows, and provides a set of services to use the data and models purposefully with respect to the original system;Classdiagram;structure;textual;Model to Model Transformation;uni;Classdiagram;Python;Data structure and DT cockpit backend and frontend api generation;D  Electricity, Gas, Steam and Air Conditioning Supply;Operate;Individual Systems, such as automated cars (Atorf and Roßmann, 2018), gas turbines (Dawes et al., 2019), or manufacturing machines (Debroy et al., 2017).;As-Designed;;;;;Jerome;;;;;;;;;;;;;;;;
21;Generating Digital Twin Cockpits for Parameter Management in the Engineering of Wind Turbines;digital twin of a system consists of a set of models of the system, a set of digital shadows, and provides a set of services to use the data and models purposefully with respect to the original system;Classdiagram;structure;textual;code generation;;Classdiagram;GUI;Derive UI from Cd;D  Electricity, Gas, Steam and Air Conditioning Supply;Operate;Individual Systems, such as automated cars (Atorf and Roßmann, 2018), gas turbines (Dawes et al., 2019), or manufacturing machines (Debroy et al., 2017).;As-Designed;;;;;Jerome;;;;;;;;;;;;;;;;
22;Generating Digital Twin Cockpits for Parameter Management in the Engineering of Wind Turbines;digital twin of a system consists of a set of models of the system, a set of digital shadows, and provides a set of services to use the data and models purposefully with respect to the original system;GUI;structure;textual;code generation;;GUI;Typescript;UI generation;D  Electricity, Gas, Steam and Air Conditioning Supply;Operate;Individual Systems, such as automated cars (Atorf and Roßmann, 2018), gas turbines (Dawes et al., 2019), or manufacturing machines (Debroy et al., 2017).;As-Designed;;;;;Jerome;;;;;;;;;;;;;;;;
23;Digital Twin Enables Rational Design of Ultrahigh-Power Lithium-Ion Batteries;n.a.;electrochemical-thermal coupled battery model;physics;textual;model interpretation;;electrochemical-thermal coupled battery model;virtual simulation;predict  the  battery  performance  under  ultrahigh-power  dis-charging  conditions;D  Electricity, Gas, Steam and Air Conditioning Supply;Design;Products, such as reinforced plastics (Wang et al., 2018), sunroof ring frames (Wärmefjord et al., 2017), or wearable masks (Zheng et al., 2018).;As-Designed;;;;;Jerome;No MDE technique used;borderline;;;;;;;;;;;;;;
24;A framework for Model-Driven Engineering of resilient software-controlled systems;a software object exposing methods for Item monitoring and control operations;;;;;;;;;;;;;;;;;Jerome;No MDE technique used;Too few details on transformation;;;;;;;;;;;;;;
25;Model-Driven Development of a Digital Twin for Injection Molding;A digital twin of a system consists of a set of models of the system, a set of digital shadows, and provides a set of services to use the data and models purposefully with respect to the original system.;MontiArc;structure;textual;code generation;;MontiArc;Java;DT software architecture;C  Manufacturing;Maintain;Individual Systems, such as automated cars (Atorf and Roßmann, 2018), gas turbines (Dawes et al., 2019), or manufacturing machines (Debroy et al., 2017).;As-Designed;"domain experts can easily optimize their inj, modling machine with domain expressions; optimization of injection molding process through repeated execution of DOE";;1-3: die Technologie gibt's, evtl. am Toy Example gezeigt;;Jerome;;;;;;;;;;;;;;;;
