Publication Type;Authors;Author Full Names;Article Title;Source Title;Document Type;Conference Title;Conference Date;Conference Location;Keywords Plus;Abstract
J;Boronat, A;Boronat, Artur;EMF-Syncer: scalable maintenance of view models over heterogeneous data-centric software systems at run time;SOFTWARE AND SYSTEMS MODELING;"Article; Early Access";;;;;With the increasing presence of cyber-physical systems (CPSs), like autonomous vehicle systems and digital twins, the future of software engineering is predicated on the importance of designing and developing data-centric software systems that can adapt intelligently at run time. CPSs consist of complex heterogeneous software components. Model-driven engineering advocates using software models to tame such complexity, capturing the relevant design concerns of such systems at different levels of abstraction. Yet most of the existing CPSs are engineered without considering MDE practices and tools, facing fundamental challenges when working with data: monitoring the program data at run time, syncing updates between program and model, dealing with heterogeneous data sources, and representing such observed data at run time to facilitate automated analysis. In this work, we introduce the notion of view models to explicitly represent parts of the domain knowledge implicitly embedded in the source code of a software system. This notion is equipped with a scalable bidirectional syncing mechanism that extracts view model instances from program snapshots at run time. The syncing mechanism is proposed from a conceptual point of view, independently of specific implementations and supports incremental view model update and view model maintenance. We show how this syncing mechanism is flexible enough to facilitate the non-intrusive adoption of MDE technology over existing MDE-agnostic heterogeneous data-centric systems. We study the run-time cost implied by the EMF-Syncer , the tool implementing this syncing mechanism for Java applications and view models atop the eclipse modeling framework (EMF) when executing data analytic and transformation tasks over large volumes of data in the presence of data updates at run time. An empirical evaluation of the EMF-Syncer has been conducted with an industry-targeted benchmark for decision support systems, analyzing performance and scalability. The novel syncing mechanism enables new opportunities to adopt MDE technology in heterogeneous data-centric systems.
J;"Liu, JF; Zhao, P; Jing, XW; Cao, XW; Sheng, SS; Zhou, HG; Liu, XJ; Feng, F";"Liu, Jinfeng; Zhao, Peng; Jing, Xuwen; Cao, Xuwu; Sheng, Sushan; Zhou, Honggen; Liu, Xiaojun; Feng, Feng";Dynamic design method of digital twin process model driven by knowledge-evolution machining features;INTERNATIONAL JOURNAL OF PRODUCTION RESEARCH;Article;;;;;Machining plan is the core of guiding manufacturing production and is regarded as one of the keys to ensure the quality of product processing. Existing process design methods are inefficient to quickly handle the machining plan changed induced by the unpredictable events in real-time production. It inevitably causes time and economic losses for the enterprise. In order to express the evolutionary characteristics of product processing, the construction method of digital twin process model (DTPM) is proposed based on the knowledge-evolution machining features. Three key technologies include correlation structure of process knowledge, expression method of the evolution geometric features and the association mechanism between two are solved. On this basis, the construction framework of DTPM is illustrated. Then, the organisation and management mechanism of multi-source heterogeneous data is discussed in detail. At last, a case study of the complex machined part is researched, the results show that the processing time reduced by about 7% and the processing stability improved by 40%. Meanwhile, the implementation scheme, application process and effect of this case are described in detail to provide reference for enterprises.
C;"Rjabtsikov, V; Rassolkin, A; Asad, B; Vaimann, T; Kallaste, A; Kuts, V; Jegorov, S; Stepien, M; Krawczyk, M";"Rjabtsikov, Viktor; Rassolkin, Anton; Asad, Bilal; Vaimann, Toomas; Kallaste, Ants; Kuts, Vladimir; Jegorov, Sergei; Stepien, Mariusz; Krawczyk, Mateusz";Digital Twin Service Unit for AC Motor Stator Inter-Turn Short Circuit Fault Detection;2021 28TH INTERNATIONAL WORKSHOP ON ELECTRIC DRIVES: IMPROVING RELIABILITY OF ELECTRIC DRIVES (IWED2021);Proceedings Paper;28th International Workshop on Electric Drives: Improving Reliability of Electric Drives (IWED);JAN 27-29, 2021;Moscow Power Engn Inst, Moscow, RUSSIA;;A modern trend for industry digitalization brings new demands for the development and application of the modeling and simulation approach. It is already not enough to have only a virtual representation of the object and run it independently from the physical object. The Digital Twin (DT) aspect indicates a connection between the physical object and the corresponding virtual twin established by generating real-time data using sensors. The DT represents physical object operation throughout its life cycle, making it an essential tool for improving that object's reliability. In this paper, an application of the DT service unit for AC motor stator inter-turn short circuit fault detection is presented. According to real-time measurements, Linux Robot Operation System (ROS) simulates AC electrical machine-specific behavior in case of unbalanced stator currents and notify about possible fault appearance and propagation. Fault, such as discussed in the paper (AC machine stator inter-turn) is considered one of the most prevalent possible electrical motor failure.
J;"Yang, XL; Liu, XM; Zhang, H; Fu, L; Yu, YB";"Yang, Xiaolang; Liu, Xuemei; Zhang, Heng; Fu, Ling; Yu, Yanbin";Meta-model-based shop-floor digital twin architecture, modeling and application;ROBOTICS AND COMPUTER-INTEGRATED MANUFACTURING;Article;;;;;Digital twin is regarded as the virtual counterpart of physical entities, which can mirror the physical behavior and performance. Digital twin technology provides strong support for the achievement of cyber-physical system and intelligent manufacturing. Many investigations have been carried out for the digital twin of specific prod-ucts. However, there are less researches on digital twin in the shop-floor domain, and there is a lack of model-driven digital twin comprehensive architecture. The modeling approach to the full lifecycle of digital twin is not considered enough. This paper proposes a meta-model-based shop-floor digital twin construction approach and a comprehensive architecture. A meta-model based on RAMI 4.0 is constructed, which provide a novel idea for the description of manufacturing resources and their status. The proposed shop-floor digital twin architecture consists of three key implementation elements: the meta-model construction, data modeling (including data interaction between cyber-physical spaces) and constructing different integration level models of shop-floor digital twin based on iteration feedback between the demands and models. The proposed approach is vali-dated through a case study of the fischer learning factory 4.0.
C;"Binder, C; Cala, A; Vollmar, J; Neureiter, C; Luder, A";"Binder, Christoph; Cala, Ambra; Vollmar, Jan; Neureiter, Christian; Lueder, Arndt";Automated Model Transformation in modeling Digital Twins of Industrial Internet-of-Things Applications utilizing AutomationML;2021 26TH IEEE INTERNATIONAL CONFERENCE ON EMERGING TECHNOLOGIES AND FACTORY AUTOMATION (ETFA);Proceedings Paper;26th IEEE International Conference on Emerging Technologies and Factory Automation (ETFA);SEP 07-10, 2021;ELECTR NETWORK;;In recent years, the manufacturing industry sector has undergone major changes. Better known by the term Industry 4.0, this trend describes the transformation of centrally managed production systems towards decentralized value creation networks. As this leads to a strong increase regarding complexity, engineering such current or future manufacturing systems becomes a difficult task. An example for such a challenging engineering process is the selection of technical implementations fulfilling all requirements and performing the needed functions. In order to support this process, model-based systems engineering (MBSE) and its expressions like model-driven architecture (MDA) proved to be promising approaches. However, semi or fully automated model transformations, which could deal with the aforementioned issue, are still yet widely unexplored in the industrial area. Therefore, this paper introduces an approach transforming the logical architecture of a system into its technical implementation by utilizing AutomationML. As the goal is to perform this step automatically, additional tool support is provided by developing specific software. The results of this approach are thereby evaluated by a real-world case study, which is applied according to the concepts of the Reference Architecture Model Industrie 4.0 (RAMI 4.0).
C;"Gotz, S; Bucchiarone, A; Bencomo, N";"Goetz, Sebastian; Bucchiarone, Antonio; Bencomo, Nelly";Preface of the 15th International Workshop on Models@run.time'21;24TH ACM/IEEE INTERNATIONAL CONFERENCE ON MODEL-DRIVEN ENGINEERING LANGUAGES AND SYSTEMS COMPANION (MODELS-C 2021);Proceedings Paper;24th International ACM/IEEE Conference on Model-Driven Engineering Languages and Systems (MODELS);OCT 10-15, 2021;ELECTR NETWORK;;After a break in 2020, this year the 15th edition of the workshop Models@run.time is held at the 24th International Conference on Model Driven Engineering Languages and Systems. The workshop takes place virtually due to the Covid-19 pandemic on the 11th of October 2021. The workshop is organized by Sebastian Glitz, Antonio Bucchiarone and Nelly Bencomo. Here, we present some highlights of the workshop.
J;"Rassolkin, A; Rjabtsikov, V; Kuts, V; Vaimann, T; Kallaste, A; Asad, B; Partyshev, A";"Rassolkin, Anton; Rjabtsikov, Viktor; Kuts, Vladimir; Vaimann, Toomas; Kallaste, Ants; Asad, Bilal; Partyshev, Andriy";Interface Development for Digital Twin of an Electric Motor Based on Empirical Performance Model;IEEE ACCESS;Article;;;;;The concept of Digital Twin is creating and maintaining a digital representation of the real physical entity and supporting its performance utilizing simulation and optimization tools, which are fed with the real data obtained from the physical equipment. Development and implementation of the Digital Twin technology are one of the main challenges for today's industry, more detailed studies are needed on design methods for Digital Twins. Besides using Digital Twin as a high-quality simulation, one of the commitments is monitoring and maintaining control of the whole system via a constant live link between virtual and physical entities. The related research study presents a detailed structural description of the developed Digital Twin virtual entity and the development of a framework that allows Robot Operating System (ROS) to securely communicate with remote Digital Twins via the Internet and harness ROS's adaptability across vast distances and multiple systems. This paper is an extended version of the authors' International Conference on Electrical Power Drive Systems (ICEPDS20) paper, in which we propose a development case study of Digital Twin for an electric motor based on an empirical performance model.
C;"Ma, X; Tao, F; Zhang, M; Wang, T; Zuo, Y";"Ma, Xin; Tao, Fei; Zhang, Meng; Wang, Tian; Zuo, Ying";Digital twin enhanced human-machine interaction in product lifecycle;11TH CIRP CONFERENCE ON INDUSTRIAL PRODUCT-SERVICE SYSTEMS;Proceedings Paper;11th CIRP Conference on Industrial Product-Service Systems;MAY 29-31, 2019;PEOPLES R CHINA;;Human-machine interaction (HMI) is a key technology for implementing smart manufacturing, which primarily focuses on the issues of communication, interaction, and cooperation between humans and machines. HMI has been widely studied in product lifecycle including product design, manufacturing, and service, but the efficiency and safety still cannot meet the new requirements for smart manufacturing along with new emerging technologies (e.g., big data, artificial intelligence, augmented reality, etc.). Digital twin (DT), as a new technology to realize cyber-physical integration, provides a new chance to address the above problems. Using a five-dimension DT model driven by real-time data, HMI will generate a more flexible interactive mode to improve machine efficiency and operation safety. In this paper, HMI in product lifecycle is investigated first, and the shortness and new requirements are analyzed, then a DT enhanced HMI framework is proposed to address the shortness. (C) 2019 The Authors. Published by Elsevier B.V.
J;"Zhou, G; Zhou, K; Zhang, J; Yuan, M; Wang, XH; Feng, PF; Zhang, M; Feng, F";"Zhou, Guo; Zhou, Kai; Zhang, Jing; Yuan, Meng; Wang, Xiaohao; Feng, Pingfa; Zhang, Min; Feng, Feng";Digital modeling-driven chatter suppression for thin-walled part manufacturing;JOURNAL OF INTELLIGENT MANUFACTURING;"Article; Early Access";;;;;Thin-walled parts are widely used in various industries such as aerospace and automotive, but the manufacturing processes are often harmed by chatter which is a self-excited vibration because of the poor rigidity in the direction perpendicular to the wall surface. The traditional stability lobe diagram (SLD) method can predict chatter based on the manufacturing system and workpiece parameters. However, these parameters could vary along with the manufacturing execution, compromising SLD's accuracy and even feasibility. To enable effective chatter suppression in thin-walled part milling, this study proposes a digital twin model, where two sub-models including the cutting parameters optimization and chatter detection are established. In the sub-model of cutting parameters optimization, a real-time SLD considering the time-varying modal parameters at the cutting region of the workpiece is generated as the optimization criteria. The sub-model of chatter detection can recognize chatter by a fusional analysis of the multiple sensors' signals, including vibration, force, and sound. Considering the bias of real-time SLD, these two sub-models are combined to output optimized cutting parameters to avoid chatter. Besides, a monitoring window to visualize the milling scenario and a database to record the manufacturing data are implemented in the digital twin model. According to the milling experiments, the digital twin model is validated to perform more effectively in chatter suppression than the traditional stationary SLD method.
J;"Tzachor, A; Sabri, S; Richards, CE; Rajabifard, A; Acuto, M";"Tzachor, Asaf; Sabri, Soheil; Richards, Catherine E.; Rajabifard, Abbas; Acuto, Michele";Potential and limitations of digital twins to achieve the Sustainable Development Goals;NATURE SUSTAINABILITY;Article;;;;;Could computer simulation models drive our ambitions to sustainability in urban and non-urban environments? Digital twins, defined here as real-time, virtual replicas of physical and biological entities, may do just that. However, despite their touted potential, digital twins have not been examined critically in urban sustainability paradigms-not least in the Sustainable Development Goals framework. Accordingly, in this Perspective, we examine their benefits in promoting the Sustainable Development Goals. Then, we discuss critical limitations when modelling socio-technical and socio-ecological systems and go on to discuss measures to treat these limitations and design inclusive, reliable and responsible computer simulations for achieving sustainable development. Little is known about the potential of digital twins in the pursuit of sustainability. This study examines the likely benefits of digital twins in urban sustainability paradigms, their limitations when modelling socio-technical and socio-ecological systems and possible ways to attenuate them.
J;"Zhang, HM; Ren, DS; Ming, H; Zhang, WF; Cao, GP; Liu, JH; Wang, L; Song, JL; Qiu, JY; Wang, JL; He, XM; Zhang, H";"Zhang, Huimin; Ren, Dongsheng; Ming, Hai; Zhang, Wenfeng; Cao, Gaoping; Liu, Jianhong; Wang, Li; Song, Junliang; Qiu, Jingyi; Wang, Jingliang; He, Xiangming; Zhang, Hao";Digital Twin Enables Rational Design of Ultrahigh-Power Lithium-Ion Batteries;ADVANCED ENERGY MATERIALS;"Article; Early Access";;;;;With the widespread applications of electric vehicles, power grid stabilization, and high-pulsed power loads, high-power lithium-ion batteries (LIBs) are in urgent demand. However, the existing experimental-based design of high-power batteries is usually costly and inefficient, and provides limited information on the complex physicochemical processes inside the batteries. Digital twin concept is promising for capturing the batteries' electrochemical performance, and optimizing the power capability of LIBs. Here, an electrochemical-thermal coupled model is developed as a digital twin model for rational design of ultrahigh-power LiFePO4/graphite LIBs. The model can accurately predict the batteries' performance and help to predetermine the optimal parameters to achieve an ultrahigh power capability. After model-guided optimization, the battery shows a high energy density of 92.38 Wh kg(-1) at an ultrafast discharging current of 50 C and can withstand 150 C pulse discharging tests. Notably, the digital twin model can reveal experimentally inaccessible time- and space-resolved information and identify the rate-determining steps inside the battery. Hence, model-driven optimization of ultrahigh-power LiFePO4/graphite batteries is successfully realized aiming at the critical factors in the rate-determining steps. The work provides an instructive design of ultrahigh-power LiFePO4/graphite batteries, which might guide the future direction to boost the power capability of LIBs.
C;"Su, JY; Meng, F; Liu, SH; Huang, YM; Lu, ZH";"Su, Jingyi; Meng, Fan; Liu, Shengheng; Huang, Yongming; Lu, Zhaohua";Learning to Predict and Optimize Imperfect MIMO System Performance: Framework and Application;2022 IEEE GLOBAL COMMUNICATIONS CONFERENCE (GLOBECOM 2022);Proceedings Paper;IEEE Global Communications Conference (GLOBECOM);DEC 04-08, 2022;Rio de Janeiro, BRAZIL;;In imperfect multiple-input multiple-output (MIMO) systems, model-based methods for performance prediction and optimization generally experience degradation in the dynamically changing environment with unknown interference and uncertain channel state information (CSI). To adapt to such challenging settings and better accomplish the network auto-tuning tasks, we propose a generic learnable model-driven framework. We further consider transmit regularized zero-forcing (RZF) precoding as a usage instance to illustrate the proposed framework. The overall process can be divided into three cascaded stages. First, we design a light neural network for refined prediction of sum rate based on coarse model-driven approximations. Then, the CSI uncertainty is estimated on the learned predictor in an iterative manner. In the last step the regularization term in the transmit RZF precoding is optimized. The effectiveness of the generic framework and the derivative method thereof is showcased via simulation results.
C;"Amar, B; Subhrojyoti, RC; Barnali, B; Dhakshinamoorthy, R; Seenivasan, A; Naveenkumar, S";"Amar, B.; Subhrojyoti, R. C.; Barnali, B.; Dhakshinamoorthy, R.; Seenivasan, A.; Naveenkumar, S.";Knowledge driven rapid development of white box digital twins for industrial plant systems;IECON 2021 - 47TH ANNUAL CONFERENCE OF THE IEEE INDUSTRIAL ELECTRONICS SOCIETY;Proceedings Paper;47th Annual Conference of the IEEE-Industrial-Electronics-Society (IECON);OCT 13-16, 2021;ELECTR NETWORK;;Industrial systems like power plants need a significant domain and engineering expertise for their efficient operations. Experts make decisions for multiple operational objectives such as minimizing cost, maximizing productivity, ensuring compliance to environmental conditions, etc. However, deciding strategies to achieve an objective can be highly non-trivial as it may lead to conflicting outcomes concerning other objectives. Modern digital twin(DT) technologies make it possible to build systems to support such decision-making to validate critical decisions. DTs are developed as one-off solutions for individual plants in the current practice, requiring high efforts and domain knowledge. Our work demonstrates the use of a knowledge-driven approach to reduce DT development efforts significantly. The main contribution of our work is an end-to-end architecture that allows us to explicate, structure, and reuse domain knowledge to semi-automate DT development for industrial plants. We integrate technologies like semantic web, model-driven engineering, and formal methods to realize the architecture. Our approach to developing a DT supporting a fault management scenario in a power plant reduced 70% development time and 50% manual efforts.
C;"Castelli, G; Cesta, A; Diez, M; Padula, M; Ravazzani, P; Rinaldi, G; Savazzi, S; Spagnuolo, M; Strambini, L; Tognola, G; Campana, EF";"Castelli, Giordana; Cesta, Amedeo; Diez, Matteo; Padula, Marco; Ravazzani, Paolo; Rinaldi, Giovanni; Savazzi, Stefano; Spagnuolo, Michela; Strambini, Lucanos; Tognola, Gabriella; Campana, Emilio Fortunato";Urban Intelligence: a Modular, Fully Integrated, and Evolving Model for Cities Digital Twinning;2019 IEEE 16TH INTERNATIONAL CONFERENCE ON SMART CITIES: IMPROVING QUALITY OF LIFE USING ICT, IOT AND AI (IEEE HONET-ICT 2019);Proceedings Paper;IEEE 16th International Conference on Smart Cities - Improving Quality of Life Using ICT and IoT and AI (HONET-ICT);OCT 06-09, 2019;UNC Charlotte, Charlotte, NC;;The Urban Intelligence (UI) paradigm proposes an ecosystem of technologies to improve urban environment, wellbeing, quality of life and smart city systems. It fosters the definition of a digital twin of the city, namely a cyber-physical counterpart of all the city systems and sub-systems. Here we propose a novel approach to UI that extends available frameworks combining advanced multidisciplinary modelling of the city, simulation and learning tools with numerical optimization techniques, each of them specialized for the digital representation of city systems and subsystems, including not only city infrastructures, but also city users and their interactions. UI provides sets of candidate policies in complex scenarios and supports policy makers and stakeholders in designing sustainable and personalized solutions. The main characteristics of the proposed UI architecture are (a) fully multidisciplinary integration of city layers, (b) connection and evolution with the city, (c) integration of participative strategies to include human-oriented information, and (d) modularity of application.
J;Ji, SY;Ji, Seung Yeul;Interactive Smart Space for Single-Person Households Using Electroencephalogram through Fusion of Digital Twin and Artificial Intelligence;ENERGIES;Article;;;;;The core technology for building a smart space includes the capability to analyse the space for users using various sensors. The purpose of this study was to propose a personalised interactive smart space implementation model driven by the fusion of digital twin (DT) and artificial intelligence (AI) based on electroencephalogram (EEG) data. This study utilised a handheld EEG sensor to identify a user's emotion information and focused on the connection with the space. A smart space for single-person households that responds to EEG-based biometric information was designed for an interactive space that can improve the current emotional state of the space user. The technical characteristics of DT and AI were analysed to control spatial changes according to the user's emotional state and to address safety-related issues. Furthermore, a fusion mechanism for DT and AI was developed for intelligent motor control to change the dimensions of the space in order to improve the EEG state of the user. In addition, using an AI model that converts EEG data into emotional state information, the user's emotional state was analysed, and key issues related to the spatial dimensions and change of space that induce psychological stability were investigated.
C;"Castelli, G; Cesta, A; Ciampi, M; De Benedictis, R; De Pietro, G; Diez, M; Felici, G; Malvezzi, R; Masini, B; Pellegrini, R; Scalas, A; Stecca, G; Strambini, L; Tognola, G; Ravazzani, P; Campana, EF";"Castelli, Giordana; Cesta, Amedeo; Ciampi, Mario; De Benedictis, Riccardo; De Pietro, Giuseppe; Diez, Matteo; Felici, Giovanni; Malvezzi, Roberto; Masini, Barbara; Pellegrini, Riccardo; Scalas, Andreas; Stecca, Giuseppe; Strambini, Lucanos; Tognola, Gabriella; Ravazzani, Paolo; Campana, Emilio Fortunato";Urban Intelligence: toward the Digital Twin of Matera and Catania;2022 WORKSHOP ON BLOCKCHAIN FOR RENEWABLES INTEGRATION (BLORIN);Proceedings Paper;Workshop on Blockchain for Renewables Integration (BLORIN);SEP 02-03, 2022;Palermo, ITALY;;The Urban Intelligence (UI) paradigm conceived by CNR consists of an ecosystem of digital technologies joined within a Digital Twin (DT) of the city aimed at improving the city governance towards goals addressed also by the UN Agenda 2030, such as urban environment, sustainability and resilience, wellbeing and quality of life, local development, and social inclusion. In particular, UI provides a set of candidate policies in complex scenarios, and supports policy makers and stakeholders in designing shared, evidence-based, and integrated solutions. UI is being applied for the first time to two Italian cities, Matera and Catania, paving the way for a deeper scientific framing of the paradigm, as well as for the technological development and testing of the core UI ecosystem in real-life situations. The paper introduces the UI key-concepts and components, illustrates the ongoing experimentations in these pilot cities related to the development of two DTs on parts of the urban areas, and presents some initial results.
J;"Schroeder, GN; Steinmetz, C; Rodrigues, RN; Henriques, RVB; Rettberg, A; Pereira, CE";"Schroeder, Greyce N.; Steinmetz, Charles; Rodrigues, Ricardo Nagel; Bayan Henriques, Renato Ventura; Rettberg, Achim; Pereira, Carlos Eduardo";A Methodology for Digital Twin Modeling and Deployment for Industry 4.0;PROCEEDINGS OF THE IEEE;Article;;;;;"The digital twin (DT) is a virtual representation of a physical object, which has been proposed as one of the key concepts for Industry 4.0. The DT provides a virtual representation of products along their lifecycle that enables the prediction and optimization of the behavior of a production system and its components. A methodology design using model-driven engineering (MDE) is proposed that strives toward being both flexible and generic. This approach is presented at two levels: first, a DT is modeled as a composition of basic components that provide basic functionalities, such as identification, storage, communication, security, data management, human-machine interface (HMI), and simulation; second, an aggregated DT is defined as a hierarchical composition of other DTs. A generic reference architecture based on these concepts and a concrete implementation methodology are proposed using AutomationML. This methodology follows an MDE approach that supports most of the DT features currently proposed in the literature. A case study has been developed, the proposed ideas are being evaluated with industrial case studies, and some of the preliminary results are described in this article. With the case study, it is possible to verify that the proposed methodology supports the creation and the deployment process of a DT."
J;"Shen, XM; Gao, J; Wu, W; Li, MS; Zhou, CH; Zhuang, WH";"Shen, Xuemin; Gao, Jie; Wu, Wen; Li, Mushu; Zhou, Conghao; Zhuang, Weihua";Holistic Network Virtualization and Pervasive Network Intelligence for 6G;IEEE COMMUNICATIONS SURVEYS AND TUTORIALS;Article;;;;;In this tutorial paper, we look into the evolution and prospect of network architecture and propose a novel conceptual architecture for the 6th generation (6G) networks. The proposed architecture has two key elements, i.e., holistic network virtualization and pervasive artificial intelligence (AI). The holistic network virtualization consists of network slicing and digital twin, from the aspects of service provision and service demand, respectively, to incorporate service-centric and user-centric networking. The pervasive network intelligence integrates AI into future networks from the perspectives of networking for AI and AI for networking, respectively. Building on holistic network virtualization and pervasive network intelligence, the proposed architecture can facilitate three types of interplay, i.e., the interplay between digital twin and network slicing paradigms, between model-driven and data-driven methods for network management, and between virtualization and AI, to maximize the flexibility, scalability, adaptivity, and intelligence for 6G networks. We also identify challenges and open issues related to the proposed architecture. By providing our vision, we aim to inspire further discussions and developments on the potential architecture of 6G.
J;"Schade, S; Ogilvie, LA; Kessler, T; Schutte, M; Wierling, C; Lange, BM; Lehrach, H; Yaspo, ML";"Schade, Sophia; Ogilvie, Lesley A.; Kessler, Thomas; Schuette, Moritz; Wierling, Christoph; Lange, Bodo M.; Lehrach, Hans; Yaspo, Marie-Laure";A data- and model-driven approach for cancer treatment;ONKOLOGE;Article;;;;;"All people are unique and so are their diseases. Our genomes, disease histories, behavior, and lifestyles are all different; therefore it is not too surprising that people often respond differently when administered the same drugs. Cancer, in particular, is a complex and heterogeneous disease, originating in patients with different genomes, in cells with the different epigenomes, formed and evolving on the basis of random processes, with the response to therapy not only depending on the individual cancer cell but also on many features of the patient. Selection of an optimal therapy will therefore require a deep molecular analysis comprising both the patient and their tumor (e.g., comprehensive molecular tumor analysis [CMTA]), and much better personalized prediction of response to possible therapies. Currently, we are at an inflection point in which advances in technology, decreases in the costs of sequencing and other molecular analyses, and increases in computing advances are converging, forming the foundation to build a data-driven approach to personalized oncology. In this article we discuss the deep molecular characterization of individual tumors and patients as the basis of not only current precision oncology but also of computational models ('digital twins'), the foundation for a truly personalized therapy selection of the future."
J;"Li, LH; Mao, CL; Sun, HX; Yuan, YP; Lei, BB";"Li, Lianhui; Mao, Chunlei; Sun, Hongxia; Yuan, Yiping; Lei, Bingbing";Digital Twin Driven Green Performance Evaluation Methodology of Intelligent Manufacturing: Hybrid Model Based on Fuzzy Rough-Sets AHP, Multistage Weight Synthesis, and PROMETHEE II;COMPLEXITY;Article;;;;;The design, planning, and implementation of intelligent manufacturing are mainly carried out from the perspectives of meeting the needs of mass customization, improving manufacturing capacity, and innovating business pattern currently. Environmental and social factors should be systematically integrated into the life cycle of intelligent manufacturing. In view of this, a green performance evaluation methodology of intelligent manufacturing driven by digital twin is proposed in this paper. Digital twin framework, which constructs the bidirectional mapping and real-time data interaction between physical entity and digital model, provides the green performance evaluation with a total factor virtual image of the whole life cycle to meet the monitoring and simulation requirements of the evaluation information source and demand. Driven by the digital twin framework, a novel hybrid MCDM model based on fuzzy rough-sets AHP, multistage weight synthesis, and PROMETHEE II is proposed as the methodology for the green performance evaluation of intelligent manufacturing. The model is tested and validated on a study of the green performance evaluation of remote operation and maintenance service project evaluation for an air conditioning enterprise. Testing demonstrates that the proposed hybrid model driven by digital twin can enable a stable and reasonable evaluation result. A sensitivity analysis was carried out by means of 27 scenarios, the results of which showed a high degree of stability.
C;"Gorodetsky, VI; Kozhevnikov, SS; Novichkov, D; Skobelev, PO";"Gorodetsky, V., I; Kozhevnikov, S. S.; Novichkov, D.; Skobelev, P. O.";The Framework for Designing Autonomous Cyber-Physical Multi-agent Systems for Adaptive Resource Management;INDUSTRIAL APPLICATIONS OF HOLONIC AND MULTI-AGENT SYSTEMS (HOLOMAS 2019);Proceedings Paper;9th International Conference on Industrial Applications of Holonic and Multi-Agent Systems (HoloMAS);AUG 26-29, 2019;Linz, AUSTRIA;;The paper contributes to design of autonomous cyber-physical multi-agent systems for adaptive resource management providing increase of efficiency of business operating in uncertain and dynamic environment. Evolution of multi-agent systems from purely decision-making support and simulation tool to cyber-physical system including Digital Twins and fully autonomous systems is analyzed. The main paper contribution is the proposed conceptual framework for designing autonomous cyber-physical multi-agent systems for adaptive resource management. It is shown in the paper that, in cyber-physical multi-agent systems for adaptive resource management, the ontology-customized multi-agent engine and ontology-based model of enterprise are forming ontology-driven Digital Twin of the enterprise providing opportunity to combine operational scheduling of resources with ongoing real-time simulations and evolutional re-design of configuration of enterprise resources. The functionality and architecture of the autonomous cyber-physical multi-agent systems for adaptive resource management are developed to support for the full cycle of autonomous decision making on resource management. Time metrics for measuring event-based response time and level of adaptability of autonomous cyber-physical multi-agent systems for adaptive resource management are proposed. Results of developments can be applied for smart transport and smart manufacturing, smart agriculture, smart logistics, smart supply chains, etc.
C;"Vathoopan, M; Johny, M; Zoitl, A; Knoll, A";"Vathoopan, Milan; Johny, Maria; Zoitl, Alois; Knoll, Alois";Modular Fault Ascription and Corrective Maintenance Using a Digital Twin;IFAC PAPERSONLINE;Proceedings Paper;16th IFAC Symposium on Information Control Problems in Manufacturing (INCOM);JUN 11-13, 2018;Bergamo, ITALY;;The industrial environment is slowly transforming to a networked system of systems nature with industry 4.0. Automation systems are getting more production friendly by being more reconfigurable and adaptable. The plant engineering process is also getting improved by offering modular architecture, model-based engineering, etc. This transformation necessitates novel methodologies in maintenance practices as well. With the emergence of predictive maintenance techniques, sometimes it is possible to predict a breakdown and thus conveniently schedule the corrective maintenance. But this is not always the case, the incidence of unscheduled corrective maintenance is prevalent in an industrial environment. And the methodologies for corrective maintenance have to be reshaped fitting to the new plant environment. This paper introduces a new modular corrective maintenance methodology, using the digital twin of an automation module. Fault ascription support for a human technician, performing corrective maintenance action of an automation module is provided by its digital twin and associated visual interface. A use case scenario is propounded and future visions are presented. (C) 2018, IFAC (International Federation of Automatic Control) Hosting by Elsevier Ltd. All rights reserved.
J;"Schade, S; Ogilvie, LA; Kessler, T; Schutte, M; Wierling, C; Lange, BM; Lehrach, H; Yaspo, ML";"Schade, Sophia; Ogilvie, Lesley A.; Kessler, Thomas; Schuette, Moritz; Wierling, Christoph; Lange, Bodo M.; Lehrach, Hans; Yaspo, Marie-Laure";A data- and model-driven approach for cancer treatment. German version;ONKOLOGE;Article;;;;;We are unique and so are our diseases. Our genomes, disease histories, behavior, and lifestyles are all different. It is not too surprising, therefore, that we often respond differently to the drugs we receive. Cancer, in particular, is a complex and heterogeneous disease, originating in patients with different genomes, in cells with different epigenomes, formed and evolving on the basis of random processes, with the response to therapy not only depending on the individual cancer cell but also on many features of the patient. Selection of an optimal therapy will therefore require a deep molecular analysis comprising both the patient and their tumor (e.g., comprehensive molecular tumor analysis [CMTA]), and much better personalized prediction of response to possible therapies. Currently, we are at an inflection point in which advances in technology, decreases in the costs of sequencing and other molecular analyses, and increases in computing power are converging, forming the foundation to build a data-driven approach to personalized oncology. Here, we discuss the deep molecular characterization of individual tumors and patients as the basis of not only current precision oncology but also of computational models ('digital twins'), forming the foundation of a truly personalized therapy selection of the future.
