Publication Type;Authors;Book Authors;Book Editors;Book Group Authors;Author Full Names;Book Author Full Names;Group Authors;Article Title;Source Title;Book Series Title;Book Series Subtitle;Language;Document Type;Conference Title;Conference Date;Conference Location;Conference Sponsor;Conference Host;Author Keywords;Keywords Plus;Abstract;Addresses;Affiliations;Reprint Addresses;Email Addresses;Researcher Ids;ORCIDs;Funding Orgs;Funding Name Preferred;Funding Text;Cited References;Cited Reference Count;Times Cited, WoS Core;Times Cited, All Databases;180 Day Usage Count;Since 2013 Usage Count;Publisher;Publisher City;Publisher Address;ISSN;eISSN;ISBN;Journal Abbreviation;Journal ISO Abbreviation;Publication Date;Publication Year;Volume;Issue;Part Number;Supplement;Special Issue;Meeting Abstract;Start Page;End Page;Article Number;DOI;DOI Link;Book DOI;Early Access Date;Number of Pages;WoS Categories;Web of Science Index;Research Areas;IDS Number;Pubmed Id;Open Access Designations;Highly Cited Status;Hot Paper Status;Date of Export;UT (Unique WOS ID);Web of Science Record
J;"Li, LH; Mao, CL; Sun, HX; Yuan, YP; Lei, BB";;;;"Li, Lianhui; Mao, Chunlei; Sun, Hongxia; Yuan, Yiping; Lei, Bingbing";;;Digital Twin Driven Green Performance Evaluation Methodology of Intelligent Manufacturing: Hybrid Model Based on Fuzzy Rough-Sets AHP, Multistage Weight Synthesis, and PROMETHEE II;COMPLEXITY;;;;;;;;;;;;;;;;;Versic, Ales/HCI-9826-2022;Lei, Bingbing/0000-0002-2337-1619;;;;;;;;;;;;;1076-2787;1099-0526;;;;JUL 16;2020;2020;;;;;;;;3853925;10.1155/2020/3853925;http://dx.doi.org/10.1155/2020/3853925;;;;;;;;;;;;;WOS:000556267900003;View Full Record in Web of Science
J;"Schade, S; Ogilvie, LA; Kessler, T; Schutte, M; Wierling, C; Lange, BM; Lehrach, H; Yaspo, ML";;;;"Schade, Sophia; Ogilvie, Lesley A.; Kessler, Thomas; Schuette, Moritz; Wierling, Christoph; Lange, Bodo M.; Lehrach, Hans; Yaspo, Marie-Laure";;;A data- and model-driven approach for cancer treatment. German version;ONKOLOGE;;;;;;;;;;;;;;;;;Kessler, Thomas/AAY-5497-2020;Wierling, Christoph/0000-0002-8856-8412;;;;;;;;;;;;;0947-8965;1433-0415;;;;SEP;2019;25;;;1;;;109;115;;10.1007/s00761-019-00652-1;http://dx.doi.org/10.1007/s00761-019-00652-1;;;;;;;;;;;;;WOS:000485322600015;View Full Record in Web of Science
J;"He, L; Wen, K; Gong, J; Wu, CC";;;;"He, Lei; Wen, Kai; Gong, Jing; Wu, Changchun";;;A multi-model ensemble digital twin solution for real-time unsteady flow state estimation of a pumping station;ISA TRANSACTIONS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0019-0578;1879-2022;;;;JUL;2022;126;;;;;;242;253;;10.1016/j.isatra.2021.08.021;http://dx.doi.org/10.1016/j.isatra.2021.08.021;;;;;;;;34493382;;;;;WOS:000827870700021;View Full Record in Web of Science
J;"Schroeder, GN; Steinmetz, C; Rodrigues, RN; Henriques, RVB; Rettberg, A; Pereira, CE";;;;"Schroeder, Greyce N.; Steinmetz, Charles; Rodrigues, Ricardo Nagel; Bayan Henriques, Renato Ventura; Rettberg, Achim; Pereira, Carlos Eduardo";;;A Methodology for Digital Twin Modeling and Deployment for Industry 4.0;PROCEEDINGS OF THE IEEE;;;;;;;;;;;;;;;;;Pereira, Carlos E/G-5280-2012;"Pereira, Carlos E/0000-0003-4315-4256; Steinmetz, Charles/0000-0001-6219-1816";;;;;;;;;;;;;0018-9219;1558-2256;;;;APR;2021;109;4;;;;;556;567;;10.1109/JPROC.2020.3032444;http://dx.doi.org/10.1109/JPROC.2020.3032444;;;;;;;;;;;;;WOS:000633393800012;View Full Record in Web of Science
J;Ji, SY;;;;Ji, Seung Yeul;;;Interactive Smart Space for Single-Person Households Using Electroencephalogram through Fusion of Digital Twin and Artificial Intelligence;ENERGIES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1996-1073;;;;NOV;2021;14;22;;;;;;;7771;10.3390/en14227771;http://dx.doi.org/10.3390/en14227771;;;;;;;;;;;;;WOS:000806974700001;View Full Record in Web of Science
J;"Shen, XM; Gao, J; Wu, W; Li, MS; Zhou, CH; Zhuang, WH";;;;"Shen, Xuemin; Gao, Jie; Wu, Wen; Li, Mushu; Zhou, Conghao; Zhuang, Weihua";;;Holistic Network Virtualization and Pervasive Network Intelligence for 6G;IEEE COMMUNICATIONS SURVEYS AND TUTORIALS;;;;;;;;;;;;;;;;;"Shen, Xuemin/AAH-2564-2020; WU, WEN/ABH-3909-2020; Gao, Jie/AEN-2525-2022; Zhuang, Weihua/AAH-2576-2020";"Shen, Xuemin/0000-0002-4140-287X; WU, WEN/0000-0002-0458-1282; Gao, Jie/0000-0001-6095-2968; Zhuang, Weihua/0000-0003-0488-511X; Zhou, Conghao/0000-0002-5727-2432";;;;;;;;;;;;;;1553-877X;;;;;2022;24;1;;;;;1;30;;10.1109/COMST.2021.3135829;http://dx.doi.org/10.1109/COMST.2021.3135829;;;;;;;;;;;;;WOS:000763336500003;View Full Record in Web of Science
C;"Binder, C; Cala, A; Vollmar, J; Neureiter, C; Luder, A";;;IEEE;"Binder, Christoph; Cala, Ambra; Vollmar, Jan; Neureiter, Christian; Lueder, Arndt";;;Automated Model Transformation in modeling Digital Twins of Industrial Internet-of-Things Applications utilizing AutomationML;2021 26TH IEEE INTERNATIONAL CONFERENCE ON EMERGING TECHNOLOGIES AND FACTORY AUTOMATION (ETFA);IEEE International Conference on Emerging Technologies and Factory Automation-ETFA;;;;26th IEEE International Conference on Emerging Technologies and Factory Automation (ETFA);SEP 07-10, 2021;ELECTR NETWORK;Inst Elect & Elect Engineers,Malardalen Univ,IEEE Ind Elect Soc;;;;;;;;;Vollmar, Jan/AAA-9960-2021;;;;;;;;;;;;;;1946-0740;1946-0759;978-1-7281-2989-1;;;;2021;;;;;;;;;;10.1109/ETFA45728.2021.9613172;http://dx.doi.org/10.1109/ETFA45728.2021.9613172;;;;;;;;;;;;;WOS:000766992600011;View Full Record in Web of Science
C;"Michael, J; Pfeiffer, J; Rumpe, B; Wortmann, A";;;IEEE;"Michael, Judith; Pfeiffer, Jerome; Rumpe, Bernhard; Wortmann, Andreas";;;Integration Challenges for Digital Twin Systems-of-Systems;10TH IEEE/ACM INTERNATIONAL WORKSHOP ON SOFTWARE ENGINEERING FOR SYSTEMS-OF-SYSTEMS AND SOFTWARE ECOSYSTEMS (SESOS 2022);;;;;10th IEEE/ACM International Workshop on Software Engineering for Systems-of-Systems and Software Ecosystems (SESoS);MAY 16, 2022;ELECTR NETWORK;IEEE,Assoc Comp Machinery,IEEE Comp Soc;;;;;;;;;Michael, Judith/S-2844-2016;Michael, Judith/0000-0002-4999-2544;;;;;;;;;;;;;;;;;;;2022;;;;;;;9;12;;10.1145/3528229.3529384;http://dx.doi.org/10.1145/3528229.3529384;;;;;;;;;;;;;WOS:000852879900002;View Full Record in Web of Science
C;"Hatzivasilis, G; Ioannidis, S; Smyrlis, M; Spanoudakis, G; Frati, F; Braghin, C; Damiani, E; Koshutanski, H; Tsakirakis, G; Hildebrandt, T; Goeke, L; Pape, S; Blinder, O; Vinov, M; Leftheriotis, G; Kunc, M; Oikonomou, F; Magilo, G; Petrarolo, V; Chieti, A; Bordianu, R";;;IEEE;"Hatzivasilis, George; Ioannidis, Sotiris; Smyrlis, Michail; Spanoudakis, George; Frati, Fulvio; Braghin, Chiara; Damiani, Ernesto; Koshutanski, Hristo; Tsakirakis, George; Hildebrandt, Torsten; Goeke, Ludger; Pape, Sebastian; Blinder, Oleg; Vinov, Michael; Leftheriotis, George; Kunc, Martin; Oikonomou, Fotis; Magilo, Giovanni; Petrarolo, Vito; Chieti, Antonio; Bordianu, Robert";;;The THREAT-ARREST Cyber Range Platform;PROCEEDINGS OF THE 2021 IEEE INTERNATIONAL CONFERENCE ON CYBER SECURITY AND RESILIENCE (IEEE CSR);;;;;IEEE International Conference on Cyber Security and Resilience (IEEE CSR);JUL 26-28, 2021;ELECTR NETWORK;IEEE,IEEE Syst, Man, & Cybernet Soc,LOGOS Res & Innovat,IEEE Transact Emerging Top Comp,Journal Cybersecur & Privacy,MDF, Sensors Journal;;;;;;;;;"damiani, ernesto/AAI-5709-2020; Varelas, Takis/HLQ-6538-2023";"damiani, ernesto/0000-0002-9557-6496; Smyrlis, Michail/0000-0001-9527-516X; BRAGHIN, CHIARA/0000-0002-9756-4675";;;;;;;;;;;;;;;978-1-6654-0285-9;;;;2021;;;;;;;422;427;;10.1109/CSR51186.2021.9527963;http://dx.doi.org/10.1109/CSR51186.2021.9527963;;;;;;;;;;;;;WOS:000705054100066;View Full Record in Web of Science
C;"Rassolkin, A; Rjabtsikov, V; Vaimann, T; Kallaste, A; Kuts, V; Partyshev, A";;;IEEE;"Rassolkin, Anton; Rjabtsikov, Viktor; Vaimann, Toomas; Kallaste, Ants; Kuts, Vladimir; Partyshev, Andriy";;;Digital Twin of an Electrical Motor Based on Empirical Performance Model;2020 XI INTERNATIONAL CONFERENCE ON ELECTRICAL POWER DRIVE SYSTEMS (ICEPDS);;;;;11th International Conference on Electrical Power Drive Systems (ICEPDS);OCT 04-07, 2020;ITMO Univ, ELECTR NETWORK;IEEE, Russia Sect,IEEE Ind Applicat Soc,IEEE Power Elect Soc,IES;ITMO Univ;;;;;;;;"Kuts, Vladimir/AAA-9520-2022; Vaimann, Toomas/E-8508-2016; Rjabt?ikov, Viktor/ACH-9186-2022; Rassälkin, Anton/A-1710-2016";"Kuts, Vladimir/0000-0002-8134-8636; Vaimann, Toomas/0000-0003-0481-5066; Rjabt?ikov, Viktor/0000-0003-0012-353X; Rassälkin, Anton/0000-0001-8035-3970";;;;;;;;;;;;;;;978-1-7281-6538-7;;;;2020;;;;;;;;;;10.1109/icepds47235.2020.9249366;http://dx.doi.org/10.1109/icepds47235.2020.9249366;;;;;;;;;;;;;WOS:000680657400060;View Full Record in Web of Science
J;Tekinerdogan, B;;;;Tekinerdogan, Bedir;;;On the Notion of Digital Twins: A Modeling Perspective;SYSTEMS;;;;;;;;;;;;;;;;;Tekinerdogan, Bedir/K-3639-2019;Tekinerdogan, Bedir/0000-0002-8538-7261;;;;;;;;;;;;;;2079-8954;;;;JAN;2023;11;1;;;;;;;15;10.3390/systems11010015;http://dx.doi.org/10.3390/systems11010015;;;;;;;;;;;;;WOS:000927202100001;View Full Record in Web of Science
J;"Yang, X; Ran, Y; Zhang, GB; Wang, HW; Mu, ZY; Zhi, SG";;;;"Yang, Xin; Ran, Yan; Zhang, Genbao; Wang, Hongwei; Mu, Zongyi; Zhi, Shengguang";;;A digital twin-driven hybrid approach for the prediction of performance degradation in transmission unit of CNC machine tool;ROBOTICS AND COMPUTER-INTEGRATED MANUFACTURING;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0736-5845;1879-2537;;;;FEB;2022;73;;;;;;;;102230;10.1016/j.rcim.2021.102230;http://dx.doi.org/10.1016/j.rcim.2021.102230;;AUG 2021;;;;;;;;;;;WOS:000709125700003;View Full Record in Web of Science
C;"Bechu, G; Beugnard, A; Cao, CGL; Perez, Q; Urtado, C; Vauttier, S";;;IEEE;"Bechu, Gaelic; Beugnard, Antoine; Cao, Caroline G. L.; Perez, Quentin; Urtado, Christelle; Vauttier, Sylvain";;;A software engineering point of view on digital twin architecture;2022 IEEE 27TH INTERNATIONAL CONFERENCE ON EMERGING TECHNOLOGIES AND FACTORY AUTOMATION (ETFA);IEEE International Conference on Emerging Technologies and Factory Automation-ETFA;;;;IEEE 27th International Conference on Emerging Technologies and Factory Automation (ETFA);SEP 06-09, 2022;Stuttgart, GERMANY;IEEE;;;;;;;;;Urtado, Christelle/ABG-6732-2020;"Urtado, Christelle/0000-0002-6711-8455; Quentin, Perez/0000-0002-1534-4821";;;;;;;;;;;;;1946-0740;1946-0759;978-1-6654-9996-5;;;;2022;;;;;;;;;;10.1109/ETFA52439.2022.9921617;http://dx.doi.org/10.1109/ETFA52439.2022.9921617;;;;;;;;;;;;;WOS:000934103900170;View Full Record in Web of Science
C;"Cimino, C; Leva, A; Ferretti, G";;;;"Cimino, Chiara; Leva, Alberto; Ferretti, Gianni";;;Ensuring consistency in scalable-detail models for DT-based control;IFAC PAPERSONLINE;;;;;17th IFAC Symposium on Information Control Problems in Manufacturing (INCOM);JUN 07-09, 2021;Budapest, HUNGARY;Int Federat Automat Control, Tech Comm 5 1 Mfg Plant Control,Int Federat Automat Control, Tech Comm 5 2 Management & Control Mfg & Logist,Int Federat Automat Control, Tech Comm 5 3 Integrat & Interoperabil Enterprise Syst,Int Federat Automat Control, Tech Comm 5 4 Large Scale Complex Syst,Inst Comp Sci & Control,Ctr Excellence Prod Informat & Control,Int Federat Automat Control, Tech Comm 1 3 Discrete Event & Hybrid Syst,Int Federat Automat Control, Tech Comm 4 2 Mechatron Syst,Int Federat Automat Control, Tech Comm 4 3 Robot,Int Federat Automat Control, Tech Comm 6 4 Fault Detect, Supervis & Safety Tech Proc,Int Federat Automat Control, Tech Comm 7 1 Automot Control,Int Federat Automat Control, Tech Comm 7 4 Transportat Syst,Int Federat Automat Control, Tech Comm 7 5 Intelligent Autonomous Vehicles,Int Federat Automat Control, Tech Comm 9 2 Syst & Control Societal Impact,IPAR 4 0,EPIC InnoLabs,Muegyetem 1782,Obudai Egyetem,IEEE Hungary Sect,Mesterseges Intelligencia Koalicio,AGIP,Univ Gyor, Szechenvi Egyetem,GE;;;;;;;;;;;;;;;;;;;;;;;2405-8963;;;;;;2021;54;1;;;;;313;318;;10.1016/j.ifacol.2021.08.158;http://dx.doi.org/10.1016/j.ifacol.2021.08.158;;NOV 2021;;;;;;;;;;;WOS:000716937600053;View Full Record in Web of Science
C;"Gorelova, A; Melia, S";;"DiNoia, T; Ko, IY; Schedl, M; Ardito, C";;"Gorelova, Anastasiia; Melia, Santiago";;;Applying a Healthcare Web of Things Framework for Infertility Treatments;WEB ENGINEERING (ICWE 2022);Lecture Notes in Computer Science;;;;22nd International Conference on Web Engineering (ICWE);JUL 05-08, 2022;Bari, ITALY;;;;;;;;;;;;;;;;;;;;;;;;0302-9743;1611-3349;"978-3-031-09917-5; 978-3-031-09916-8";;;;2022;13362;;;;;;426;431;;10.1007/978-3-031-09917-5_30;http://dx.doi.org/10.1007/978-3-031-09917-5_30;;;;;;;;;;;;;WOS:000870762700030;View Full Record in Web of Science
J;"Song, YG; Xia, MC; Chen, QF; Chen, FJ";;;;"Song, Yuguang; Xia, Mingchao; Chen, Qifang; Chen, Fangjian";;;A data-model fusion dispatch strategy for the building energy flexibility based on the digital twin;APPLIED ENERGY;;;;;;;;;;;;;;;;;?, ??/B-9213-2017;"?, ??/0000-0002-5106-9417; Xia, Mingchao/0000-0003-2110-5699; Song, Yuguang/0000-0003-1309-0327";;;;;;;;;;;;;0306-2619;1872-9118;;;;FEB 15;2023;332;;;;;;;;120496;10.1016/j.apenergy.2022.120496;http://dx.doi.org/10.1016/j.apenergy.2022.120496;;DEC 2022;;;;;;;;;;;WOS:000908695800001;View Full Record in Web of Science
C;"Huang, YN; Dhouib, S; Malenfant, J";;;IEEE;"Huang, Yining; Dhouib, Saadia; Malenfant, Jacques";;;An AAS Modeling Tool for Capability-Based Engineering of Flexible Production Lines;IECON 2021 - 47TH ANNUAL CONFERENCE OF THE IEEE INDUSTRIAL ELECTRONICS SOCIETY;IEEE Industrial Electronics Society;;;;47th Annual Conference of the IEEE-Industrial-Electronics-Society (IECON);OCT 13-16, 2021;ELECTR NETWORK;IEEE Ind Elect Soc;;;;;;;;;;;;;;;;;;;;;;;1553-572X;;978-1-6654-3554-3;;;;2021;;;;;;;;;;10.1109/IECON48115.2021.9589329;http://dx.doi.org/10.1109/IECON48115.2021.9589329;;;;;;;;;;;;;WOS:000767230601096;View Full Record in Web of Science
J;"Lehner, D; Sint, S; Eisenberg, M; Wimmer, M";;;;"Lehner, Daniel; Sint, Sabine; Eisenberg, Martin; Wimmer, Manuel";;;A pattern catalog for augmenting Digital Twin models with behavior;AT-AUTOMATISIERUNGSTECHNIK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0178-2312;2196-677X;;;;JUN 27;2023;71;6;;;;;423;442;;10.1515/auto-2022-0144;http://dx.doi.org/10.1515/auto-2022-0144;;;;;;;;;;;;;WOS:001004217900002;View Full Record in Web of Science
C;"Huang, YN; Dhouib, S; Malenfant, J";;;IEEE;"Huang, Yining; Dhouib, Saadia; Malenfant, Jacques";;;AAS Capability-Based Operation and Engineering of Flexible Production Lines;2021 26TH IEEE INTERNATIONAL CONFERENCE ON EMERGING TECHNOLOGIES AND FACTORY AUTOMATION (ETFA);IEEE International Conference on Emerging Technologies and Factory Automation-ETFA;;;;26th IEEE International Conference on Emerging Technologies and Factory Automation (ETFA);SEP 07-10, 2021;ELECTR NETWORK;Inst Elect & Elect Engineers,Malardalen Univ,IEEE Ind Elect Soc;;;;;;;;;;Huang, Yining/0000-0003-0106-8771;;;;;;;;;;;;;1946-0740;1946-0759;978-1-7281-2989-1;;;;2021;;;;;;;;;;10.1109/ETFA45728.2021.9613435;http://dx.doi.org/10.1109/ETFA45728.2021.9613435;;;;;;;;;;;;;WOS:000766992600122;View Full Record in Web of Science
C;"Liu, Q; Liu, B; Wang, G; Zhang, C";;"Liu, L; Yang, C; Ke, J";;"Liu, Qing; Liu, Bin; Wang, Guan; Zhang, Chen";;;A Comparative Study on Digital Twin Models;ADVANCES IN MATERIALS, MACHINERY, ELECTRONICS III;AIP Conference Proceedings;;;;3rd International Conference on Advances in Materials, Machinery, Electronics (AMME);JAN 19-20, 2019;Wuhan, PEOPLES R CHINA;;;;;;;;;;Liu, Qingkuan/HHD-0165-2022;;;;;;;;;;;;;;0094-243X;;978-0-7354-1801-1;;;;2019;2073;;;;;;;;20091;10.1063/1.5090745;http://dx.doi.org/10.1063/1.5090745;;;;;;;;;;;;;WOS:000471324500091;View Full Record in Web of Science
C;"Zhou, MK; Feng, DH";;;;"Zhou, Mike; Feng, DongHao";;;A New Modeling Approach for Power Grid Online Analysis;IFAC PAPERSONLINE;;;;;21st IFAC World Congress on Automatic Control - Meeting Societal Challenges;JUL 11-17, 2020;ELECTR NETWORK;Int Federat Automat Control,Siemens,Bayer,ABB,MathWorks,Phoenix Contact,Ifak Technol,Berlin Heart,Elsevier,De Gruyter,Tele Medi GmbH;;;;;;;;;;;;;;;;;;;;;;;2405-8963;;;;;;2020;53;2;;;;;13131;13136;;10.1016/j.ifacol.2020.12.2503;http://dx.doi.org/10.1016/j.ifacol.2020.12.2503;;;;;;;;;;;;;WOS:000652593100695;View Full Record in Web of Science
J;"Rassolkin, A; Rjabtsikov, V; Kuts, V; Vaimann, T; Kallaste, A; Asad, B; Partyshev, A";;;;"Rassolkin, Anton; Rjabtsikov, Viktor; Kuts, Vladimir; Vaimann, Toomas; Kallaste, Ants; Asad, Bilal; Partyshev, Andriy";;;Interface Development for Digital Twin of an Electric Motor Based on Empirical Performance Model;IEEE ACCESS;;;;;;;;;;;;;;;;;"Rassälkin, Anton/A-1710-2016; Vaimann, Toomas/E-8508-2016; Rjabt?ikov, Viktor/ACH-9186-2022";"Rassälkin, Anton/0000-0001-8035-3970; Vaimann, Toomas/0000-0003-0481-5066; Rjabt?ikov, Viktor/0000-0003-0012-353X; Kuts, Vladimir/0000-0002-8134-8636; Asad, Bilal/0000-0002-9474-2659";;;;;;;;;;;;;2169-3536;;;;;;2022;10;;;;;;15635;15643;;10.1109/ACCESS.2022.3148708;http://dx.doi.org/10.1109/ACCESS.2022.3148708;;;;;;;;;;;;;WOS:000754210800001;View Full Record in Web of Science
J;"Karagiannis, D; Buchmann, RA; Utz, W";;;;"Karagiannis, Dimitris; Buchmann, Robert Andrei; Utz, Wilfrid";;;The OMiLAB Digital Innovation environment: Agile conceptual models to bridge business value with Digital and Physical Twins for Product-Service Systems development;COMPUTERS IN INDUSTRY;;;;;;;;;;;;;;;;;Buchmann, Robert/ABB-6735-2020;Buchmann, Robert/0000-0002-7385-1610;;;;;;;;;;;;;0166-3615;1872-6194;;;;JUN;2022;138;;;;;;;;103631;10.1016/j.compind.2022.103631;http://dx.doi.org/10.1016/j.compind.2022.103631;;FEB 2022;;;;;;;;;;;WOS:000772755800001;View Full Record in Web of Science
J;"Du, XF; Zhu, QM; Ding, GR; Li, J; Wu, QH; Lan, TX; Lin, ZP; Zhong, WZ; Han, L";;;;"Du, Xiaofu; Zhu, Qiuming; Ding, Guoru; Li, Jie; Wu, Qihui; Lan, Tianxu; Lin, Zhipeng; Zhong, Weizhi; Han, Lu";;;UAV-Assisted Three-Dimensional Spectrum Mapping Driven by Spectrum Data and Channel Model;SYMMETRY-BASEL;;;;;;;;;;;;;;;;;Lin, Zhipeng/AAX-3890-2020;"Lin, Zhipeng/0000-0001-5941-2163; Zhu, qiuming/0000-0002-4995-5970; , Guoru/0000-0003-1780-2547; Li, Jie/0000-0002-9769-8024";;;;;;;;;;;;;;2073-8994;;;;DEC;2021;13;12;;;;;;;2308;10.3390/sym13122308;http://dx.doi.org/10.3390/sym13122308;;;;;;;;;;;;;WOS:000744027600001;View Full Record in Web of Science
J;Boronat, A;;;;Boronat, Artur;;;EMF-Syncer: scalable maintenance of view models over heterogeneous data-centric software systems at run time;SOFTWARE AND SYSTEMS MODELING;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1619-1366;1619-1374;;;;2023 JUN 12;2023;;;;;;;;;;10.1007/s10270-023-01111-7;http://dx.doi.org/10.1007/s10270-023-01111-7;;JUN 2023;;;;;;;;;;;WOS:001003570800001;View Full Record in Web of Science
C;"Vathoopan, M; Johny, M; Zoitl, A; Knoll, A";;;;"Vathoopan, Milan; Johny, Maria; Zoitl, Alois; Knoll, Alois";;;Modular Fault Ascription and Corrective Maintenance Using a Digital Twin;IFAC PAPERSONLINE;;;;;16th IFAC Symposium on Information Control Problems in Manufacturing (INCOM);JUN 11-13, 2018;Bergamo, ITALY;Int Federat Automat Control, Coordinating Comm 5 on Mfg & Logist Syst,Int Federat Automat Control, Tech Comm 5 1 Mfg Plant Control,Int Federat Automat Control, Tech Comm 5 2 Mfg Modelling Management & Control,Int Federat Automat Control, Tech Comm 5 3 Enterprise Integrat & Networking,Int Federat Automat Control, Tech Comm 5 4 Large Scale Complex Syst,Int Federat Automat Control, Tech Comm 1 3 Discrete Event & Hybrid Syst,Int Federat Automat Control, Tech Comm 4 2 Mechatron Syst,Int Federat Automat Control, Tech Comm 4 3 Robot,Int Federat Automat Control, Tech Comm 9 2 Social Impact Automat,IEEE, Italy Sect,IEEE, Italy Sect Instrumentat & Measurement Chapter,IEEE, Italy Sect Reliabil Chapter,IEEE, Italy Sect Technol Management Chapter,IEEE, Italy Sect Control Syst Chapter,Int Federat Informat Proc,Int Federat Operat Res Soc,Italian Assoc Ind Syst Engn Professors,GDR MACS Natl Council Sci Res, Res Grp Modelling Anal & Control Dynam Syst,Assoc Italiana Informatica Calcolo Automatico;;;;;;;;;"Knoll, Alois/AAN-8417-2021; Zoitl, Alois/K-7781-2012; Vathoopan, Milan/GMW-9357-2022";"Knoll, Alois/0000-0003-4840-076X; Zoitl, Alois/0000-0002-1306-3209; Vathoopan, Milan/0000-0002-7196-2755";;;;;;;;;;;;;2405-8963;;;;;;2018;51;11;;;;;1041;1046;;10.1016/j.ifacol.2018.08.470;http://dx.doi.org/10.1016/j.ifacol.2018.08.470;;;;;;;;;;;;;WOS:000445651000174;View Full Record in Web of Science
C;"Castelli, G; Cesta, A; Ciampi, M; De Benedictis, R; De Pietro, G; Diez, M; Felici, G; Malvezzi, R; Masini, B; Pellegrini, R; Scalas, A; Stecca, G; Strambini, L; Tognola, G; Ravazzani, P; Campana, EF";;;IEEE;"Castelli, Giordana; Cesta, Amedeo; Ciampi, Mario; De Benedictis, Riccardo; De Pietro, Giuseppe; Diez, Matteo; Felici, Giovanni; Malvezzi, Roberto; Masini, Barbara; Pellegrini, Riccardo; Scalas, Andreas; Stecca, Giuseppe; Strambini, Lucanos; Tognola, Gabriella; Ravazzani, Paolo; Campana, Emilio Fortunato";;;Urban Intelligence: toward the Digital Twin of Matera and Catania;2022 WORKSHOP ON BLOCKCHAIN FOR RENEWABLES INTEGRATION (BLORIN);;;;;Workshop on Blockchain for Renewables Integration (BLORIN);SEP 02-03, 2022;Palermo, ITALY;;;;;;;;;;Diez, Matteo/B-7090-2015;Diez, Matteo/0000-0001-6113-7893;;;;;;;;;;;;;;;978-1-6654-7249-4;;;;2022;;;;;;;132;137;;10.1109/BLORIN54731.2022.10028437;http://dx.doi.org/10.1109/BLORIN54731.2022.10028437;;;;;;;;;;;;;WOS:000971278900025;View Full Record in Web of Science
J;"Zhao, C; Dai, XY; Lv, YS; Niu, JL; Lin, YL";;;;"Zhao, Chen; Dai, Xingyuan; Lv, Yisheng; Niu, Jinglong; Lin, Yilun";;;Decentralized Autonomous Operations and Organizations in TransVerse: Federated Intelligence for Smart Mobility;IEEE TRANSACTIONS ON SYSTEMS MAN CYBERNETICS-SYSTEMS;;;;;;;;;;;;;;;;;"Shamim, Nida/IXD-8527-2023; Lv, Yisheng/N-3426-2015; ?, ??/V-2063-2019";?, ??/0000-0001-6662-1916;;;;;;;;;;;;;2168-2216;2168-2232;;;;APR;2023;53;4;;;;;2062;2072;;10.1109/TSMC.2022.3228914;http://dx.doi.org/10.1109/TSMC.2022.3228914;;DEC 2022;;;;;;;;;;;WOS:000903474200001;View Full Record in Web of Science
J;"Luo, RP; Sheng, BY; Fu, GC; Huang, YZ; Jian, YC; Chen, G";;;;"Luo, Ruiping; Sheng, Buyun; Fu, Gaocai; Huang, Yuzhe; Jian, Yuchao; Chen, Geng";;;A virtual model knowledge updating method driven by data;INTERNATIONAL JOURNAL OF ADVANCED MANUFACTURING TECHNOLOGY;;;;;;;;;;;;;;;;;Luo, Ruiping/HNJ-6586-2023;;;;;;;;;;;;;;0268-3768;1433-3015;;;;2023 MAR 9;2023;;;;;;;;;;10.1007/s00170-023-11157-y;http://dx.doi.org/10.1007/s00170-023-11157-y;;MAR 2023;;;;;;;;;;;WOS:000953342600003;View Full Record in Web of Science
