Title;Publication Title;Authors;Publication Year;Document Identifier;Publisher;Abstract
Urban Intelligence: a Modular, Fully Integrated, and Evolving Model for Cities Digital Twinning;2019 IEEE 16th International Conference on Smart Cities: Improving Quality of Life Using ICT & IoT and AI (HONET-ICT);"G. Castelli; A. Cesta; M. Diez; M. Padula; P. Ravazzani; G. Rinaldi; S. Savazzi; M. Spagnuolo; L. Strambini; G. Tognola; E. F. Campana";2019.0;IEEE Conferences;IEEE;The Urban Intelligence (UI) paradigm proposes an ecosystem of technologies to improve urban environment, wellbeing, quality of life and smart city systems. It fosters the definition of a digital twin of the city, namely a cyber-physical counterpart of all the city systems and sub-systems. Here we propose a novel approach to UI that extends available frameworks combining advanced multidisciplinary modelling of the city, simulation and learning tools with numerical optimization techniques, each of them specialized for the digital representation of city systems and subsystems, including not only city infrastructures, but also city users and their interactions. UI provides sets of candidate policies in complex scenarios and supports policy makers and stakeholders in designing sustainable and personalized solutions. The main characteristics of the proposed UI architecture are (a) fully multidisciplinary integration of city layers, (b) connection and evolution with the city, (c) integration of participative strategies to include ?human-oriented? information, and (d) modularity of application.
DataTime: a Framework to smoothly Integrate Past, Present and Future into Models;2021 ACM/IEEE 24th International Conference on Model Driven Engineering Languages and Systems (MODELS);"G. Lyan; J. -M. J‚z‚quel; D. Gross-Amblard; B. Combemale";2021.0;IEEE Conferences;IEEE;Models at runtime have been initially investigated for adaptive systems. Models are used as a reflective layer of the current state of the system to support the implementation of a feedback loop. More recently, models at runtime have also been identified as key for supporting the development of full-fledged digital twins. However, this use of models at runtime raises new challenges, such as the ability to seamlessly interact with the past, present and future states of the system. In this paper, we propose a framework called DataTime to implement models at runtime which capture the state of the system according to the dimensions of both time and space, here modeled as a directed graph where both nodes and edges bear local states (ie. values of properties of interest). DataTime provides a unifying interface to query the past, present and future (predicted) states of the system. This unifying interface provides i) an optimized structure of the time series that capture the past states of the system, possibly evolving over time, ii) the ability to get the last available value provided by the system's sensors, and iii) a continuous micro-learning over graph edges of a predictive model to make it possible to query future states, either locally or more globally, thanks to a composition law. The framework has been developed and evaluated in the context of the Intelligent Public Transportation Systems of the city of Rennes (France). This experimentation has demonstrated how DataTime can deprecate the use of heterogeneous tools for managing data from the past, the present and the future, and facilitate the development of digital twins.
Proof of Concept for a Roundtrip Engineering IS for the New Enterprise in the Industry 4.0 Era;2022 24th International Symposium on Symbolic and Numeric Algorithms for Scientific Computing (SYNASC);"A. Chi?; A. -M. Ghiran; R. A. Buchmann";2022.0;IEEE Conferences;IEEE;Traditionally, enterprises had relied on information systems (IS) as a medium to represent reality, but recently, there is a growing trend among IS scholars admitting that contemporary environment is calling for a change in the view about the IS' implications in our lives. They acknowledge that our world is increasingly shaped by what is created and performed in various digital environments. In this view, we ask how conceptual modelling (as a particular manifestation of IS) could be used to shape this new environment while continue being used as a means to represent the domain of discourse. This work at hand presents a proof-of-concept for the new enterprise systems where conceptual modelling plays a key role and the modelling tool acts as a transition layer between physical and digital realities.
AAS Capability-Based Operation and Engineering of Flexible Production Lines;2021 26th IEEE International Conference on Emerging Technologies and Factory Automation (ETFA );"Y. Huang; S. Dhouib; J. Malenfant";2021.0;IEEE Conferences;IEEE;"Lot-size-one systems as well as plug and produce concepts imply (1) producing increased variety of products in a highly flexible and timely manner, and (2) making commissioning and maintenance more flexible. The speed with which manufacturers, in particular SMEs, can reconfigure the production to a new run and thus respond to clients and avoid costly machine downtime is critical to maintaining commercial success and profit margins. The manufacturing systems of tomorrow must offer a high degree of autonomy, be quickly re-planned to other operations, and cope with a wide variety of unforeseen situations, in a secure and safe manner. In this context, the Asset Administration Shell (AAS) is an emergent standard that leverages the digital twin approach and provides concepts for describing capabilities and skills of I4.0 components in order to automate the reconfiguration process. This article proposes a capability-based operation and engineering approach to tackle the syntactic and semantic interoperability problems in flexible production lines. We demonstrate the implementation of the AAS standard in the open source model-driven workbench Papyrus; then we assess its usability for modeling a production cell use case in order to implement a capability-based reconfiguration approach for flexible production lines."
An AAS Modeling Tool for Capability-Based Engineering of Flexible Production Lines;IECON 2021 ? 47th Annual Conference of the IEEE Industrial Electronics Society;"Y. Huang; S. Dhouib; J. Malenfant";2021.0;IEEE Conferences;IEEE;The future intelligent manufacturing systems should possess a high degree of autonomy, which is able to monitor the entire production process, quickly re-plan operations, and respond to various unforeseen situations in a secure and safe manner. This can achieve rapid response to customers and avoid costly machine downtime, which is crucial to maintaining business success and profitability. The Asset Administration Shell (AAS) is an emerging standard in the I4.0 (Industry 4.0) domain. Based on the concept of digital twins, it provides concepts for describing the digital representation of I4.0 assets including their capabilities and skills. The AAS provides also responses to the challenge of syntactic and semantic interoperability that the flexible and autonomous production lines are facing. In this article, we propose a capability-based operation and engineering approach for flexible production lines. Our approach is relying on the AAS standard which is a very wide and rich specification. Consequently, we describe the subset of AAS modelling concepts necessary for our approach, we clarify their semantics and we show their usage through a production cell use case. Furthermore, we demonstrate how these modelling concepts were tooled as an extension of the open source model-driven workbench Papyrus.
Learning to Predict and Optimize Imperfect MIMO System Performance: Framework and Application;GLOBECOM 2022 - 2022 IEEE Global Communications Conference;"J. Su; F. Meng; S. Liu; Y. Huang; Z. Lu";2022.0;IEEE Conferences;IEEE;In imperfect multiple-input multiple-output (MIMO) systems, model-based methods for performance prediction and optimization generally experience degradation in the dynamically changing environment with unknown interference and uncertain channel state information (CSI). To adapt to such challenging settings and better accomplish the network auto-tuning tasks, we propose a generic learnable model-driven framework. We further consider transmit regularized zero-forcing (RZF) precoding as a usage instance to illustrate the proposed framework. The overall process can be divided into three cascaded stages. First, we design a light neural network for refined prediction of sum rate based on coarse model-driven approximations. Then, the CSI uncertainty is estimated on the learned predictor in an iterative manner. In the last step the regularization term in the transmit RZF precoding is optimized. The effectiveness of the generic framework and the derivative method thereof is showcased via simulation results.
Holistic Network Virtualization and Pervasive Network Intelligence for 6G;IEEE Communications Surveys & Tutorials;"X. Shen; J. Gao; W. Wu; M. Li; C. Zhou; W. Zhuang";2022.0;IEEE Journals;IEEE;In this tutorial paper, we look into the evolution and prospect of network architecture and propose a novel conceptual architecture for the 6th generation (6G) networks. The proposed architecture has two key elements, i.e., holistic network virtualization and pervasive artificial intelligence (AI). The holistic network virtualization consists of network slicing and digital twin, from the aspects of service provision and service demand, respectively, to incorporate service-centric and user-centric networking. The pervasive network intelligence integrates AI into future networks from the perspectives of networking for AI and AI for networking, respectively. Building on holistic network virtualization and pervasive network intelligence, the proposed architecture can facilitate three types of interplay, i.e., the interplay between digital twin and network slicing paradigms, between model-driven and data-driven methods for network management, and between virtualization and AI, to maximize the flexibility, scalability, adaptivity, and intelligence for 6G networks. We also identify challenges and open issues related to the proposed architecture. By providing our vision, we aim to inspire further discussions and developments on the potential architecture of 6G.
A neural control of the parallel Gas Turbine with differential link;2017 International Conference on System Science and Engineering (ICSSE);Nguyen Hoang Mai;2017.0;IEEE Conferences;IEEE;Gas turbine engine has the highest performance in the engine rotation. The performance of the types of modern gas turbines could able up to 44%. In specific applications, gas turbines are used for equipment such as electrical generators, aircraft engines, high-speed boat ? The applications of gas turbine are used to transmit turbine, cabinet pull in eneral[3],[5],[6],[9],[10],[12],[15]. However, there have been no published works on the use of dual turbine. This paper presents an artificial neural network controller to control Double Differential Gas Turbine (DDGT) by use algorithm to synchronize the speed of two turbines at each variable turbine load to reduce low power balance in the system. From the Rowen's model of control for a turbine, the author analyzed and combined with the existing model to construct a dual turbine combinatorial structure coupled by differential coupling. Model-driven control algorithms are used as training grounds for artificial neural networks (ANNs) to replace traditional PID controllers. Because the double tubine construction is strong nonlinear system, modeling is directly transformed from the object model. Simulation results for a dual-turbine twin-turbine combination of 32MW, demonstrating the suitability of the theory. Simulation results show that ANN can be deployed into practice to replace PID controllers to increase control accuracy.
The THREAT-ARREST Cyber Range Platform;2021 IEEE International Conference on Cyber Security and Resilience (CSR);"G. Hatzivasilis; S. Ioannidis; M. Smyrlis; G. Spanoudakis; F. Frati; C. Braghin; E. Damiani; H. Koshutanski; G. Tsakirakis; T. Hildebrandt; L. Goeke; S. Pape; O. Blinder; M. Vinov; G. Leftheriotis; M. Kunc; F. Oikonomou; G. Magilo; V. Petrarolo; A. Chieti; R. Bordianu";2021.0;IEEE Conferences;IEEE;Emerging technologies are facilitating our daily activities and drive the digital transformation. The Internet of Things (IoT) and 5G communications will provide a wide range of new applications and business opportunities, but with a wide and quite complex attack surface. Several users are not aware of the underlying threats and most of them do not possess the knowledge to set and operate the various digital assets securely. Therefore, cyber security training is becoming mandatory both for simple users and security experts. Cyber ranges constitute an advance training technique where trainees gain hands-on experiences on a safe virtual environment, which can be a realistic digital twin of an actual system. This paper presents the cyber ranges platform THREAT-ARREST. Its design is fully model-driven and offers all modern training features (i.e. emulation, simulation, serious games, and fabricated data). The platform has been evaluated under the smart energy, intelligent transportation, and healthcare domains.
MoDDiT 2021: 1st International Workshop on Model-Driven Engineering for Digital Twins;2021 ACM/IEEE International Conference on Model Driven Engineering Languages and Systems Companion (MODELS-C);"F. Bordeleau; L. Cleophas; B. Combemale; R. Eramo; M. Van Den Brand; M. Wimmer; A. Wortmann";2021.0;IEEE Conferences;IEEE;Digital twins (DT) are emerging and gaining attention in several disciplines to support different phases of the system life-cycle such as design-space exploration, runtime adaptation, and predictive maintenance of cyber-physical systems (CPSs). The term DT refers to the capability to clone an actual system into a virtual counterpart, that reflects the important properties of the system for a specific purpose. While benefits of DT have been demonstrated in many domains, their development, operation, and evolution, trigger major challenges. Part of these may be addressed from a Model Driven Engineering (MDE) perspective. MoDDiT?21 aims at bringing together researchers and practitioners in the DTs area to shape the future of systematically designing, engineering, evolving, maintaining, and evaluating DTs.
Preface of the 15th International Workshop on Models@run.time?21;2021 ACM/IEEE International Conference on Model Driven Engineering Languages and Systems Companion (MODELS-C);"S. G”tz; A. Bucchiarone; N. Bencomo";2021.0;IEEE Conferences;IEEE;After a break in 2020, this year the 15th edition of the workshop Models@run.time is held at the 24th International Conference on Model Driven Engineering Languages and Systems. The workshop takes place virtually due to the Covid-19 pandemic on the 11th of October 2021. The workshop is organized by Sebastian G”tz, Antonio Bucchiarone and Nelly Bencomo. Here, we present some highlights of the workshop.
Model-Driven Digital Twin Construction: Synthesizing the Integration of Cyber-Physical Systems with Their Information Systems;Proceedings of the 23rd ACM/IEEE International Conference on Model Driven Engineering Languages and Systems;Kirchhof JC,Michael J,Rumpe B,Varga S,Wortmann A;2020.0;Conference Paper;ACM;Digital twins emerge in many disciplines to support engineering, monitoring, controlling, and optimizing cyber-physical systems, such as airplanes, cars, factories, medical devices, or ships. There is an increasing demand to create digital twins as representation of cyber-physical systems and their related models, data traces, aggregated data, and services. Despite a plethora of digital twin applications, there are very few systematic methods to facilitate the modeling of digital twins for a given cyber-physical system. Existing methods focus only on the construction of specific digital twin models and do not consider the integration of these models with the observed cyber-physical system. To mitigate this, we present a fully model-driven method to describe the software of the cyber-physical system, its digital twin information system, and their integration. The integration method relies on MontiArc models of the cyber-physical system's architecture and on UML/P class diagrams from which the digital twin information system is generated. We show the practical application and feasibility of our method on an IoT case study. Explicitly modeling the integration of digital twins and cyber-physical systems eliminates repetitive programming activities and can foster the systematic engineering of digital twins.
Understanding and Improving Model-Driven IoT Systems through Accompanying Digital Twins;Proceedings of the 20th ACM SIGPLAN International Conference on Generative Programming: Concepts and Experiences;Kirchhof JC,Malcher L,Rumpe B;2021.0;Conference Paper;ACM;Developers questioning why their system behaves differently than expected often have to rely on time-consuming and error-prone manual analysis of log files. Understanding the behavior of Internet of Things (IoT) applications is a challenging task because they are not only inherently hard-to-trace distributed systems, but their integration with the environment via sensors adds another layer of complexity. Related work proposes to record data during the execution of the system, which can later be replayed to analyze the system. We apply the model-driven development approach to this idea and leverage digital twins to collect the required data. We enable developers to replay and analyze the system?s executions by applying model-to-model transformations. These transformations instrument component and connector (C&C) architecture models with components that reproduce the system?s environment based on the data recorded by the system?s digital twin. We validate and evaluate the feasibility of our approach using a heating, ventilation, and air conditioning (HVAC) case study. By facilitating the reproduction of the system?s behavior, our method lowers the barrier to understanding the behavior of model-driven IoT systems.
How Alike Are My Physical and Digital Twins?;Proceedings of the 25th International Conference on Model Driven Engineering Languages and Systems: Companion Proceedings;Mu¤oz P;2022.0;Conference Paper;ACM;A digital twin is a virtual replica of a system defined at a certain level of fidelity, and synchronized at a specific frequency. Digital twins are often used to replicate physical systems whose simulations are usually computationally costly. One of the solutions proposed in the literature to this problem is to define a hierarchy of multi-fidelity digital twins, where we use one twin or another depending on the specific purpose. However, one of the challenges of this proposal is the need to determine whether these twins are equivalent to each other and the physical system according to their purpose. In this work, we explore different methods to measure this equivalence by analyzing the state and behavior of the twins using high-level software models.
Measuring the Fidelity of Digital Twin Systems;Proceedings of the 25th International Conference on Model Driven Engineering Languages and Systems: Companion Proceedings;Mu¤oz P;2022.0;Conference Paper;ACM;A digital twin is a virtual replica of a system at a certain level of fidelity, synchronized at a specific frequency. Digital twins often replicate physical systems whose simulations are usually computationally costly. One of the solutions to this problem proposed in the literature is to define a hierarchy of multi-fidelity digital twins, where we use one twin or another depending on the specific purpose. However, one of the challenges of this proposal is the need to determine whether the different twins are equivalent to each other and the physical system. In this thesis, we explore different methods to measure this equivalence by analyzing the state and behavior of the twins with the aid of high-level software models.
A Community-Sourced View on Engineering Digital Twins: A Report from the EDT.Community;Proceedings of the 25th International Conference on Model Driven Engineering Languages and Systems: Companion Proceedings;Cleophas L,Godfrey T,Khelladi DE,Lehner D,Combemale B,van den Brand M,Vierhauser M,Wimmer M,Zschaler S;2022.0;Conference Paper;ACM;Digital Twins are an important concept, enabling what-if scenario exploration, predictive maintenance, and other approaches. They help in saving time and physical resources when developing and evolving systems, whether natural or engineered. However, constructing and maintaining digital twins is a challenging engineering task - and, to date, there is a lack of understanding of the engineering techniques and methodologies required. To address these challenges, we created EDT.Community, a programme of seminars on the engineering of digital twins hosting digital twins experts from academia and industry. In this paper, we report on the main topics of discussion from the first year of the programme. We contribute by providing (1) a common understanding of open challenges in research and practice of the engineering of digital twins, and (2) an entry point to researchers who aim to close gaps in the current state of the art.
Digital Twin as Risk-Free Experimentation Aid for Techno-Socio-Economic Systems;Proceedings of the 25th International Conference on Model Driven Engineering Languages and Systems;Barat S,Kulkarni V,Clark T,Barn B;2022.0;Conference Paper;ACM;Environmental uncertainties and hyperconnectivity force technosocio-economic systems to introspect and adapt to succeed and survive. Current practices in decision-making are predominantly intuition-driven with attendant challenges for precision and rigor. We propose to use the concept of digital twins by combining results from Modelling & Simulation, Artificial Intelligence, and Control Theory to create a risk free 'in silico' experimentation aid to help: (i) understand why a system is the way it is, (ii) be prepared for possible outlier conditions, and (iii) identify plausible solutions for mitigating the outlier conditions in an evidence-backed manner. We use reinforcement learning to systematically explore the digital twin solution space. Our proposal is significant because it advances the effective use of digital twins to new problem domains that have new potential for impact. Our approach contributes an original meta model for simulatable digital twin of industry scale techno-socioeconomic systems, agent-based implementation of the digital twin, and an architecture that serves as a risk-free experimentation aid to support simulation-based evidence-backed decision-making. We also discuss the rigor of our validation of the proposed approach and associated technology infrastructure through a representative sample of industry-scale real-world use cases.
Case Study on Automated and Continuous Reliability Assessment of Software-Defined Manufacturing Based on Digital Twins;Proceedings of the 25th International Conference on Model Driven Engineering Languages and Systems: Companion Proceedings;Grimmeisen P,Wortmann A,Morozov A;2022.0;Conference Paper;ACM;Traditional production systems are characterized by rare software updates and fixed production lines. Each production unit is designed and programmed for a specific task. Therefore, the reliability assessment is conducted once before the operation, mostly manually, and is based on traditional reliability models, such as event trees, fault trees, or reliability block diagrams. In comparison to traditional production systems, the focus of modern, complex production systems is shifted towards the software part. This is emphasized by the concepts of digital twins and Software-Defined Manufacturing (SDM). These software-intensive and safety-critical systems have more frequent software updates to address higher system flexibility and adjustable production processes. Therefore, SDM systems require a new approach to reliability assessment. Each software update can change the system behavior significantly. This leads to the necessity to reconduct the reliability assessment automatically before each software update. Advanced and hybrid reliability models are the key enabling technology. These models must be automatically generated and synchronized with the available system models and digital twins. Model-to-Model (M2M) transformation methods are another enabling technology.In this paper, we present a case study on automated and continuous reliability assessment of SDM. It shows, that our new method is a suitable candidate to enable the reliability assessment of SDM based on digital twins. The method includes (i) the extension of SysML v2 for reliability assessment, (ii) the automatic generation of hybrid reliability models from the digital twin, and (iii) their reliability assessment with new solvers developed for our OpenPRA framework.
TwinOps - DevOps Meets Model-Based Engineering and Digital Twins for the Engineering of CPS;Proceedings of the 23rd ACM/IEEE International Conference on Model Driven Engineering Languages and Systems: Companion Proceedings;Hugues J,Hristosov A,Hudak JJ,Yankel J;2020.0;Conference Paper;ACM;The engineering of Cyber-Physical Systems (CPS) requires a large set of expertise to capture the system requirements and to derive a correct solution. Model-based Engineering and DevOps aim to efficiently deliver software with increased quality. Model-based Engineering relies on models as first-class artifacts to analyze, simulate, and ultimately generate parts of a system. DevOps focuses on software engineering activities, from early development to integration, and then improvement through the monitoring of the system at run-time. We claim these can be efficiently combined to improve the engineering process of CPS.In this paper, we present TwinOps, a process that unifies Model-based Engineering, Digital Twins, and DevOps practice in a uniform workflow. TwinOps illustrates how to leverage several best practices in MBE and DevOps for the engineering Cyber-Physical systems. We illustrate our contribution using a Digital Twins case study to illustrate TwinOps benefits, combining AADL and Modelica models, and an IoT platform.
Using Trace Alignments for Measuring the Similarity between a Physical and Its Digital Twin;Proceedings of the 25th International Conference on Model Driven Engineering Languages and Systems: Companion Proceedings;Mu¤oz P,Wimmer M,Troya J,Vallecillo A;2022.0;Conference Paper;ACM;A common problem in the development of digital twin systems is the validation that the behavior of both twins, the physical and the digital, is the same, or at least similar enough given the requirements of the digital twin system. In this paper, we propose a method for the alignment of the traces of both twins. Traces are sequences of snapshots that capture the progressive states of each entity. Our approach is based on a bioinformatic algorithm that we adapt and use for the alignment of snapshots. Additionally, we include a set of measures to evaluate the quality of these alignments and reason about the level of fidelity of the digital twin system. Two case studies are used to demonstrate our proposal and evaluate its accuracy and effectiveness.
Towards a Digital Twin for Cyber-Physical Production Systems: A Multi-Paradigm Modeling Approach in the Postal Industry;Proceedings of the 23rd ACM/IEEE International Conference on Model Driven Engineering Languages and Systems: Companion Proceedings;Niati A,Selma C,Tamzalit D,Bruneliere H,Mebarki N,Cardin O;2020.0;Conference Paper;ACM;This paper presents our early-stage research on a Multi-Paradigm Modeling (MPM) approach as an initial step towards the definition of a Digital Twin (DT) for Cyber-Physical Production Systems (CPPSs). This work takes place in the context of the digitalization of the mail sorting process at La Poste, the French national postal service company. Indeed, La Poste is currently investing on robotics modules for automatically loading mail containers. The main objective is to reduce the painful work for human operators while optimizing the robots usage. We already worked on targeting such a balance in a past effort that resulted in the production of different kinds of models of the La Poste CPPS. However, these models were defined separately and are not directly related to the underlying business process in particular. Thus, we propose an MPM approach starting from this business process as now modeled explicitly in a BPMN model. Then, we refine the high-level business activities into finer-grained activities represented in a UML Activity model. From these latest, we derive the specification of a Multi-Agent System (MAS) developed with the JADE framework and emulating the behavior of the La Poste CPPS. Our longer term objective is to pave the way for supporting the definition of a DT for this CPPS, and potentially for other CPPSs in different contexts in the future.
A Novel Methodology to Construct Digital Twin Models for Spacecraft Operations Using Fault and Behaviour Trees;Proceedings of the 25th International Conference on Model Driven Engineering Languages and Systems: Companion Proceedings;Christofi N,Pucel X;2022.0;Conference Paper;ACM;Successful satellite data reception requires the nominal operation of the ground stations in charge of their health monitoring as much as the spacecrafts themselves. Although the concept of Model-Based Diagnosis (MBD) in the field of autonomous systems -such as satellites, has long been researched and developed, that is not the case for their ground systems. Both satellites and ground stations operate autonomously. The latter however, are not equipped with the advanced Fault Detection, Isolation and Recovery (FDIR) capabilities one finds today on-board all orbiting spacecrafts. The aim of the study presented in this paper is the improvement of ground stations' operational diagnostics by providing the operators with ad-hock, Operations-Dedicated Models (ODMs). The latter serve as a basis for the construction of the system's Digital Twin (DT) models. These models allow the operators react more quickly and more precisely to alarms raised by the station. By helping the operators identify the malfunction and correct it in the quickest delays, they can avoid loosing the next satellite telemetry (TM) data, thus saving precious time and costs. This would increase both the availability and maintainability of the system. In a larger framework, ODMs are ideally concurrently built and connected with the engineering and safety models of the system, in a sort of virtual continuous improvement loop. While the utter purpose of ODMs is their usage as the system's DTs during operations, they also contribute to the stations' architecture and robustness continuous improvement, through increasing its fault detection and mitigation capabilities.
Reliable Counterparts: Efficiently Testing Causal Relationships in Digital Twins;Proceedings of the 25th International Conference on Model Driven Engineering Languages and Systems: Companion Proceedings;Somers RJ,Clark AG,Walkinshaw N,Hierons RM;2022.0;Conference Paper;ACM;The lack of testability of digital twins poses several difficulties when developing reliable systems. Intricate models complicate the definition of comprehensive testing criteria, and physical couplings make obtaining test data an arduous task. To alleviate these challenges, we explore the use of causal inference based testing and propose a technique to allow for correct behaviour of digital twins to be captured in causal diagrams, which are then tested with an efficient data set through the use of counterfactuals. We explore a motivating example of a robotic arm to show how this technique can confirm known causal relationships in a system, and even uncover a fault in the system which caused dangerous behaviour. Our technique localised this erroneous behaviour to a single causal relationship between two variables. Having shown this technique works with a case study, we explore its limitations and the challenges when approaching other industrial applications.
On the Engineering of IoT-Intensive Digital Twin Software Systems;Proceedings of the IEEE/ACM 42nd International Conference on Software Engineering Workshops;Rivera LF,Mller HA,Villegas NM,Tamura G,Jim‚nez M;2020.0;Conference Paper;ACM;Digital Twins (DT) are software systems representing different aspects of a physical or conceptual counterpart---the real twin, which is instrumented with several sensors or computing devices that generate, consume and transfer data to its DT with different purposes. In other words, DT systems are, to a large extent, IoT-intensive systems. Indeed, by exploiting and managing IoT data, artificial intelligence, and big data and simulation capabilities, DTs have emerged as a promising approach to manage the virtual manifestation of real-world entities throughout their entire lifecycle. Their proliferation will contribute to realizing the long-craved convergence of virtual and physical spaces to augment things and human capabilities. In this context, despite the proposal of noteworthy contributions, we argue that DTs have not been sufficiently investigated from a software engineering perspective. To address this, in this paper we propose GEMINIS, an architectural reference model that adopts self-adaptation, control, and model-driven engineering techniques to specify the structural and behavioural aspects of DTs and enable the evolution of their internal models. Moreover, we introduce an approach for engineering IoT-intensive Digital Twin Software Systems (DTSS) using GEMINIS' capabilities to deal with uncertain conditions that are inherent to the nature of mirrored physical environments and that might compromise the fidelity of a DT. With GEMINIS and the proposed approach, we aim to advance the engineering of DTSS as well as IoT and cyber-physical systems by providing practitioners with guidelines to model and specify inherent structural and behavioural characteristics of DTs, addressing common design concerns.
CPSAML: A Language and Code Generation Framework for Digital Twin Based Monitoring of Mobile Cyber-Physical Systems;Proceedings of the 25th International Conference on Model Driven Engineering Languages and Systems: Companion Proceedings;Fend A,Bork D;2022.0;Conference Paper;ACM;Cyber-physical systems (CPS) are finding increasing use, whether in factories, autonomous vehicles, or smart buildings. Monitoring the execution of CPSs is crucial since CPSs directly influence their physical environment. Like the actual system, the monitoring application must be designed, developed, and tested. Mobile CPSs, in contrast to stationary CPSs, bring the additional requirement that instances can dynamically join, leave, or fail during execution time. This dynamic behavior must also be considered in the monitoring application. This paper presents CPSAML, a language and code generation framework for the model-driven development of mobile CPS systems, including a cockpit application for monitoring and interacting with such a system. The pipeline starts with the formulation of the system and the CPSs it contains at an abstract level by the system architect using a domain-specific modeling language. Next, this model is transformed into SysML 2 for further extension and richer specificity by system engineers on a more technical level. In the last step of the pipeline, the SysML 2 model is used to generate code for the CPS devices, a system-wide digital twin, and the cockpit application mentioned above. This cockpit enables the operator to configure and apply the monitoring and interaction with the system during runtime. We evaluate our CPSAML language and code generation framework on an Indoor Transport System case study with Roomba vacuum cleaner robots.
Virtual Soccer Champions: A Case Study on Artifact Reuse in Soccer Robot Digital Twin Construction;Proceedings of the 25th International Conference on Model Driven Engineering Languages and Systems: Companion Proceedings;Walravens G,Muctadir HM,Cleophas L;2022.0;Conference Paper;ACM;A Digital Twin (DT) can be described as a pairing of a physical and virtual entity, in which the latter 'mimicks' the former in some sense, using data from its physical counterpart---whether real-time or historical---, for various purposes including better understanding of the physical entity's behaviour, predictive maintenance, and whatif scenario exploration. Here, we focus on the development of the virtual part of the DT in a context where the physical entity already exists, offering the potential for design and engineering artifacts from the physical entity to be reused. We performed a case study on the Turtle soccer robots developed by Eindhoven University of Technology's Tech United [6] team, to explore the possibilities of reusing artifacts for the development of the corresponding virtual entity. In this paper, we present our experiences from this case study and discuss the benefits, drawbacks, and challenges we faced.
A Flexible and Modular Architecture for Edge Digital Twin: Implementation and Evaluation;ACM Trans. Internet Things;Picone M,Mamei M,Zambonelli F;2023.0;Journal Article;ACM;IoT systems based on Digital Twins (DTs) ? virtual copies of physical objects and systems ? can be very effective to enable data-driven services and promote better control and decisions, in particular by exploiting distributed approaches where cloud and edge computing cooperate effectively. In this context, digital twins deployed on the edge represents a new strategic element to design a new wave of distributed cyber-physical applications. Existing approaches are generally focused on fragmented and domain-specific monolithic solutions and are mainly associated to model-driven, simulative or descriptive visions. The idea of extending the DTs role to support last-mile digitalization and interoperability through a set of general purpose and well-defined properties and capabilities is still underinvestigated. In this paper, we present the novel Edge Digital Twins (EDT) architectural model and its implementation, enabling the lightweight replication of physical devices providing an efficient digital abstraction layer to support the autonomous and standard collaboration of things and services. We model the core capabilities with respect to the recent definition of the state of the art, present the software architecture and a prototype implementation. Extensive experimental analysis shows the obtained performance in multiple IoT application contexts and compares them with that of state-of-the-art approaches.
Enabling Semantic Interoperability of Asset Administration Shells through an Ontology-Based Modeling Method;Proceedings of the 25th International Conference on Model Driven Engineering Languages and Systems: Companion Proceedings;Huang Y,Dhouib S,Medinacelli LP,Malenfant J;2022.0;Conference Paper;ACM;Digital twin technology establishes the future development vision for Industry 4.0, and is also an important exploration direction for the Model-Driven Engineering (MDE) paradigm. Because it builds a more flexible and communicative production system through models that spans life cycle, hierarchy and architecture. The standard proposed under the concept of Industry 4.0, the Asset Administration Shell (AAS), provides a syntactic interoperability interface for all assets involved in smart factories. However, there is still a need to fill the gap regarding semantic interoperability, in order to allow efficient interactions between Industry 4.0 components. Ontologies are a good candidate because they provide formal semantics expressed using a knowledge representation language, and in addition, there are many associated mature tools for reasoning and inference. Therefore, we propose a modeling approach that provides semantic interoperability for AAS-based digital twins using ontologies.
Challenges and Possible Approaches for Sustainable Digital Twinning;Proceedings of the 25th International Conference on Model Driven Engineering Languages and Systems: Companion Proceedings;Bellis S,Denil J;2022.0;Conference Paper;ACM;The advance in digital twin technology is creating value for lots of companies. We look at the digital twin design and operation from a sustainability perspective. We identify some challenges related to a digital twin's sustainable design and operation. Finally, we look at some possible approaches, grounded in multi-paradigm modelling to help us create and deploy more sustainable twins.
Coordination and Explanation of Reconfigurations in Self-Adaptive High-Performance Systems;Proceedings of the 25th International Conference on Model Driven Engineering Languages and Systems: Companion Proceedings;Stieá S,Becker S,Ege F,H”ppner S,Tichy M;2022.0;Conference Paper;ACM;Self-adaptive systems that modify their architecture to achieve different Service Level Objectives (SLOs) are becoming well-established parts of a company's portfolio. Current systems however do a poor job of coordinating the underlying rules and explaining the system's behavior to developers. This negatively impacts a system's performance due to behaving in unintended and hard-to-comprehend ways.In this vision paper, we introduce an approach that intends to alleviate these problems, for the use-case of high-performance cloud clusters, through the use of a cyber-cyber digital twin based on the Palladio ecosystem. The conceived digital twin allows for several functions that are unexplored in literature so far: the combination of design time analysis with explainability, use of state-space prediction bounded by likelihood, and explanation of non-applicability. This is achieved through a digital twin performing three main activities:1) The predicting activity predicts system performance along several potential paths.2) The planning activity analyzes reconfiguration rules and predicted system behavior to produce reconfiguration plans that try to optimally utilize available resources and achieve all SLOs without unintended interactions between the execution of rules.3) The explaining activity processes all artifacts produced during system simulation time or runtime to provide comprehensive visualizations to developers.We explain how each activity is performed and what models it processes and produces based on a running example.
