"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Dynamic Runtime Integration of New Models in Digital Twins","H. Ejersbo; K. Lausdahl; M. Frasheri; L. Esterle","Department of Electrical and Computer Engineering DIGIT, Aarhus University, Aarhus, Denmark; Department of Electrical and Computer Engineering DIGIT, Aarhus University, Aarhus, Denmark; Department of Electrical and Computer Engineering DIGIT, Aarhus University, Aarhus, Denmark; Department of Electrical and Computer Engineering DIGIT, Aarhus University, Aarhus, Denmark","2023 IEEE/ACM 18th Symposium on Software Engineering for Adaptive and Self-Managing Systems (SEAMS)","11 Jul 2023","2023","","","44","55","The development of cyber-physical systems is heavily relying on model-driven approaches. After deployment, these models can be utilised in a Digital Twin setting, acting as virtual replicas of the physical components and reflecting the behaviour of the running system in real-time. Complex systems often consist of numerous models interacting with each other and individual models may need to be updated after deployment. This means that new models need to be integrated and swapped during runtime without interrupting the running system. In this paper, we propose an approach for model-based Digital Twins to replace individual models without stopping or halting the operation of a cyber-physical system. Furthermore, our approach allows to replace not only individual models, but also update the overall structure of the interaction of models in the Digital Twin setting. The use of the proposed mechanism is illustrated through two case-studies with an agricultural robot prototype.","2157-2321","979-8-3503-1192-1","10.1109/SEAMS59076.2023.00016","ITEA; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10173959","Model Swap;Model-driven engineering;Co-simulation;Digital Twins;Functional Mock-up Interface","Adaptation models;Agricultural robots;Runtime;Adaptive systems;Autonomous systems;Prototypes;Real-time systems","agricultural robots;cyber-physical systems;digital twins;production engineering computing","complex systems;cyber-physical system;Digital Twin setting;dynamic runtime integration;model-based Digital Twins;model-driven approaches;numerous models;other models;physical components;running system;virtual replicas","","","","75","IEEE","11 Jul 2023","","","IEEE","IEEE Conferences"
"Improved Electric Vehicle Digital Twin Performance Incorporating Detailed Lithium-ion Battery Model","A. Sahoo; S. Sahithi; J. Channegowda","M S Ramaiah Institute of Technology, Bangalore, India; M S Ramaiah Institute of Technology, Bangalore, India; M S Ramaiah Institute of Technology, Bangalore, India","2022 IEEE International Conference on Electronics, Computing and Communication Technologies (CONECCT)","30 Aug 2022","2022","","","1","5","Electric Vehicle numbers have rapidly increased over the past decade. There is a dire need to establish accurate simulation frameworks to model the Electric Vehicle performance. Multiple simulation model-based approaches have been proposed in literature which consider the impact of various drive cycles on vehicle characteristics. All the available Electric Vehicle simulation models available in literature use lumped battery parameters which do not capture the dynamic behaviour of the vehicle. A detailed battery model considering drive cycle dynamics In Electric Vehicle Digital Twins have not been explored by researchers. This paper aims to provide tangible EV performance characteristics accounting for detailed 2RC battery model. This paper has used a two wheeler drive characteristics driven by a 2 kW Brushless Direct Current Motor powered by a 3.2 kWh battery pack. This paper also compares the variations in battery parameters with the lumped battery model to highlight the advantages of the proposed approach.","2766-2101","978-1-6654-9781-7","10.1109/CONECCT55679.2022.9865710","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9865710","Digital Twin;Electric Vehicle;Energy Storage System;Equivalent Circuit Model","Lithium-ion batteries;Costs;Computational modeling;Companies;Electric vehicles;Discharges (electric);Digital twins","battery powered vehicles;brushless DC motors;lithium compounds;secondary cells","multiple simulation model-based approaches;tangible EV performance characteristics;3.2 kWh battery pack;lumped battery model;electric vehicle digital twin performance;lithium-ion battery model;drive cycle dynamic behaviour;2 kW brushless direct current motor;power 2.0 kW;energy 3.2 kWh","","","","17","IEEE","30 Aug 2022","","","IEEE","IEEE Conferences"
"Workshop Management and Control System Based on Digital Twin","G. Wang; Z. Bing; Z. Hou; Y. Guan; X. Qi; M. Liu","Dept. School of Automation and Electrical Engineering, Tianjin University of Technology and Education, Tianjin, China; Dept. School of Automation and Electrical Engineering, Tianjin University of Technology and Education, Tianjin, China; Dept. School of Automation and Electrical Engineering, Tianjin University of Technology and Education, Tianjin, China; Dept. School of Automation and Electrical Engineering, Tianjin University of Technology and Education, Tianjin, China; Dept. School of Automation and Electrical Engineering, Tianjin University of Technology and Education, Tianjin, China; Dept. School of Information Technology and Engineering, Tianjin University of Technology and Education, Tianjin, China","2022 8th International Conference on Control, Automation and Robotics (ICCAR)","31 May 2022","2022","","","16","21","Aiming at the connotation and characteristics of digital twin, and improving the level of informatization and intelligence of the workshop, a workshop management and control system based on digital twins is proposed, which can realize the management and control of the full life cycle of digital twins. Based on the physical production line model of the digital twin, the virtual and real joint debugging method of the digital twin workshop is constructed: the controller controls the virtual model, and the virtual model drives the simulation. The operation and control model of the digital twin is driven through the communication framework of OPC UA (Object Linking and Embedding for Process Unified Architecture), and the virtual and real interaction of the physical production line is used to timely reflect the operation of the workshop. From model building, model digital drive, virtual and real control joint debugging, to full life cycle workshop verification and design simulation, the visual monitoring of the digital twin workshop is finally realized.","2251-2454","978-1-6654-8116-8","10.1109/ICCAR55106.2022.9782651","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9782651","digital twin;joint debugging;OPC UA;visual monitoring","Visualization;Conferences;Process control;Production;Debugging;Control systems;Data models","control engineering computing;production control;production engineering computing;program debugging;virtual reality","workshop management;control system;digital twin workshop;control model;real control joint debugging method;digital twin connotation;digital twin characteristics;physical production line model;OPC UA communication framework;object linking and embedding for process unified architecture;model building;model digital drive;life cycle workshop verification;design simulation;visual monitoring","","","","11","IEEE","31 May 2022","","","IEEE","IEEE Conferences"
"Using UML and OCL Models to Realize High-Level Digital Twins","P. Muñoz; J. Troya; A. Vallecillo","ITIS Software. Universidad de Málaga, Spain; ITIS Software. Universidad de Málaga, Spain; ITIS Software. Universidad de Málaga, Spain","2021 ACM/IEEE International Conference on Model Driven Engineering Languages and Systems Companion (MODELS-C)","20 Dec 2021","2021","","","212","220","Digital twins constitute virtual representations of physically existing systems. However, their inherent complexity makes them difficult to develop and prove correct. In this paper we explore the use of UML and OCL, complemented with an executable language, SOIL, to build and test digital twins at a high level of abstraction. We also show how to realize the bidirectional connection between the UML models of the digital twin in the USE tool with the physical twin, using an architectural framework centered on a data lake. We have built a prototype of the framework to demonstrate our ideas, and validated it by developing a digital twin of a Lego Mindstorms car. The results allow us to show some interesting advantages of using high-level UML models to specify virtual twins, such as simulation, property checking and some other types of tests.","","978-1-6654-2484-4","10.1109/MODELS-C53483.2021.00037","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9643725","Model-based Software Engineering;Model-based Testing;Digital Twins;UML;OCL;USE","Digital twin;Unified modeling language;Soil;Big Data applications;Software;Proposals;Synchronization","formal specification;program testing;software architecture;Unified Modeling Language","physical twin;virtual twins;high-level digital twins;high-level UML;OCL;virtual representations;executable language;SOIL;bidirectional connection;USE tool;architectural framework;data lake;Lego Mindstorms car;model-based testing","","6","","35","IEEE","20 Dec 2021","","","IEEE","IEEE Conferences"
"Interface Development for Digital Twin of an Electric Motor Based on Empirical Performance Model","A. Rassõlkin; V. Rjabtšikov; V. Kuts; T. Vaimann; A. Kallaste; B. Asad; A. Partyshev","Department of Electrical Power Engineering and Mechatronics, Tallinn University of Technology, Tallinn, Estonia; Department of Electrical Power Engineering and Mechatronics, Tallinn University of Technology, Tallinn, Estonia; Department of Mechanical and Industrial Engineering, Tallinn University of Technology, Tallinn, Estonia; Department of Electrical Power Engineering and Mechatronics, Tallinn University of Technology, Tallinn, Estonia; Department of Electrical Power Engineering and Mechatronics, Tallinn University of Technology, Tallinn, Estonia; Department of Electrical Power Engineering and Mechatronics, Tallinn University of Technology, Tallinn, Estonia; Department of Mechanical and Industrial Engineering, Tallinn University of Technology, Tallinn, Estonia","IEEE Access","11 Feb 2022","2022","10","","15635","15643","The concept of Digital Twin is creating and maintaining a digital representation of the real physical entity and supporting its performance utilizing simulation and optimization tools, which are fed with the real data obtained from the physical equipment. Development and implementation of the Digital Twin technology are one of the main challenges for today’s industry, more detailed studies are needed on design methods for Digital Twins. Besides using Digital Twin as a high-quality simulation, one of the commitments is monitoring and maintaining control of the whole system via a constant live link between virtual and physical entities. The related research study presents a detailed structural description of the developed Digital Twin virtual entity and the development of a framework that allows Robot Operating System (ROS) to securely communicate with remote Digital Twins via the Internet and harness ROS’s adaptability across vast distances and multiple systems. This paper is an extended version of the authors’ International Conference on Electrical Power Drive Systems (ICEPDS20) paper, in which we propose a development case study of Digital Twin for an electric motor based on an empirical performance model.","2169-3536","","10.1109/ACCESS.2022.3148708","Estonian Research Council through the Digital Twin for Propulsion Drive of an Autonomous Electric Vehicle(grant numbers:PSG453); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9701316","Motor drives;model-driven development;telemetry;digital twin","Bridges;Digital twin;Solid modeling;Induction motors;Servers;Data models;Linux","control engineering computing;electric drives;electric motors;fault tolerant computing;Internet;power station control;virtualisation","digital representation;optimization tools;Digital Twin technology;performance model;electric motor;structural description;robot operating system;ROS;Internet;electrical power drive systems;ICEPDS20","","10","","21","CCBY","1 Feb 2022","","","IEEE","IEEE Journals"
"A Model-Driven Approach for Situational Intelligence & Operational Awareness","S. Shokooh; G. Nordvik","ETAP, Irvine, CA, USA; Unitech, Stavanger, Norway","2019 Petroleum and Chemical Industry Conference Europe (PCIC EUROPE)","28 Feb 2020","2019","","","1","8","In order to design, operate, and maintain an oil and gas facility, one must first understand its behavior. A model-driven engineering and operation solution is required to analyze and identify problems early on and then improve design to ensure further problems are less likely. Predictive models are already shaping our experiences. They recommend products and services based on our habits. Predictive models of electrical power networks serve as a “digital twin” of the system including network topology, engineering parameters, and other pertinent information with real-time data acquired for depicting the actual operation of the system. A clear and thorough understanding of the operational system increases uptime and reduces the number of unnecessary shutdowns. Predictive simulation models help engineers and operators increase their understanding of systems in a cost-effective and repeatable environment by offering Situational Intelligence & Automation. This paper will include the benefits of adding such a system, the challenges that must be overcome and the lessons that have been learned from the implementation of several of these systems. It will also serve as a handbook on justification for a model-driven power management and automation of oil and gas facilities.","2151-7665","978-3-9524799-5-7","10.23919/PCICEurope46863.2019.9011632","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9011632","Situational Intelligence;Operational Awareness;Model-Driven Design;Predictive Simulation;Digital Twin;Predictive Maintenance;Load Shedding System;Power Management System","Predictive models;Data models;Analytical models;Real-time systems;Oils;Load modeling;Power system management","cost reduction;maintenance engineering;power system faults;production engineering computing","model-driven approach;operational awareness;gas facility;model-driven engineering;predictive models;electrical power networks;network topology;engineering parameters;operational system increases uptime;predictive simulation models;situational intelligence;model-driven power management","","","","2","","28 Feb 2020","","","IEEE","IEEE Conferences"
"Knowledge driven rapid development of white box digital twins for industrial plant systems","A. B.; S. R.C.; B. B.; R. Dhakshinamoorthy; S. A.; N. S.","TCS Research, Pune, India; TCS Research, Pune, India; TCS Research, Pune, India; TCS Ltd., Chennai, India; TCS Ltd., Chennai, India; TCS Ltd., Chennai, India","IECON 2021 – 47th Annual Conference of the IEEE Industrial Electronics Society","10 Nov 2021","2021","","","1","6","Industrial systems like power plants need a significant domain and engineering expertise for their efficient operations. Experts make decisions for multiple operational objectives such as minimizing cost, maximizing productivity, ensuring compliance to environmental conditions, etc. However, deciding strategies to achieve an objective can be highly non-trivial as it may lead to conflicting outcomes concerning other objectives. Modern digital twin(DT) technologies make it possible to build systems to support such decision-making to validate critical decisions. DTs are developed as one-off solutions for individual plants in the current practice, requiring high efforts and domain knowledge. Our work demonstrates the use of a knowledge-driven approach to reduce DT development efforts significantly. The main contribution of our work is an end-to-end architecture that allows us to explicate, structure, and reuse domain knowledge to semi-automate DT development for industrial plants. We integrate technologies like semantic web, model-driven engineering, and formal methods to realize the architecture. Our approach to developing a DT supporting a fault management scenario in a power plant reduced 70% development time and 50% manual efforts.","2577-1647","978-1-6654-3554-3","10.1109/IECON48115.2021.9589912","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9589912","knowledge-driven;digital twins;fault management;FMEA;transition system;state machines;domain-knowledge","Semantic Web;Productivity;Industrial electronics;Digital twin;Decision making;Manuals;Model driven engineering","control engineering computing;decision making;formal specification;industrial control;industrial plants;knowledge based systems;ontologies (artificial intelligence);semantic Web;software engineering","conflicting outcomes;decision-making;individual plants;knowledge-driven approach;DT development efforts;end-to-end architecture;reuse domain knowledge;semiautomate DT development;industrial plants;model-driven engineering;power plant;development time;manual efforts;knowledge driven rapid development;white box digital twins;industrial plant systems;engineering expertise;efficient operations;multiple operational objectives;cost minimization;productivity;environmental conditions;semantic Web","","","","15","IEEE","10 Nov 2021","","","IEEE","IEEE Conferences"
"Interface Management with Closed-Loop Systems Engineering (CLOSE)","M. Di Maio; L. Atorf; U. Dahmen; M. Schluse; J. Rossmann; M. Hoppe; G. -D. Kapos","TH Ingolstadt, Germany; Institute for Man-Machine Interaction, RWTH Aachen University, Aachen, Germany; Institute for Man-Machine Interaction, RWTH Aachen University, Aachen, Germany; Institute for Man-Machine Interaction, RWTH Aachen University, Aachen, Germany; Institute for Man-Machine Interaction, RWTH Aachen University, Aachen, Germany; INTIS GmbH, Hamburg, Germany; Harokopio University, Athens, Greece","2018 IEEE International Systems Engineering Symposium (ISSE)","9 Apr 2020","2018","","","1","8","Interfaces (IF) and their Management (IFM) are a particular challenge in the successful development of complex products and products operating in a complex environment. In Closed-Loop Systems Engineering (CLOSE) IFM is fully integrated into its Model-Driven Engineering Process (MDEP). CLOSE provides fully automated IF modelling, traceable IF history, an efficient handling of IF negotiations and the effective de-coupling of interfacing systems. Especially in combination with CLOSE's Experimentable Digital Twins (EDTs), IFM becomes a vital resource for the development process, rather than the parallel process it so often is today, supporting early variant evaluation, balance checks and impact analysis, which makes it a central asset for developing better products. This paper describes IFM in CLOSE and illustrates it with a case study of a Martian robot for autonomous scientific missions.","","978-1-5386-4446-1","10.1109/ISSE43632.2018.9058620","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9058620","Systems Engineering;Experimentable Digital Twin;Interface Management;Model-Driven Engineering;Variant Evaluation","System analysis and design;Data models;Analytical models;Closed loop systems;Model driven engineering;Complexity theory","closed loop systems;software engineering;systems engineering;user interfaces","closed-loop systems engineering IFM;parallel process;experimentable digital twins;interfacing systems;model-driven engineering process;complex environment;complex products;CLOSE;interface management","","","","","IEEE","9 Apr 2020","","","IEEE","IEEE Conferences"
"Prediction Study of the Heavy Vehicle Driving State Based on Digital Twin Model","J. Liu; Y. Dong; Y. Liu; P. Li; S. Liu; T. Wang","Vehicle Engineering Department, Army Academy of Armored Forces, Beijing, China; Vehicle Engineering Department, Army Academy of Armored Forces, Beijing, China; Vehicle Engineering Department, Army Academy of Armored Forces, Beijing, China; Factory 6456 of PLA, Nanyang, China; China North Engine Research Institute, Tianjin, China; Vehicle Engineering Department, Army Academy of Armored Forces, Beijing, China","2021 IEEE International Conference on Power Electronics, Computer Applications (ICPECA)","1 Mar 2021","2021","","","789","797","In order to study the driving state of heavy vehicles, two approaches are employed hereby to establish digital twin models for analyzing the applicable scopes of the models and conducting a predictive study. To begin with, the operating parameters and the state of the vehicles are measured using instruments and apparatuses. Then, relying on a GP and deep convolutional neural network (DCNN), two digital twin models of vehicles driving state are established, respectively, which set the transmission system and power system parameters as well as weather conditions as input parameters; and vehicle running speed and torque value as output ones. Both digital twin models consider the physical rule of the vehicle to avoid overfitting in the training. The analytical results indicate that the GP-based digital twin model appears more accurate in predicting the driving parameters of the vehicles, whereas the model based on the DCNN has better convergence precision within a short span of time. The vehicle-specific digital twin models set up in this paper lay a foundation for subsequent optimization of vehicle driving state and realization of digital twin-physical entity interaction.","","978-1-7281-9004-4","10.1109/ICPECA51329.2021.9362618","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9362618","Heavy vehicle;driving state;digital twin;prediction","Temperature measurement;Analytical models;Torque;Digital twin;Predictive models;Data models;Power systems","convolutional neural nets;road vehicles;traffic engineering computing","prediction study;heavy vehicle driving state;predictive study;vehicle running speed;torque value;GP-based digital twin model;driving parameters;vehicle-specific digital twin models;DCNN;deep convolutional neural network;digital twin models","","4","","36","IEEE","1 Mar 2021","","","IEEE","IEEE Conferences"
"Urban Intelligence: Toward the Digital Twin of Matera and Catania","G. Castelli; A. Cesta; M. Ciampi; R. De Benedictis; G. De Pietro; M. Diez; G. Felici; R. Malvezzi; B. Masini; R. Pellegrini; A. Scalas; G. Stecca; L. Strambini; G. Tognola; P. Ravazzani; E. F. Campana","Engineering, ICT and Technology for Energy and Transportation Dept. (DIITET) National Research Council (CNR), Rome, Italy; Institute of Cognitive Sciences and Technologies (ISTC) National Research Council (CNR), Rome, Italy; Institute for High Performance Computing and Networking (ICAR) National Research Council (CNR), Naples, Italy; Institute of Cognitive Sciences and Technologies (ISTC) National Research Council (CNR), Rome, Italy; Institute for High Performance Computing and Networking (ICAR) National Research Council (CNR), Naples, Italy; Institute of Marine Engineering (INM) National Research Council (CNR), Rome, Italy; Institute for Systems Analysis and Computer Science (IASI) National Research Council (CNR), Rome, Italy; Engineering, ICT and Technology for Energy and National Research Council (CNR), Rome, Italy; Institute of Electronics, Computer and Telecommunication Engineering (IEIIT) National Research Council (CNR), Bologna, Italy; Institute of Marine Engineering (INM) National Research Council (CNR), Rome, Italy; Institute for Applied Mathematics and Information Technologies (IMATI) National Research Council (CNR), Genoa, Italy; Institute for Systems Analysis and Computer Science “Antonio Ruberti” (IASI) National Research Council (CNR), Rome, Italy; Institute of Electronics, Computer and Telecommunication Engineering (IEIIT) (CNR), Pisa, Italy; Institute of Electronics, Computer and Telecommunication Engineering (IEIIT) National Research Council (CNR), Bologna, Italy; Engineering, ICT and Technology for Energy and Transportation Dept. (DIITET) National Research Council (CNR), Rome, Italy; Engineering, ICT and Technology for Energy and Transportation Dept. (DIITET) National Research Council (CNR), Rome, Italy","2022 Workshop on Blockchain for Renewables Integration (BLORIN)","3 Feb 2023","2022","","","132","137","The Urban Intelligence (UI) paradigm conceived by CNR consists of an ecosystem of digital technologies joined within a Digital Twin (DT) of the city aimed at improving the city governance towards goals addressed also by the UN Agenda 2030, such as urban environment, sustainability and resilience, wellbeing and quality of life, local development, and social inclusion. In particular, UI provides a set of candidate policies in complex scenarios, and supports policy makers and stakeholders in designing shared, evidence-based, and integrated solutions. UI is being applied for the first time to two Italian cities, Matera and Catania, paving the way for a deeper scientific framing of the paradigm, as well as for the technological development and testing of the core UI ecosystem in real-life situations. The paper introduces the UI key-concepts and components, illustrates the ongoing experimentations in these pilot cities related to the development of two DTs on parts of the urban areas, and presents some initial results.","","978-1-6654-7249-4","10.1109/BLORIN54731.2022.10028437","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10028437","digital twin;decision making;urban governance;multidisciplinary analysis and optimization;data lake management;wireless sensing;data/model driven learning and reasoning;know-how integration","Renewable energy sources;Urban areas;Ecosystems;Lakes;Digital twins;Sensors;Stakeholders","digital twins;government data processing;mobile computing;town and country planning","candidate policies;city governance;CNR;digital twin;evidence-based;Italian cities;local development;policy makers;social inclusion;technological development;UI key-concepts;urban intelligence paradigm","","","","17","IEEE","3 Feb 2023","","","IEEE","IEEE Conferences"
"Developing a Physical and Digital Twin: An Example Process Model","H. Feng; C. Gomes; M. Sandberg; C. Thule; K. Lausdahl; P. G. Larsen","Department of Electrical and Computer Engineering, DIGIT, Aarhus University Åbogade 34, Aarhus N, Denmark; Department of Electrical and Computer Engineering, DIGIT, Aarhus University Åbogade 34, Aarhus N, Denmark; Department of Electrical and Computer Engineering, DIGIT, Aarhus University Åbogade 34, Aarhus N, Denmark; Department of Electrical and Computer Engineering, DIGIT, Aarhus University Åbogade 34, Aarhus N, Denmark; Department of Electrical and Computer Engineering, DIGIT, Aarhus University Åbogade 34, Aarhus N, Denmark; Department of Electrical and Computer Engineering, DIGIT, Aarhus University Åbogade 34, Aarhus N, Denmark","2021 ACM/IEEE International Conference on Model Driven Engineering Languages and Systems Companion (MODELS-C)","20 Dec 2021","2021","","","286","295","As a result of the fast development of technologies and diversity of requirements, complexity exists not only in a system itself but also in the development process and environment. The complexity in the development process comes from specialization and concurrency, and a Digital Twin (DT) has the potential to mitigate these issues. We hope, during the process of building a DT, the accidental complexity can be minimized by application of model-based systems engineering and the Multi-Paradigm Modeling (MPM). In this paper, we give an example of the process of building a DT combined with a process model. Our long term goal is to model the development of various DTs to identify the commonalities and variations across multiple DTs.","","978-1-6654-2484-4","10.1109/MODELS-C53483.2021.00050","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9643681","development process;digital twin;multi-paradigm modeling;process model;cyber-physical systems","Temperature measurement;Concurrent computing;Temperature distribution;Digital twin;Buildings;Process control;Time measurement","concurrency (computers);formal specification;formal verification;object-oriented methods;systems engineering","digital twin;model-based systems engineering;multiparadigm modeling;physical twin;concurrency","","3","","36","IEEE","20 Dec 2021","","","IEEE","IEEE Conferences"
"A Methodology for Digital Twin Modeling and Deployment for Industry 4.0","G. N. Schroeder; C. Steinmetz; R. N. Rodrigues; R. V. B. Henriques; A. Rettberg; C. E. Pereira","Department of Electrical Engineering, Federal University of Rio Grande do Sul, Porto Alegre, Brazil; Department Lippstadt 2-Computer Science, Hamm-Lippstadt University of Applied Sciences, Lippstadt, Germany; Center for Computational Sciences, Universidade Federal do Rio Grande, Rio Grande, Brazil; Department of Electrical Engineering, Federal University of Rio Grande do Sul, Porto Alegre, Brazil; Department Lippstadt 2-Computer Science, Hamm-Lippstadt University of Applied Sciences, Lippstadt, Germany; Department of Electrical Engineering, Federal University of Rio Grande do Sul, Porto Alegre, Brazil","Proceedings of the IEEE","23 Mar 2021","2021","109","4","556","567","The digital twin (DT) is a virtual representation of a physical object, which has been proposed as one of the key concepts for Industry 4.0. The DT provides a virtual representation of products along their lifecycle that enables the prediction and optimization of the behavior of a production system and its components. A methodology design using model-driven engineering (MDE) is proposed that strives toward being both flexible and generic. This approach is presented at two levels: first, a DT is modeled as a composition of basic components that provide basic functionalities, such as identification, storage, communication, security, data management, human-machine interface (HMI), and simulation; second, an aggregated DT is defined as a hierarchical composition of other DTs. A generic reference architecture based on these concepts and a concrete implementation methodology are proposed using AutomationML. This methodology follows an MDE approach that supports most of the DT features currently proposed in the literature. A case study has been developed, the proposed ideas are being evaluated with industrial case studies, and some of the preliminary results are described in this article. With the case study, it is possible to verify that the proposed methodology supports the creation and the deployment process of a DT.","1558-2256","","10.1109/JPROC.2020.3032444","Coordenação de Aperfeiçoamento de Pessoal de Nível Superior(grant numbers:10.13039/501100002322); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9247401","AutomationML;cyber–physical systems (CPSs);digital twin (DT);Industry 4.0 (I4.0)","Data models;Computer architecture;Unified modeling language;Digital twin;Solid modeling;Industries;Context modeling;Cyber-physical systems;Fourth Industrial Revolution","formal specification;production engineering computing;software architecture;software engineering;user interfaces","production system;methodology design;model-driven engineering;basic functionalities;security;human-machine interface;aggregated DT;hierarchical composition;generic reference architecture;concrete implementation methodology;MDE approach;DT features;industrial case studies;digital twin modeling;virtual representation;physical object;optimization","","59","","49","IEEE","3 Nov 2020","","","IEEE","IEEE Journals"
"Combining Low-Code Programming and SDL-Based Modeling with Snap! in the Industry 4.0 Context","X. P. i. Palomés; P. Tuset-Peiró; P. F. i. Casas","Computer Science, Multimedia and Telecommunications Department, Universitat Oberta de Catalunya (UOC), Barcelona, Spain; Computer Science, Multimedia and Telecommunications Department, Universitat Oberta de Catalunya (UOC), Barcelona, Spain; Statistics and Operation Research Department, Universitat Politècnica de Catalunya BarcelonaTech (UPC), Barcelona, Spain","2021 ACM/IEEE International Conference on Model Driven Engineering Languages and Systems Companion (MODELS-C)","20 Dec 2021","2021","","","741","750","One of the main challenges to implement Industry 4.0 technologies within the industrial fabric is the lack of suitable concrete models and tools that demonstrate the potential benefits of embracing the digital transformation process. To overcome this challenge, over the past years, various Industry 4.0 automation and robotics providers have presented solutions based on visual block programming languages, which follow an emerging low-code approach to reduce the entry barriers of digital technologies. However, block-based low-code tools typically lack the formality introduced by specification languages, limiting their ability to model the industrial processes formally. Taking this into account, in this article, we present the combination of specification languages and visual block programming languages to enable industrial users to test and/or build their own Digital Twin models at a suitable abstraction level and with low entry barriers. In particular, we combine SDL and Snap! to create SDL4Snap!, an open-source and web-based tool that facilitates the implementation and validation of Digital Twin prototypes. Overall, the resulting tool has the potential to reduce the entry barrier to Digital Twins in small and medium enterprises, which are part of the late majority and laggard groups regarding the adoption of digital technologies in the context of Industry 4.0.","","978-1-6654-2484-4","10.1109/MODELS-C53483.2021.00120","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9643622","low code;Industry 4.0;interdisciplinary;SDL;Snap!;Simulation;Digital Twin","Visualization;Limiting;Service robots;Digital twin;Prototypes;Programming;Model driven engineering","Internet;production engineering computing;public domain software;source code (software);specification languages;virtual reality;visual languages;visual programming","low-code programming;SDL-based modeling;Industry 4.0;digital transformation process;visual block programming languages;specification languages;Digital Twin;abstraction level;open-source tool;Web-based tool;SDL4Snap!","","1","","56","IEEE","20 Dec 2021","","","IEEE","IEEE Conferences"
"Digital Twins Driving Model Based on Petri Net in Industrial Pipeline","Y. Dai; Y. Shi; Z. Zhang; R. Tao; F. Fang","Donghua University, Shanghai, China; Donghua University, Shanghai, China; Donghua University, Shanghai, China; Donghua University, Shanghai, China; Donghua University, Shanghai, China","2020 International Conference on Artificial Intelligence and Electromechanical Automation (AIEA)","13 Oct 2020","2020","","","283","291","Online simulation systems are mostly model-driven without considering about real-time interactive controlling with physical systems. In order to enhance the two-way interaction control capability of digital twins and physical systems, this paper proposes a digital twin-driven model based on Petri Net. It defines a state incremental update place for enhancing the ability of real-time simulation, and defines a feedback control structure to control the function of opening and closing the real industrial pipelines. Taking the industrial parameters of the suit processing line as experimental data, the feasibility of online synchronization communication and feedback control of the digital twin driven model and the actual production line was verified.","","978-1-7281-8288-9","10.1109/AIEA51086.2020.00067","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9221484","Digital Twins;driving model;Petri Net;simulate","Digital twin;Pipelines;Petri nets;Process control;Production;Machining;Real-time systems","control engineering computing;feedback;Petri nets;pipelines;production equipment","production line;online synchronization communication;feedback control structure;digital twin-driven model;two-way interaction control capability;physical systems;online simulation systems;industrial pipeline;Petri net","","1","","13","IEEE","13 Oct 2020","","","IEEE","IEEE Conferences"
