;Document Title;Authors;Publication Title;Publication Year;Abstract;Publisher;Document Identifier
31;Interface Management with Closed-Loop Systems Engineering (CLOSE);"M. Di Maio; L. Atorf; U. Dahmen; M. Schluse; J. Rossmann; M. Hoppe; G. -D. Kapos";2018 IEEE International Systems Engineering Symposium (ISSE);2018.0;Interfaces (IF) and their Management (IFM) are a particular challenge in the successful development of complex products and products operating in a complex environment. In Closed-Loop Systems Engineering (CLOSE) IFM is fully integrated into its Model-Driven Engineering Process (MDEP). CLOSE provides fully automated IF modelling, traceable IF history, an efficient handling of IF negotiations and the effective de-coupling of interfacing systems. Especially in combination with CLOSE's Experimentable Digital Twins (EDTs), IFM becomes a vital resource for the development process, rather than the parallel process it so often is today, supporting early variant evaluation, balance checks and impact analysis, which makes it a central asset for developing better products. This paper describes IFM in CLOSE and illustrates it with a case study of a Martian robot for autonomous scientific missions.;IEEE;IEEE Conferences
32;Prediction Study of the Heavy Vehicle Driving State Based on Digital Twin Model;"J. Liu; Y. Dong; Y. Liu; P. Li; S. Liu; T. Wang";2021 IEEE International Conference on Power Electronics, Computer Applications (ICPECA);2021.0;"In order to study the driving state of heavy vehicles, two approaches are employed hereby to establish digital twin models for analyzing the applicable scopes of the models and conducting a predictive study. To begin with, the operating parameters and the state of the vehicles are measured using instruments and apparatuses. Then, relying on a GP and deep convolutional neural network (DCNN), two digital twin models of vehicles driving state are established, respectively, which set the transmission system and power system parameters as well as weather conditions as input parameters; and vehicle running speed and torque value as output ones. Both digital twin models consider the physical rule of the vehicle to avoid overfitting in the training. The analytical results indicate that the GP-based digital twin model appears more accurate in predicting the driving parameters of the vehicles, whereas the model based on the DCNN has better convergence precision within a short span of time. The vehicle-specific digital twin models set up in this paper lay a foundation for subsequent optimization of vehicle driving state and realization of digital twin-physical entity interaction.";IEEE;IEEE Conferences
33;Urban Intelligence: Toward the Digital Twin of Matera and Catania;"G. Castelli; A. Cesta; M. Ciampi; R. De Benedictis; G. De Pietro; M. Diez; G. Felici; R. Malvezzi; B. Masini; R. Pellegrini; A. Scalas; G. Stecca; L. Strambini; G. Tognola; P. Ravazzani; E. F. Campana";2022 Workshop on Blockchain for Renewables Integration (BLORIN);2022.0;The Urban Intelligence (UI) paradigm conceived by CNR consists of an ecosystem of digital technologies joined within a Digital Twin (DT) of the city aimed at improving the city governance towards goals addressed also by the UN Agenda 2030, such as urban environment, sustainability and resilience, wellbeing and quality of life, local development, and social inclusion. In particular, UI provides a set of candidate policies in complex scenarios, and supports policy makers and stakeholders in designing shared, evidence-based, and integrated solutions. UI is being applied for the first time to two Italian cities, Matera and Catania, paving the way for a deeper scientific framing of the paradigm, as well as for the technological development and testing of the core UI ecosystem in real-life situations. The paper introduces the UI key-concepts and components, illustrates the ongoing experimentations in these pilot cities related to the development of two DTs on parts of the urban areas, and presents some initial results.;IEEE;IEEE Conferences
34;Developing a Physical and Digital Twin: An Example Process Model;"H. Feng; C. Gomes; M. Sandberg; C. Thule; K. Lausdahl; P. G. Larsen";2021 ACM/IEEE International Conference on Model Driven Engineering Languages and Systems Companion (MODELS-C);2021.0;As a result of the fast development of technologies and diversity of requirements, complexity exists not only in a system itself but also in the development process and environment. The complexity in the development process comes from specialization and concurrency, and a Digital Twin (DT) has the potential to mitigate these issues. We hope, during the process of building a DT, the accidental complexity can be minimized by application of model-based systems engineering and the Multi-Paradigm Modeling (MPM). In this paper, we give an example of the process of building a DT combined with a process model. Our long term goal is to model the development of various DTs to identify the commonalities and variations across multiple DTs.;IEEE;IEEE Conferences
35;A Methodology for Digital Twin Modeling and Deployment for Industry 4.0;"G. N. Schroeder; C. Steinmetz; R. N. Rodrigues; R. V. B. Henriques; A. Rettberg; C. E. Pereira";Proceedings of the IEEE;2021.0;"The digital twin (DT) is a virtual representation of a physical object, which has been proposed as one of the key concepts for Industry 4.0. The DT provides a virtual representation of products along their lifecycle that enables the prediction and optimization of the behavior of a production system and its components. A methodology design using model-driven engineering (MDE) is proposed that strives toward being both flexible and generic. This approach is presented at two levels: first, a DT is modeled as a composition of basic components that provide basic functionalities, such as identification, storage, communication, security, data management, human-machine interface (HMI), and simulation; second, an aggregated DT is defined as a hierarchical composition of other DTs. A generic reference architecture based on these concepts and a concrete implementation methodology are proposed using AutomationML. This methodology follows an MDE approach that supports most of the DT features currently proposed in the literature. A case study has been developed, the proposed ideas are being evaluated with industrial case studies, and some of the preliminary results are described in this article. With the case study, it is possible to verify that the proposed methodology supports the creation and the deployment process of a DT.";IEEE;IEEE Journals
36;Combining Low-Code Programming and SDL-Based Modeling with Snap! in the Industry 4.0 Context;"X. P. i. Palomés; P. Tuset-Peiró; P. F. i. Casas";2021 ACM/IEEE International Conference on Model Driven Engineering Languages and Systems Companion (MODELS-C);2021.0;One of the main challenges to implement Industry 4.0 technologies within the industrial fabric is the lack of suitable concrete models and tools that demonstrate the potential benefits of embracing the digital transformation process. To overcome this challenge, over the past years, various Industry 4.0 automation and robotics providers have presented solutions based on visual block programming languages, which follow an emerging low-code approach to reduce the entry barriers of digital technologies. However, block-based low-code tools typically lack the formality introduced by specification languages, limiting their ability to model the industrial processes formally. Taking this into account, in this article, we present the combination of specification languages and visual block programming languages to enable industrial users to test and/or build their own Digital Twin models at a suitable abstraction level and with low entry barriers. In particular, we combine SDL and Snap! to create SDL4Snap!, an open-source and web-based tool that facilitates the implementation and validation of Digital Twin prototypes. Overall, the resulting tool has the potential to reduce the entry barrier to Digital Twins in small and medium enterprises, which are part of the late majority and laggard groups regarding the adoption of digital technologies in the context of Industry 4.0.;IEEE;IEEE Conferences
37;Digital Twins Driving Model Based on Petri Net in Industrial Pipeline;"Y. Dai; Y. Shi; Z. Zhang; R. Tao; F. Fang";2020 International Conference on Artificial Intelligence and Electromechanical Automation (AIEA);2020.0;Online simulation systems are mostly model-driven without considering about real-time interactive controlling with physical systems. In order to enhance the two-way interaction control capability of digital twins and physical systems, this paper proposes a digital twin-driven model based on Petri Net. It defines a state incremental update place for enhancing the ability of real-time simulation, and defines a feedback control structure to control the function of opening and closing the real industrial pipelines. Taking the industrial parameters of the suit processing line as experimental data, the feasibility of online synchronization communication and feedback control of the digital twin driven model and the actual production line was verified.;IEEE;IEEE Conferences
38;Real Time Electrical Transient Analyzer Program (ETAP RT) Improvement for Gas Processing & Utilities (GPU) plant, PETRONAS Gas Berhad;"N. M. F. B. Nordzi; I. A. B. C. A. Rahman; I. M. H. K. Baharaini; I. M. R. B. M. Tahir";2022 International Conference on Future Trends in Smart Communities (ICFTSC);2022.0;Plant stability in oil and gas or petrochemical facility is crucial aspect that needs to be taken serious considerations. One must understand the plant behavior to operate and maintain the oil and gas facility in safely manners. A model-driven engineering equipped with real time operation solution is required to help plant personnel understand, identify, and analyze problems early on which can help them improve plant operational behavior during critical plant scenario. Predictive simulation models are new digitalization solution that already starting to influence nowadays way of working. It serves as “digital twin” of the system that equipped with reliable network topology, accurate engineering parameter and linking real-time data from existing plant electrical systems to stabilize actual plant operational performance. This paper will provide explanation on design implementation of ETAP Real time system at PETRONAS Facility include with the benefits of adding such a system, and sharing the impact that have been gained that from the implementation of these systems. It will serve as a reference handbook that discusses the importance of real-time model-driven engineering analysis systems on oil and gas facilities.;IEEE;IEEE Conferences
39;Automated Model Transformation in modeling Digital Twins of Industrial Internet-of-Things Applications utilizing AutomationML;"C. Binder; A. Calà; J. Vollmar; C. Neureiter; A. Lüder";2021 26th IEEE International Conference on Emerging Technologies and Factory Automation (ETFA );2021.0;In recent years, the manufacturing industry sector has undergone major changes. Better known by the term Industry 4.0, this trend describes the transformation of centrally managed production systems towards decentralized value creation networks. As this leads to a strong increase regarding complexity, engineering such current or future manufacturing systems becomes a difficult task. An example for such a challenging engineering process is the selection of technical implementations fulfilling all requirements and performing the needed functions. In order to support this process, model-based systems engineering (MBSE) and its expressions like model-driven architecture (MDA) proved to be promising approaches. However, semi or fully automated model transformations, which could deal with the aforementioned issue, are still yet widely unexplored in the industrial area. Therefore, this paper introduces an approach transforming the logical architecture of a system into its technical implementation by utilizing AutomationML. As the goal is to perform this step automatically, additional tool support is provided by developing specific software. The results of this approach are thereby evaluated by a real-world case study, which is applied according to the concepts of the Reference Architecture Model Industrie 4.0 (RAMI 4.0).;IEEE;IEEE Conferences
40;Digital Twin Service Unit for AC Motor Stator Inter-Turn Short Circuit Fault Detection;"V. Rjabtšikov; A. Rassõlkin; B. Asad; T. Vaimann; A. Kallaste; V. Kuts; S. Jegorov; M. St?pie?; M. Krawczyk";2021 28th International Workshop on Electric Drives: Improving Reliability of Electric Drives (IWED);2021.0;A modern trend for industry digitalization brings new demands for the development and application of the modeling and simulation approach. It is already not enough to have only a virtual representation of the object and run it independently from the physical object. The Digital Twin (DT) aspect indicates a connection between the physical object and the corresponding virtual twin established by generating real-time data using sensors. The DT represents physical object operation throughout its life cycle, making it an essential tool for improving that object's reliability. In this paper, an application of the DT service unit for AC motor stator inter-turn short circuit fault detection is presented. According to real-time measurements, Linux Robot Operation System (ROS) simulates AC electrical machine-specific behavior in case of unbalanced stator currents and notify about possible fault appearance and propagation. Fault, such as discussed in the paper (AC machine stator inter-turn) is considered one of the most prevalent possible electrical motor failure.;IEEE;IEEE Conferences
41;Urban Intelligence: a Modular, Fully Integrated, and Evolving Model for Cities Digital Twinning;"G. Castelli; A. Cesta; M. Diez; M. Padula; P. Ravazzani; G. Rinaldi; S. Savazzi; M. Spagnuolo; L. Strambini; G. Tognola; E. F. Campana";2019 IEEE 16th International Conference on Smart Cities: Improving Quality of Life Using ICT & IoT and AI (HONET-ICT);2019.0;The Urban Intelligence (UI) paradigm proposes an ecosystem of technologies to improve urban environment, wellbeing, quality of life and smart city systems. It fosters the definition of a digital twin of the city, namely a cyber-physical counterpart of all the city systems and sub-systems. Here we propose a novel approach to UI that extends available frameworks combining advanced multidisciplinary modelling of the city, simulation and learning tools with numerical optimization techniques, each of them specialized for the digital representation of city systems and subsystems, including not only city infrastructures, but also city users and their interactions. UI provides sets of candidate policies in complex scenarios and supports policy makers and stakeholders in designing sustainable and personalized solutions. The main characteristics of the proposed UI architecture are (a) fully multidisciplinary integration of city layers, (b) connection and evolution with the city, (c) integration of participative strategies to include “human-oriented” information, and (d) modularity of application.;IEEE;IEEE Conferences
42;DataTime: a Framework to smoothly Integrate Past, Present and Future into Models;"G. Lyan; J. -M. Jézéquel; D. Gross-Amblard; B. Combemale";2021 ACM/IEEE 24th International Conference on Model Driven Engineering Languages and Systems (MODELS);2021.0;Models at runtime have been initially investigated for adaptive systems. Models are used as a reflective layer of the current state of the system to support the implementation of a feedback loop. More recently, models at runtime have also been identified as key for supporting the development of full-fledged digital twins. However, this use of models at runtime raises new challenges, such as the ability to seamlessly interact with the past, present and future states of the system. In this paper, we propose a framework called DataTime to implement models at runtime which capture the state of the system according to the dimensions of both time and space, here modeled as a directed graph where both nodes and edges bear local states (ie. values of properties of interest). DataTime provides a unifying interface to query the past, present and future (predicted) states of the system. This unifying interface provides i) an optimized structure of the time series that capture the past states of the system, possibly evolving over time, ii) the ability to get the last available value provided by the system's sensors, and iii) a continuous micro-learning over graph edges of a predictive model to make it possible to query future states, either locally or more globally, thanks to a composition law. The framework has been developed and evaluated in the context of the Intelligent Public Transportation Systems of the city of Rennes (France). This experimentation has demonstrated how DataTime can deprecate the use of heterogeneous tools for managing data from the past, the present and the future, and facilitate the development of digital twins.;IEEE;IEEE Conferences
43;Proof of Concept for a Roundtrip Engineering IS for the New Enterprise in the Industry 4.0 Era;"A. Chi?; A. -M. Ghiran; R. A. Buchmann";2022 24th International Symposium on Symbolic and Numeric Algorithms for Scientific Computing (SYNASC);2022.0;Traditionally, enterprises had relied on information systems (IS) as a medium to represent reality, but recently, there is a growing trend among IS scholars admitting that contemporary environment is calling for a change in the view about the IS' implications in our lives. They acknowledge that our world is increasingly shaped by what is created and performed in various digital environments. In this view, we ask how conceptual modelling (as a particular manifestation of IS) could be used to shape this new environment while continue being used as a means to represent the domain of discourse. This work at hand presents a proof-of-concept for the new enterprise systems where conceptual modelling plays a key role and the modelling tool acts as a transition layer between physical and digital realities.;IEEE;IEEE Conferences
44;AAS Capability-Based Operation and Engineering of Flexible Production Lines;"Y. Huang; S. Dhouib; J. Malenfant";2021 26th IEEE International Conference on Emerging Technologies and Factory Automation (ETFA );2021.0;"Lot-size-one systems as well as plug and produce concepts imply (1) producing increased variety of products in a highly flexible and timely manner, and (2) making commissioning and maintenance more flexible. The speed with which manufacturers, in particular SMEs, can reconfigure the production to a new run and thus respond to clients and avoid costly machine downtime is critical to maintaining commercial success and profit margins. The manufacturing systems of tomorrow must offer a high degree of autonomy, be quickly re-planned to other operations, and cope with a wide variety of unforeseen situations, in a secure and safe manner. In this context, the Asset Administration Shell (AAS) is an emergent standard that leverages the digital twin approach and provides concepts for describing capabilities and skills of I4.0 components in order to automate the reconfiguration process. This article proposes a capability-based operation and engineering approach to tackle the syntactic and semantic interoperability problems in flexible production lines. We demonstrate the implementation of the AAS standard in the open source model-driven workbench Papyrus; then we assess its usability for modeling a production cell use case in order to implement a capability-based reconfiguration approach for flexible production lines.";IEEE;IEEE Conferences
45;An AAS Modeling Tool for Capability-Based Engineering of Flexible Production Lines;"Y. Huang; S. Dhouib; J. Malenfant";IECON 2021 – 47th Annual Conference of the IEEE Industrial Electronics Society;2021.0;The future intelligent manufacturing systems should possess a high degree of autonomy, which is able to monitor the entire production process, quickly re-plan operations, and respond to various unforeseen situations in a secure and safe manner. This can achieve rapid response to customers and avoid costly machine downtime, which is crucial to maintaining business success and profitability. The Asset Administration Shell (AAS) is an emerging standard in the I4.0 (Industry 4.0) domain. Based on the concept of digital twins, it provides concepts for describing the digital representation of I4.0 assets including their capabilities and skills. The AAS provides also responses to the challenge of syntactic and semantic interoperability that the flexible and autonomous production lines are facing. In this article, we propose a capability-based operation and engineering approach for flexible production lines. Our approach is relying on the AAS standard which is a very wide and rich specification. Consequently, we describe the subset of AAS modelling concepts necessary for our approach, we clarify their semantics and we show their usage through a production cell use case. Furthermore, we demonstrate how these modelling concepts were tooled as an extension of the open source model-driven workbench Papyrus.;IEEE;IEEE Conferences
46;Learning to Predict and Optimize Imperfect MIMO System Performance: Framework and Application;"J. Su; F. Meng; S. Liu; Y. Huang; Z. Lu";GLOBECOM 2022 - 2022 IEEE Global Communications Conference;2022.0;In imperfect multiple-input multiple-output (MIMO) systems, model-based methods for performance prediction and optimization generally experience degradation in the dynamically changing environment with unknown interference and uncertain channel state information (CSI). To adapt to such challenging settings and better accomplish the network auto-tuning tasks, we propose a generic learnable model-driven framework. We further consider transmit regularized zero-forcing (RZF) precoding as a usage instance to illustrate the proposed framework. The overall process can be divided into three cascaded stages. First, we design a light neural network for refined prediction of sum rate based on coarse model-driven approximations. Then, the CSI uncertainty is estimated on the learned predictor in an iterative manner. In the last step the regularization term in the transmit RZF precoding is optimized. The effectiveness of the generic framework and the derivative method thereof is showcased via simulation results.;IEEE;IEEE Conferences
47;Holistic Network Virtualization and Pervasive Network Intelligence for 6G;"X. Shen; J. Gao; W. Wu; M. Li; C. Zhou; W. Zhuang";IEEE Communications Surveys & Tutorials;2022.0;In this tutorial paper, we look into the evolution and prospect of network architecture and propose a novel conceptual architecture for the 6th generation (6G) networks. The proposed architecture has two key elements, i.e., holistic network virtualization and pervasive artificial intelligence (AI). The holistic network virtualization consists of network slicing and digital twin, from the aspects of service provision and service demand, respectively, to incorporate service-centric and user-centric networking. The pervasive network intelligence integrates AI into future networks from the perspectives of networking for AI and AI for networking, respectively. Building on holistic network virtualization and pervasive network intelligence, the proposed architecture can facilitate three types of interplay, i.e., the interplay between digital twin and network slicing paradigms, between model-driven and data-driven methods for network management, and between virtualization and AI, to maximize the flexibility, scalability, adaptivity, and intelligence for 6G networks. We also identify challenges and open issues related to the proposed architecture. By providing our vision, we aim to inspire further discussions and developments on the potential architecture of 6G.;IEEE;IEEE Journals
48;A neural control of the parallel Gas Turbine with differential link;Nguyen Hoang Mai;2017 International Conference on System Science and Engineering (ICSSE);2017.0;Gas turbine engine has the highest performance in the engine rotation. The performance of the types of modern gas turbines could able up to 44%. In specific applications, gas turbines are used for equipment such as electrical generators, aircraft engines, high-speed boat … The applications of gas turbine are used to transmit turbine, cabinet pull in eneral[3],[5],[6],[9],[10],[12],[15]. However, there have been no published works on the use of dual turbine. This paper presents an artificial neural network controller to control Double Differential Gas Turbine (DDGT) by use algorithm to synchronize the speed of two turbines at each variable turbine load to reduce low power balance in the system. From the Rowen's model of control for a turbine, the author analyzed and combined with the existing model to construct a dual turbine combinatorial structure coupled by differential coupling. Model-driven control algorithms are used as training grounds for artificial neural networks (ANNs) to replace traditional PID controllers. Because the double tubine construction is strong nonlinear system, modeling is directly transformed from the object model. Simulation results for a dual-turbine twin-turbine combination of 32MW, demonstrating the suitability of the theory. Simulation results show that ANN can be deployed into practice to replace PID controllers to increase control accuracy.;IEEE;IEEE Conferences
49;The THREAT-ARREST Cyber Range Platform;"G. Hatzivasilis; S. Ioannidis; M. Smyrlis; G. Spanoudakis; F. Frati; C. Braghin; E. Damiani; H. Koshutanski; G. Tsakirakis; T. Hildebrandt; L. Goeke; S. Pape; O. Blinder; M. Vinov; G. Leftheriotis; M. Kunc; F. Oikonomou; G. Magilo; V. Petrarolo; A. Chieti; R. Bordianu";2021 IEEE International Conference on Cyber Security and Resilience (CSR);2021.0;Emerging technologies are facilitating our daily activities and drive the digital transformation. The Internet of Things (IoT) and 5G communications will provide a wide range of new applications and business opportunities, but with a wide and quite complex attack surface. Several users are not aware of the underlying threats and most of them do not possess the knowledge to set and operate the various digital assets securely. Therefore, cyber security training is becoming mandatory both for simple users and security experts. Cyber ranges constitute an advance training technique where trainees gain hands-on experiences on a safe virtual environment, which can be a realistic digital twin of an actual system. This paper presents the cyber ranges platform THREAT-ARREST. Its design is fully model-driven and offers all modern training features (i.e. emulation, simulation, serious games, and fabricated data). The platform has been evaluated under the smart energy, intelligent transportation, and healthcare domains.;IEEE;IEEE Conferences
50;MoDDiT 2021: 1st International Workshop on Model-Driven Engineering for Digital Twins;"F. Bordeleau; L. Cleophas; B. Combemale; R. Eramo; M. Van Den Brand; M. Wimmer; A. Wortmann";2021 ACM/IEEE International Conference on Model Driven Engineering Languages and Systems Companion (MODELS-C);2021.0;Digital twins (DT) are emerging and gaining attention in several disciplines to support different phases of the system life-cycle such as design-space exploration, runtime adaptation, and predictive maintenance of cyber-physical systems (CPSs). The term DT refers to the capability to clone an actual system into a virtual counterpart, that reflects the important properties of the system for a specific purpose. While benefits of DT have been demonstrated in many domains, their development, operation, and evolution, trigger major challenges. Part of these may be addressed from a Model Driven Engineering (MDE) perspective. MoDDiT’21 aims at bringing together researchers and practitioners in the DTs area to shape the future of systematically designing, engineering, evolving, maintaining, and evaluating DTs.;IEEE;IEEE Conferences
51;Preface of the 15th International Workshop on Models@run.time’21;"S. Götz; A. Bucchiarone; N. Bencomo";2021 ACM/IEEE International Conference on Model Driven Engineering Languages and Systems Companion (MODELS-C);2021.0;After a break in 2020, this year the 15th edition of the workshop Models@run.time is held at the 24th International Conference on Model Driven Engineering Languages and Systems. The workshop takes place virtually due to the Covid-19 pandemic on the 11th of October 2021. The workshop is organized by Sebastian Götz, Antonio Bucchiarone and Nelly Bencomo. Here, we present some highlights of the workshop.;IEEE;IEEE Conferences
52;Model-Driven Digital Twin Construction: Synthesizing the Integration of Cyber-Physical Systems with Their Information Systems;Kirchhof JC,Michael J,Rumpe B,Varga S,Wortmann A;Proceedings of the 23rd ACM/IEEE International Conference on Model Driven Engineering Languages and Systems;2020.0;Digital twins emerge in many disciplines to support engineering, monitoring, controlling, and optimizing cyber-physical systems, such as airplanes, cars, factories, medical devices, or ships. There is an increasing demand to create digital twins as representation of cyber-physical systems and their related models, data traces, aggregated data, and services. Despite a plethora of digital twin applications, there are very few systematic methods to facilitate the modeling of digital twins for a given cyber-physical system. Existing methods focus only on the construction of specific digital twin models and do not consider the integration of these models with the observed cyber-physical system. To mitigate this, we present a fully model-driven method to describe the software of the cyber-physical system, its digital twin information system, and their integration. The integration method relies on MontiArc models of the cyber-physical system's architecture and on UML/P class diagrams from which the digital twin information system is generated. We show the practical application and feasibility of our method on an IoT case study. Explicitly modeling the integration of digital twins and cyber-physical systems eliminates repetitive programming activities and can foster the systematic engineering of digital twins.;ACM;Conference Paper
53;Understanding and Improving Model-Driven IoT Systems through Accompanying Digital Twins;Kirchhof JC,Malcher L,Rumpe B;Proceedings of the 20th ACM SIGPLAN International Conference on Generative Programming: Concepts and Experiences;2021.0;Developers questioning why their system behaves differently than expected often have to rely on time-consuming and error-prone manual analysis of log files. Understanding the behavior of Internet of Things (IoT) applications is a challenging task because they are not only inherently hard-to-trace distributed systems, but their integration with the environment via sensors adds another layer of complexity. Related work proposes to record data during the execution of the system, which can later be replayed to analyze the system. We apply the model-driven development approach to this idea and leverage digital twins to collect the required data. We enable developers to replay and analyze the system’s executions by applying model-to-model transformations. These transformations instrument component and connector (C&C) architecture models with components that reproduce the system’s environment based on the data recorded by the system’s digital twin. We validate and evaluate the feasibility of our approach using a heating, ventilation, and air conditioning (HVAC) case study. By facilitating the reproduction of the system’s behavior, our method lowers the barrier to understanding the behavior of model-driven IoT systems.;ACM;Conference Paper
54;How Alike Are My Physical and Digital Twins?;Muñoz P;Proceedings of the 25th International Conference on Model Driven Engineering Languages and Systems: Companion Proceedings;2022.0;A digital twin is a virtual replica of a system defined at a certain level of fidelity, and synchronized at a specific frequency. Digital twins are often used to replicate physical systems whose simulations are usually computationally costly. One of the solutions proposed in the literature to this problem is to define a hierarchy of multi-fidelity digital twins, where we use one twin or another depending on the specific purpose. However, one of the challenges of this proposal is the need to determine whether these twins are equivalent to each other and the physical system according to their purpose. In this work, we explore different methods to measure this equivalence by analyzing the state and behavior of the twins using high-level software models.;ACM;Conference Paper
55;Measuring the Fidelity of Digital Twin Systems;Muñoz P;Proceedings of the 25th International Conference on Model Driven Engineering Languages and Systems: Companion Proceedings;2022.0;A digital twin is a virtual replica of a system at a certain level of fidelity, synchronized at a specific frequency. Digital twins often replicate physical systems whose simulations are usually computationally costly. One of the solutions to this problem proposed in the literature is to define a hierarchy of multi-fidelity digital twins, where we use one twin or another depending on the specific purpose. However, one of the challenges of this proposal is the need to determine whether the different twins are equivalent to each other and the physical system. In this thesis, we explore different methods to measure this equivalence by analyzing the state and behavior of the twins with the aid of high-level software models.;ACM;Conference Paper
56;A Community-Sourced View on Engineering Digital Twins: A Report from the EDT.Community;Cleophas L,Godfrey T,Khelladi DE,Lehner D,Combemale B,van den Brand M,Vierhauser M,Wimmer M,Zschaler S;Proceedings of the 25th International Conference on Model Driven Engineering Languages and Systems: Companion Proceedings;2022.0;Digital Twins are an important concept, enabling what-if scenario exploration, predictive maintenance, and other approaches. They help in saving time and physical resources when developing and evolving systems, whether natural or engineered. However, constructing and maintaining digital twins is a challenging engineering task - and, to date, there is a lack of understanding of the engineering techniques and methodologies required. To address these challenges, we created EDT.Community, a programme of seminars on the engineering of digital twins hosting digital twins experts from academia and industry. In this paper, we report on the main topics of discussion from the first year of the programme. We contribute by providing (1) a common understanding of open challenges in research and practice of the engineering of digital twins, and (2) an entry point to researchers who aim to close gaps in the current state of the art.;ACM;Conference Paper
57;Digital Twin as Risk-Free Experimentation Aid for Techno-Socio-Economic Systems;Barat S,Kulkarni V,Clark T,Barn B;Proceedings of the 25th International Conference on Model Driven Engineering Languages and Systems;2022.0;Environmental uncertainties and hyperconnectivity force technosocio-economic systems to introspect and adapt to succeed and survive. Current practices in decision-making are predominantly intuition-driven with attendant challenges for precision and rigor. We propose to use the concept of digital twins by combining results from Modelling & Simulation, Artificial Intelligence, and Control Theory to create a risk free 'in silico' experimentation aid to help: (i) understand why a system is the way it is, (ii) be prepared for possible outlier conditions, and (iii) identify plausible solutions for mitigating the outlier conditions in an evidence-backed manner. We use reinforcement learning to systematically explore the digital twin solution space. Our proposal is significant because it advances the effective use of digital twins to new problem domains that have new potential for impact. Our approach contributes an original meta model for simulatable digital twin of industry scale techno-socioeconomic systems, agent-based implementation of the digital twin, and an architecture that serves as a risk-free experimentation aid to support simulation-based evidence-backed decision-making. We also discuss the rigor of our validation of the proposed approach and associated technology infrastructure through a representative sample of industry-scale real-world use cases.;ACM;Conference Paper
58;Case Study on Automated and Continuous Reliability Assessment of Software-Defined Manufacturing Based on Digital Twins;Grimmeisen P,Wortmann A,Morozov A;Proceedings of the 25th International Conference on Model Driven Engineering Languages and Systems: Companion Proceedings;2022.0;Traditional production systems are characterized by rare software updates and fixed production lines. Each production unit is designed and programmed for a specific task. Therefore, the reliability assessment is conducted once before the operation, mostly manually, and is based on traditional reliability models, such as event trees, fault trees, or reliability block diagrams. In comparison to traditional production systems, the focus of modern, complex production systems is shifted towards the software part. This is emphasized by the concepts of digital twins and Software-Defined Manufacturing (SDM). These software-intensive and safety-critical systems have more frequent software updates to address higher system flexibility and adjustable production processes. Therefore, SDM systems require a new approach to reliability assessment. Each software update can change the system behavior significantly. This leads to the necessity to reconduct the reliability assessment automatically before each software update. Advanced and hybrid reliability models are the key enabling technology. These models must be automatically generated and synchronized with the available system models and digital twins. Model-to-Model (M2M) transformation methods are another enabling technology.In this paper, we present a case study on automated and continuous reliability assessment of SDM. It shows, that our new method is a suitable candidate to enable the reliability assessment of SDM based on digital twins. The method includes (i) the extension of SysML v2 for reliability assessment, (ii) the automatic generation of hybrid reliability models from the digital twin, and (iii) their reliability assessment with new solvers developed for our OpenPRA framework.;ACM;Conference Paper
59;TwinOps - DevOps Meets Model-Based Engineering and Digital Twins for the Engineering of CPS;Hugues J,Hristosov A,Hudak JJ,Yankel J;Proceedings of the 23rd ACM/IEEE International Conference on Model Driven Engineering Languages and Systems: Companion Proceedings;2020.0;The engineering of Cyber-Physical Systems (CPS) requires a large set of expertise to capture the system requirements and to derive a correct solution. Model-based Engineering and DevOps aim to efficiently deliver software with increased quality. Model-based Engineering relies on models as first-class artifacts to analyze, simulate, and ultimately generate parts of a system. DevOps focuses on software engineering activities, from early development to integration, and then improvement through the monitoring of the system at run-time. We claim these can be efficiently combined to improve the engineering process of CPS.In this paper, we present TwinOps, a process that unifies Model-based Engineering, Digital Twins, and DevOps practice in a uniform workflow. TwinOps illustrates how to leverage several best practices in MBE and DevOps for the engineering Cyber-Physical systems. We illustrate our contribution using a Digital Twins case study to illustrate TwinOps benefits, combining AADL and Modelica models, and an IoT platform.;ACM;Conference Paper
60;Using Trace Alignments for Measuring the Similarity between a Physical and Its Digital Twin;Muñoz P,Wimmer M,Troya J,Vallecillo A;Proceedings of the 25th International Conference on Model Driven Engineering Languages and Systems: Companion Proceedings;2022.0;A common problem in the development of digital twin systems is the validation that the behavior of both twins, the physical and the digital, is the same, or at least similar enough given the requirements of the digital twin system. In this paper, we propose a method for the alignment of the traces of both twins. Traces are sequences of snapshots that capture the progressive states of each entity. Our approach is based on a bioinformatic algorithm that we adapt and use for the alignment of snapshots. Additionally, we include a set of measures to evaluate the quality of these alignments and reason about the level of fidelity of the digital twin system. Two case studies are used to demonstrate our proposal and evaluate its accuracy and effectiveness.;ACM;Conference Paper
