Title;Publication Title;Authors;Publication Year;Document Identifier;Publisher
Using UML and OCL Models to Realize High-Level Digital Twins;Companion Proceedings - 24th International Conference on Model-Driven Engineering Languages and Systems, MODELS-C 2021;"Munoz P.; Troya J.; Vallecillo A.";2021;Conference paper;Institute of Electrical and Electronics Engineers Inc.
Automated Model Transformation in modeling Digital Twins of Industrial Internet-of-Things Applications utilizing AutomationML;IEEE International Conference on Emerging Technologies and Factory Automation, ETFA;"Binder C.; Cala A.; Vollmar J.; Neureiter C.; Luder A.";2021;Conference paper;Institute of Electrical and Electronics Engineers Inc.
A Lightweight Model-driven MES Simulation Framework Based On Probabilistic Finite Automata;2022 7th International Conference on Intelligent Computing and Signal Processing, ICSP 2022;"Zhang K.; Tian J.; Han J.; Yuan Q.";2022;Conference paper;Institute of Electrical and Electronics Engineers Inc.
Real Time Electrical Transient Analyzer Program (ETAP RT) Improvement for Gas Processing & Utilities (GPU) plant, PETRONAS Gas Berhad;2022 International Conference on Future Trends in Smart Communities, ICFTSC 2022;"Nordzi N.M.F.B.; Rahman I.A.B.C.A.; Baharaini I.M.H.K.; Tahir I.M.R.B.M.";2022;Conference paper;Institute of Electrical and Electronics Engineers Inc.
Holistic Network Virtualization and Pervasive Network Intelligence for 6G;IEEE Communications Surveys and Tutorials;"Shen X.; Gao J.; Wu W.; Li M.; Zhou C.; Zhuang W.";2022;Article;Institute of Electrical and Electronics Engineers Inc.
Digital Twin of an Electrical Motor Based on Empirical Performance Model;2020 11th International Conference on Electrical Power Drive Systems, ICEPDS 2020 - Proceedings;"Rassolkin A.; Rjabtsikov V.; Vaimann T.; Kallaste A.; Kuts V.; Partyshev A.";2020;Conference paper;Institute of Electrical and Electronics Engineers Inc.
Urban Intelligence: A Modular, Fully Integrated, and Evolving Model for Cities Digital Twinning;HONET-ICT 2019 - IEEE 16th International Conference on Smart Cities: Improving Quality of Life using ICT, IoT and AI;"Castelli G.; Tognola G.; Campana E.F.; Cesta A.; Diez M.; Padula M.; Ravazzani P.; Rinaldi G.; Savazzi S.; Spagnuolo M.; Strambini L.";2019;Conference paper;Institute of Electrical and Electronics Engineers Inc.
Interface Management with Closed-Loop Systems Engineering (CLOSE);4th IEEE International Symposium on Systems Engineering, ISSE 2018 - Proceedings;"Di Maio M.; Atorf L.; Dahmen U.; Schluse M.; Rossmann J.; Hoppe M.; Kapos G.-D.";2018;Conference paper;Institute of Electrical and Electronics Engineers Inc.
Towards a Reference Architecture for Leveraging Model Repositories for Digital Twins;IEEE International Conference on Emerging Technologies and Factory Automation, ETFA;"Lehner D.; Wolny S.; Mazak-Huemer A.; Wimmer M.";2020;Conference paper;Institute of Electrical and Electronics Engineers Inc.
Digital twins driving model based on petri net in industrial pipeline;Proceedings - International Conference on Artificial Intelligence and Electromechanical Automation, AIEA 2020;"Dai Y.; Shi Y.; Zhang Z.; Tao R.; Fang F.";2020;Conference paper;Institute of Electrical and Electronics Engineers Inc.
Closed-loop systems engineering (close): integrating experimentable digital twins with the model-driven engineering process;4th IEEE International Symposium on Systems Engineering, ISSE 2018 - Proceedings;"Di Maio M.; Kapos G.-D.; Klusmann N.; Atorf L.; Dahmen U.; Schluse M.; Rossmann J.";2018;Conference paper;Institute of Electrical and Electronics Engineers Inc.
Digital Twin Enables Rational Design of Ultrahigh-Power Lithium-Ion Batteries;Advanced Energy Materials;"Zhang H.; Ren D.; Ming H.; Zhang W.; Cao G.; Liu J.; Wang L.; Song J.; Qiu J.; Wang J.; He X.; Zhang H.";2023;Article;John Wiley and Sons Inc
Improving digital twin experience reports;MODELSWARD 2021 - Proceedings of the 9th International Conference on Model-Driven Engineering and Software Development;"Oakes B.J.; Parsai A.; Van Mierlo S.; Demeyer S.; Denil J.; De Meulenaere P.; Vangheluwe H.";2021;Conference paper;SciTePress
A framework for Model-Driven Engineering of resilient software-controlled systems;Computing;"Parri J.; Patara F.; Sampietro S.; Vicario E.";2021;Article;Springer
Model-Driven Development of a Digital Twin for Injection Molding;Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics);"Bibow P.; Dalibor M.; Hopmann C.; Mainz B.; Rumpe B.; Schmalzing D.; Schmitz M.; Wortmann A.";2020;Conference paper;Springer
The Framework for Designing Autonomous Cyber-Physical Multi-agent Systems for Adaptive Resource Management;Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics);"Gorodetsky V.I.; Kozhevnikov S.S.; Novichkov D.; Skobelev P.O.";2019;Conference paper;Springer
A Digital Twin Model-Driven Architecture for Cyber-Physical and Human Systems;Proceedings of the I-ESA Conferences;"Poursoltan M.; Traore M.K.; Pinède N.; Vallespir B.";2023;Conference paper;Springer Science and Business Media Deutschland GmbH
Model-driven engineering city spaces via bidirectional model transformations;Software and Systems Modeling;"Visconti E.; Tsigkanos C.; Hu Z.; Ghezzi C.";2021;Article;Springer Science and Business Media Deutschland GmbH
A New 5S Radar Structure Design Model Driven by Digital Twin;Lecture Notes in Electrical Engineering;"Deng D.; Ding X.; Wang L.";2022;Conference paper;Springer Science and Business Media Deutschland GmbH
Towards Engineering Digital Twins by Active Behaviour Mining;Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics);"Margaria T.; Schieweck A.";2021;Book chapter;Springer Science and Business Media Deutschland GmbH
Towards Reactive Planning with Digital Twins and Model-Driven Optimization;Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics);"Eisenberg M.; Lehner D.; Sindelar R.; Wimmer M.";2022;Conference paper;Springer Science and Business Media Deutschland GmbH
Model-Driven Engineering in Digital Thread Platforms: A Practical Use Case and Future Challenges;Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics);"Chaudhary H.A.A.; Guevara I.; John J.; Singh A.; Ghosal A.; Pesch D.; Margaria T.";2022;Conference paper;Springer Science and Business Media Deutschland GmbH
Performance Evaluation: Model-Driven or Problem-Driven?;Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics);Haverkort B.R.;2021;Conference paper;Springer Science and Business Media Deutschland GmbH
Towards Development Platforms for Digital Twins: A Model-Driven Low-Code Approach;IFIP Advances in Information and Communication Technology;"Michael J.; Wortmann A.";2021;Conference paper;Springer Science and Business Media Deutschland GmbH
Applying a Healthcare Web of Things Framework for Infertility Treatments;Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics);"Gorelova A.; Meliá S.";2022;Conference paper;Springer Science and Business Media Deutschland GmbH
Towards Model-Driven Digital Twin Engineering: Current Opportunities and Future Challenges;Communications in Computer and Information Science;"Bordeleau F.; Combemale B.; Eramo R.; van den Brand M.; Wimmer M.";2020;Conference paper;Springer Science and Business Media Deutschland GmbH
Towards a Model-Driven Architecture for Interactive Digital Twin Cockpits;Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics);"Dalibor M.; Michael J.; Rumpe B.; Varga S.; Wortmann A.";2020;Conference paper;Springer Science and Business Media Deutschland GmbH
Dynamic design method of digital twin process model driven by knowledge-evolution machining features;International Journal of Production Research;"Liu J.; Zhao P.; Jing X.; Cao X.; Sheng S.; Zhou H.; Liu X.; Feng F.";2022;Article;Taylor and Francis Ltd.
Data-driven engineering definitions and insights from an industrial case study for a new approach in technical product development;Proceedings of the NordDesign 2020 Conference, NordDesign 2020;"Trauer J.; Schweigert-Recksiek S.; Okamoto L.O.; Spreitzer K.; Mörtl M.; Zimmermann M.";2020;Conference paper;The Design Society
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
"					";;;;;
